df_hash,22ZHK4.GW7WJ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.045F
person_label,V148
date_time_start,2026-06-08_17-32-22.778000_+03
date_time_start_unix,1780921942.778
date_time_end,2026-06-08_17-42-05.310000_+03
length_difference_noticed,no

time,acc_mag
26.498,1.011
26.528,1.014
26.558,1.011
26.588,1.013
26.618,1.007
26.648,1.010
26.678,1.008
26.708,1.017
26.738,1.009
26.768,1.008
26.798,1.006
26.828,1.014
26.858,1.012
26.888,1.012
26.918,1.008
26.948,1.008
26.978,1.009
27.008,1.009
27.038,1.010
27.068,1.011
27.098,1.010
27.128,1.011
27.158,1.010
27.188,1.012
27.218,1.009
27.248,1.011
27.278,1.012
27.308,1.013
27.338,1.004
27.368,1.007
27.398,1.009
27.428,1.010
27.458,1.012
27.488,1.006
27.518,1.005
27.548,1.009
27.578,1.013
27.608,1.008
27.638,1.010
27.668,1.008
27.698,1.008
27.728,1.013
27.758,1.014
27.788,1.009
27.818,1.009
27.848,1.008
27.878,1.011
27.908,1.009
27.938,1.012
27.968,1.012
27.998,1.013
28.028,1.013
28.058,1.009
28.088,1.011
28.118,1.015
28.148,1.008
28.178,1.007
28.208,1.012
28.238,1.013
28.268,1.009
28.298,1.012
28.328,1.005
28.358,1.011
28.388,1.014
28.418,1.013
28.448,1.010
28.478,1.008
28.508,1.008
28.538,1.011
28.568,1.007
28.598,1.007
28.628,1.010
28.658,1.012
28.688,1.009
28.718,1.013
28.748,1.011
28.778,1.011
28.808,1.009
28.838,1.011
28.868,1.007
28.898,1.012
28.928,1.009
28.958,1.011
28.988,1.016
29.018,1.010
29.048,1.005
29.078,1.010
29.108,1.011
29.138,1.006
29.168,1.013
29.198,1.011
29.228,1.004
29.258,1.012
29.288,1.011
29.318,1.009
29.348,1.011
29.378,1.013
29.408,1.011
29.438,1.013
29.468,1.016
29.498,1.008
29.528,1.011
29.558,1.008
29.588,1.016
29.618,1.012
29.648,1.007
29.678,1.009
29.708,1.012
29.738,1.006
29.768,1.014
29.798,1.016
29.828,1.010
29.858,1.012
29.888,1.010
29.918,1.007
29.948,1.013
29.978,1.009
30.008,1.008
30.038,1.010
30.068,1.014
30.098,1.006
30.128,1.011
30.158,1.013
30.188,1.004
30.218,1.009
30.248,1.008
30.278,1.009
30.308,1.009
30.338,1.012
30.368,1.013
30.398,1.010
30.428,1.015
30.458,1.012
30.488,1.011
30.518,1.009
30.548,1.010
30.578,1.012
30.608,1.016
30.638,1.008
30.668,1.011
30.698,1.015
30.728,1.014
30.758,1.011
30.788,1.010
30.818,1.014
30.848,1.010
30.878,1.013
30.908,1.011
30.938,1.006
30.968,1.011
30.998,1.014
31.028,1.013
31.058,1.008
31.088,1.013
31.118,1.010
31.148,1.013
31.178,1.012
31.208,1.012
31.238,1.012
31.268,1.010
31.298,1.013
31.328,1.014
31.358,1.009
31.388,1.009
31.418,1.014
31.448,1.014
31.478,1.015
31.508,1.012
31.538,1.010
31.568,1.015
31.598,1.015
31.628,1.006
31.658,1.011
31.688,1.016
31.718,1.011
31.748,1.011
31.778,1.009
31.808,1.013
31.838,1.011
31.868,1.012
31.898,1.013
31.928,1.007
31.958,1.009
31.988,1.014
32.018,1.013
32.048,1.012
32.078,1.011
32.108,1.011
32.138,1.015
32.168,1.015
32.198,1.010
32.228,1.008
32.258,1.011
32.288,1.012
32.318,1.013
32.348,1.016
32.378,1.008
32.408,1.009
32.438,1.020
32.468,1.017
32.498,1.006
32.528,1.008
32.558,1.013
32.588,1.013
32.618,1.009
32.648,1.007
32.678,1.007
32.708,1.013
32.738,1.016
32.768,1.012
32.798,1.008
32.828,1.008
32.858,1.014
32.888,1.015
32.918,1.013
32.948,1.011
32.978,1.009
33.008,1.012
33.038,1.010
33.068,1.012
33.098,1.012
33.128,1.011
33.158,1.010
33.188,1.014
33.218,1.011
33.248,1.009
33.278,1.010
33.308,1.011
33.338,1.010
33.368,1.012
33.398,1.015
33.428,1.013
33.458,1.012
33.488,1.007
33.518,1.008
33.548,1.010
33.578,1.016
33.608,1.008
33.638,1.010
33.668,1.012
33.698,1.010
33.728,1.011
33.758,1.014
33.788,1.012
33.818,1.009
33.848,1.010
33.878,1.009
33.908,1.012
33.938,1.013
33.968,1.010
33.998,1.011
34.028,1.016
34.058,1.012
34.088,1.009
34.118,1.015
34.148,1.013
34.178,1.013
34.208,1.008
34.238,1.019
34.268,1.012
34.298,1.011
34.328,1.008
34.358,1.011
34.388,1.013
34.418,1.015
34.448,1.015
34.478,1.009
34.508,1.009
34.538,1.011
34.568,1.014
34.598,1.015
34.628,1.013
34.658,1.009
34.688,1.012
34.718,1.014
34.748,1.012
34.778,1.010
34.808,1.014
34.838,1.012
34.868,1.010
34.898,1.011
34.928,1.009
34.958,1.013
34.988,1.017
35.018,1.011
35.048,1.010
35.078,1.011
35.108,1.013
35.138,1.012
35.168,1.016
35.198,1.014
35.228,1.007
35.258,1.016
35.288,1.014
35.318,1.009
35.348,1.008
35.378,1.010
35.408,1.014
35.438,1.015
35.468,1.015
35.498,1.011
35.528,1.015
35.558,1.009
35.588,1.016
35.618,1.010
35.648,1.011
35.678,1.013
35.708,1.010
35.738,1.016
35.768,1.011
35.798,1.011
35.828,1.016
35.858,1.013
35.888,1.008
35.918,1.010
35.948,1.013
35.978,1.012
36.008,1.009
36.038,1.009
36.068,1.009
36.098,1.011
36.128,1.015
36.158,1.009
36.188,1.011
36.218,1.010
36.248,1.010
36.278,1.015
36.308,1.015
36.338,1.011
36.368,1.009
36.398,1.015
36.428,1.015
36.458,1.011
36.488,1.010
36.518,1.009
36.548,1.011
36.578,1.015
36.608,1.009
36.638,1.016
36.668,1.011
36.698,1.010
36.728,1.014
36.758,1.013
36.788,1.011
36.818,1.014
36.848,1.019
36.878,1.006
36.908,1.016
36.938,1.011
36.968,1.013
36.998,1.010
37.028,1.013
37.058,1.007
37.088,1.010
37.118,1.013
37.148,1.013
37.178,1.014
37.208,1.016
37.238,1.011
37.268,1.013
37.298,1.016
37.328,1.009
37.358,1.009
37.388,1.015
37.418,1.012
37.448,1.010
37.478,1.009
37.508,1.014
37.538,1.013
37.568,1.012
37.598,1.017
37.628,1.013
37.658,1.004
37.688,1.016
37.718,1.017
37.748,1.011
37.778,1.011
37.808,1.014
37.838,1.013
37.868,1.015
37.898,1.014
37.928,1.011
37.958,1.014
37.988,1.013
38.018,1.011
38.048,1.014
38.078,1.011
38.108,1.015
38.138,1.011
38.168,1.010
38.198,1.011
38.228,1.009
38.258,1.012
38.288,1.011
38.318,1.014
38.348,1.015
38.378,1.013
38.408,1.015
38.438,1.012
38.468,1.008
38.498,1.015
38.528,1.016
38.558,1.011
38.588,1.010
38.618,1.012
38.648,1.013
38.678,1.008
38.708,1.014
38.738,1.012
38.768,1.013
38.798,1.014
38.828,1.010
38.858,1.012
38.888,1.013
38.918,1.009
38.948,1.011
38.978,1.010
39.008,1.015
39.038,1.017
39.068,1.009
39.098,1.010
39.128,1.014
39.158,1.014
39.188,1.012
39.218,1.013
39.248,1.020
39.278,1.010
39.308,1.009
39.338,1.013
39.368,1.011
39.398,1.011
39.428,1.012
39.458,1.012
39.488,1.014
39.518,1.011
39.548,1.012
39.578,1.009
39.608,1.011
39.638,1.013
39.668,1.008
39.698,1.015
39.728,1.018
39.758,1.012
39.788,1.009
39.818,1.015
39.848,1.013
39.878,1.014
39.908,1.010
39.938,1.013
39.968,1.016
39.998,1.009
40.028,1.015
40.058,1.012
40.088,1.012
40.118,1.012
40.148,1.016
40.178,1.007
40.208,1.011
40.238,1.011
40.268,1.009
40.298,1.012
40.328,1.013
40.358,1.011
40.388,1.009
40.418,1.013
40.448,1.013
40.478,1.012
40.508,1.010
40.538,1.012
40.568,1.010
40.598,1.015
40.628,1.011
40.658,1.008
40.688,1.015
40.718,1.009
40.748,1.015
40.778,1.009
40.808,1.008
40.838,1.012
40.868,1.012
40.898,1.011
40.928,1.014
40.958,1.016
40.988,1.008
41.018,1.015
41.048,1.015
41.078,1.009
41.108,1.012
41.138,1.013
41.168,1.015
41.198,1.014
41.228,1.014
41.258,1.012
41.288,1.011
41.318,1.013
41.348,1.015
41.378,1.011
41.408,1.011
41.438,1.011
41.468,1.014
41.498,1.009
41.528,1.014
41.558,1.010
41.588,1.015
41.618,1.013
41.648,1.014
41.678,1.009
41.708,1.012
41.738,1.013
41.768,1.014
41.798,1.014
41.828,1.017
41.858,1.011
41.888,1.011
41.918,1.015
41.948,1.013
41.978,1.011
42.008,1.008
42.038,1.013
42.068,1.014
42.098,1.014
42.128,1.012
42.158,1.012
42.188,1.012
42.218,1.013
42.248,1.014
42.278,1.008
42.308,1.014
42.338,1.015
42.368,1.014
42.398,1.011
42.428,1.010
42.458,1.015
42.488,1.010
42.518,1.011
42.548,1.014
42.578,1.011
42.608,1.013
42.638,1.007
42.668,1.013
42.698,1.014
42.728,1.015
42.758,1.015
42.788,1.016
42.818,1.012
42.848,1.012
42.878,1.013
42.908,1.014
42.938,1.013
42.968,1.014
42.998,1.013
43.028,1.014
43.058,1.011
43.088,1.013
43.118,1.011
43.148,1.011
43.178,1.014
43.208,1.012
43.238,1.014
43.268,1.014
43.298,1.019
43.328,1.011
43.358,1.007
43.388,1.014
43.418,1.013
43.448,1.011
43.478,1.013
43.508,1.017
43.538,1.007
43.568,1.016
43.598,1.013
43.628,1.010
43.658,1.011
43.688,1.009
43.718,1.014
43.748,1.016
43.778,1.015
43.808,1.013
43.838,1.014
43.868,1.013
43.898,1.011
43.928,1.013
43.958,1.010
43.988,1.010
44.018,1.013
44.048,1.009
44.078,1.011
44.108,1.017
44.138,1.013
44.168,1.014
44.198,1.010
44.228,1.010
44.258,1.015
44.288,1.013
44.318,1.013
44.348,1.013
44.378,1.015
44.408,1.007
44.438,1.019
44.468,1.018
44.498,1.009
44.528,1.012
44.558,1.012
44.588,1.013
44.618,1.015
44.648,1.014
44.678,1.010
44.708,1.010
44.738,1.011
44.768,1.012
44.798,1.013
44.828,1.013
44.858,1.012
44.888,1.016
44.918,1.013
44.948,1.011
44.978,1.015
45.008,1.016
45.038,1.011
45.068,1.011
45.098,1.013
45.128,1.012
45.158,1.010
45.188,1.011
45.218,1.009
45.248,1.011
45.278,1.016
45.308,1.012
45.338,1.010
45.368,1.011
45.398,1.011
45.428,1.013
45.458,1.013
45.488,1.011
45.518,1.012
45.548,1.014
45.578,1.009
45.608,1.014
45.638,1.012
45.668,1.013
45.698,1.008
45.728,1.013
45.758,1.016
45.788,1.014
45.818,1.017
45.848,1.010
45.878,1.008
45.908,1.015
45.938,1.016
45.968,1.009
45.998,1.014
46.028,1.017
46.058,1.005
46.088,1.016
46.118,1.014
46.148,1.010
46.178,1.014
46.208,1.015
46.238,1.015
46.268,1.014
46.298,1.013
46.328,1.014
46.358,1.009
46.388,1.015
46.418,1.014
46.448,1.011
46.478,1.016
46.508,1.013
46.538,1.014
46.568,1.011
46.598,1.011
46.628,1.016
46.658,1.015
46.688,1.008
46.718,1.013
46.748,1.015
46.778,1.011
46.808,1.017
46.838,1.009
46.868,1.007
46.898,1.012
46.928,1.013
46.958,1.013
46.988,1.013
47.018,1.014
47.048,1.014
47.078,1.013
47.108,1.011
47.138,1.011
47.168,1.011
47.198,1.012
47.228,1.013
47.258,1.015
47.288,1.014
47.318,1.014
47.348,1.011
47.378,1.013
47.408,1.017
47.438,1.007
47.468,1.013
47.498,1.007
47.528,1.007
47.558,1.018
47.588,1.013
47.618,1.015
47.648,1.014
47.678,1.021
47.708,1.008
47.738,1.014
47.768,1.016
47.798,1.013
47.828,1.011
47.858,1.015
47.888,1.014
47.918,1.015
47.948,1.012
47.978,1.015
48.008,1.012
48.038,1.012
48.068,1.011
48.098,1.012
48.128,1.011
48.158,1.009
48.188,1.011
48.218,1.009
48.248,1.011
48.278,1.015
48.308,1.014
48.338,1.007
48.368,1.015
48.398,1.017
48.428,1.010
48.458,1.014
48.488,1.011
48.518,1.005
48.548,1.014
48.578,1.017
48.608,1.013
48.638,1.010
48.668,1.012
48.698,1.014
48.728,1.014
48.758,1.012
48.788,1.009
48.818,1.013
48.848,1.013
48.878,1.012
48.908,1.015
48.938,1.013
48.968,1.013
48.998,1.014
49.028,1.015
49.058,1.012
49.088,1.015
49.118,1.015
49.148,1.012
49.178,1.013
49.208,1.017
49.238,1.012
49.268,1.015
49.298,1.006
49.328,1.012
49.358,1.016
49.388,1.018
49.418,1.013
49.448,1.008
49.478,1.014
49.508,1.011
49.538,1.012
49.568,1.010
49.598,1.012
49.628,1.015
49.658,1.012
49.688,1.016
49.718,1.011
49.748,1.012
49.778,1.021
49.808,1.011
49.838,1.012
49.868,1.018
49.898,1.015
49.928,1.016
49.958,1.013
49.988,1.015
50.018,1.019
50.048,1.014
50.078,1.010
50.108,1.017
50.138,1.017
50.168,1.005
50.198,1.011
50.228,1.012
50.258,1.008
50.288,1.013
50.318,1.016
50.348,1.014
50.378,1.014
50.408,1.012
50.438,1.015
50.468,1.013
50.498,1.013
50.528,1.015
50.558,1.015
50.588,1.009
50.618,1.013
50.648,1.016
50.678,1.014
50.708,1.012
50.738,1.014
50.768,1.011
50.798,1.012
50.828,1.014
50.858,1.010
50.888,1.007
50.918,1.014
50.948,1.017
50.978,1.010
51.008,1.014
51.038,1.010
51.068,1.009
51.098,1.013
51.128,1.015
51.158,1.013
51.188,1.011
51.218,1.015
51.248,1.011
51.278,1.017
51.308,1.013
51.338,1.013
51.368,1.015
51.398,1.014
51.428,1.014
51.458,1.014
51.488,1.010
51.518,1.014
51.548,1.013
51.578,1.011
51.608,1.011
51.638,1.013
51.668,1.014
51.698,1.016
51.728,1.012
51.758,1.013
51.788,1.015
51.818,1.014
51.848,1.014
51.878,1.012
51.908,1.011
51.938,1.011
51.968,1.011
51.998,1.014
52.028,1.012
52.058,1.009
52.088,1.013
52.118,1.014
52.148,1.014
52.178,1.008
52.208,1.013
52.238,1.021
52.268,1.005
52.298,1.014
52.328,1.017
52.358,1.016
52.388,1.014
52.418,1.016
52.448,1.015
52.478,1.010
52.508,1.013
52.538,1.013
52.568,1.011
52.598,1.010
52.628,1.015
52.658,1.012
52.688,1.019
52.718,1.014
52.748,1.011
52.778,1.012
52.808,1.015
52.838,1.015
52.868,1.015
52.898,1.012
52.928,1.011
52.958,1.010
52.988,1.015
53.018,1.018
53.048,1.018
53.078,1.005
53.108,1.015
53.138,1.013
53.168,1.015
53.198,1.013
53.228,1.014
53.258,1.020
53.288,1.011
53.318,1.018
53.348,1.018
53.378,1.010
53.408,1.014
53.438,1.013
53.468,1.012
53.498,1.013
53.528,1.011
53.558,1.014
53.588,1.011
53.618,1.014
53.648,1.013
53.678,1.014
53.708,1.014
53.738,1.012
53.768,1.014
53.798,1.014
53.828,1.012
53.858,1.013
53.888,1.013
53.918,1.014
53.948,1.017
53.978,1.015
54.008,1.012
54.038,1.008
54.068,1.012
54.098,1.015
54.128,1.014
54.158,1.018
54.188,1.017
54.218,1.008
54.248,1.012
54.278,1.016
54.308,1.014
54.338,1.015
54.368,1.011
54.398,1.012
54.428,1.015
54.458,1.013
54.488,1.014
54.518,1.015
54.548,1.012
54.578,1.011
54.608,1.014
54.638,1.011
54.668,1.014
54.698,1.013
54.728,1.016
54.758,1.014
54.788,1.014
54.818,1.018
54.848,1.014
54.878,1.014
54.908,1.010
54.938,1.009
