df_hash,22ZHK4.3NGMYT
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VVA5
person_label,V18
date_time_start,2025-05-23_10-26-57.429000_+03
date_time_start_unix,1747985217.429
date_time_end,2025-05-23_10-35-12.468000_+03
length_difference_noticed,no

time,acc_mag
28.519,0.995
28.549,1.002
28.579,0.987
28.609,1.000
28.639,0.994
28.669,0.989
28.699,0.990
28.729,0.994
28.759,0.994
28.789,1.002
28.819,1.005
28.849,0.992
28.879,0.992
28.909,0.995
28.939,0.991
28.969,0.996
28.999,0.994
29.029,0.994
29.059,0.992
29.089,0.992
29.119,0.993
29.149,0.984
29.179,1.008
29.209,0.999
29.239,0.993
29.269,0.982
29.299,0.995
29.329,0.998
29.359,0.996
29.389,0.987
29.419,0.991
29.449,0.992
29.479,0.986
29.509,0.986
29.539,1.000
29.569,0.994
29.599,0.994
29.629,0.988
29.659,0.979
29.689,0.985
29.719,0.988
29.749,0.978
29.779,0.978
29.809,0.982
29.839,0.989
29.869,0.989
29.899,0.979
29.929,0.993
29.959,0.989
29.989,0.986
30.019,0.977
30.049,0.983
30.079,0.995
30.109,0.988
30.139,0.996
30.169,0.995
30.199,0.979
30.229,0.972
30.259,0.962
30.289,0.968
30.319,1.001
30.349,1.002
30.379,1.003
30.409,1.002
30.439,0.974
30.469,0.971
30.499,1.001
30.529,1.002
30.559,0.986
30.589,1.024
30.619,0.988
30.649,0.985
30.679,0.994
30.709,1.004
30.739,0.996
30.769,0.984
30.799,0.984
30.829,0.967
30.859,0.965
30.889,0.985
30.919,0.981
30.949,0.978
30.979,0.989
31.009,0.990
31.039,0.996
31.069,1.000
31.099,0.998
31.129,1.027
31.159,1.024
31.189,1.014
31.219,1.024
31.249,1.002
31.279,1.000
31.309,1.001
31.339,1.002
31.369,0.991
31.399,1.017
31.429,1.021
31.459,1.000
31.489,1.001
31.519,1.007
31.549,1.007
31.579,1.007
31.609,1.006
31.639,0.996
31.669,1.007
31.699,0.998
31.729,1.010
31.759,0.998
31.789,1.002
31.819,1.010
31.849,1.010
31.879,0.982
31.909,0.995
31.939,0.984
31.969,1.012
31.999,1.010
32.029,1.024
32.059,1.002
32.089,1.019
32.119,1.013
32.149,1.021
32.179,1.010
32.209,1.006
32.239,1.015
32.269,1.021
32.299,1.014
32.329,1.034
32.359,1.019
32.389,1.003
32.419,0.999
32.449,0.988
32.479,1.001
32.509,1.008
32.539,0.992
32.569,1.006
32.599,1.001
32.629,1.011
32.659,1.009
32.689,1.013
32.719,0.992
32.749,1.008
32.779,1.001
32.809,1.007
32.839,1.023
32.869,1.006
32.899,1.016
32.929,1.019
32.959,1.017
32.989,1.003
33.019,1.006
33.049,1.017
33.079,0.979
33.109,1.021
33.139,1.028
33.169,0.998
33.199,1.020
33.229,1.003
33.259,0.995
33.289,1.011
33.319,1.035
33.349,0.991
33.379,0.998
33.409,0.999
33.439,0.995
33.469,0.986
33.499,1.008
33.529,1.023
33.559,1.004
33.589,0.994
33.619,0.997
33.649,0.997
33.679,0.987
33.709,1.003
33.739,1.007
33.769,1.005
33.799,1.014
33.829,1.017
33.859,0.992
33.889,1.015
33.919,1.002
33.949,1.011
33.979,1.020
34.009,1.016
34.039,1.015
34.069,1.005
34.099,1.006
34.129,0.995
34.159,1.006
34.189,1.000
34.219,0.993
34.249,1.007
34.279,1.004
34.309,1.018
34.339,1.016
34.369,1.008
34.399,1.018
34.429,1.016
34.459,1.001
34.489,1.006
34.519,1.001
34.549,1.015
34.579,1.000
34.609,1.004
34.639,1.017
34.669,1.014
34.699,0.994
34.729,0.954
34.759,0.995
34.789,0.994
34.819,1.022
34.849,1.025
34.879,1.004
34.909,1.013
34.939,1.024
34.969,1.027
34.999,1.021
35.029,1.024
35.059,1.010
35.089,0.994
35.119,1.001
35.149,0.999
35.179,0.999
35.209,1.009
35.239,1.017
35.269,1.010
35.299,1.021
35.329,1.020
35.359,1.013
35.389,0.996
35.419,1.010
35.449,1.004
35.479,0.995
35.509,1.002
35.539,1.005
35.569,1.008
35.599,1.019
35.629,1.023
35.659,1.020
35.689,1.002
35.719,1.004
35.749,1.000
35.779,1.015
35.809,1.014
35.839,1.019
35.869,1.023
35.899,1.008
35.929,1.003
35.959,1.009
35.989,1.018
36.019,1.019
36.049,1.033
36.079,1.017
36.109,0.998
36.139,1.013
36.169,1.025
36.199,1.019
36.229,1.014
36.259,1.022
36.289,1.013
36.319,1.007
36.349,1.012
36.379,1.013
36.409,1.013
36.439,1.009
36.469,1.001
36.499,1.024
36.529,1.000
36.559,1.009
36.589,1.008
36.619,0.996
36.649,1.011
36.679,1.007
36.709,1.019
36.739,1.018
36.769,0.995
36.799,1.009
36.829,0.976
36.859,0.972
36.889,1.004
36.919,1.008
36.949,0.984
36.979,0.997
37.009,1.003
37.039,1.013
37.069,1.038
37.099,1.017
37.129,1.000
37.159,1.020
37.189,1.033
37.219,1.009
37.249,1.009
37.279,1.003
37.309,1.009
37.339,0.997
37.369,0.997
37.399,0.977
37.429,0.972
37.459,0.980
37.489,0.977
37.519,0.979
37.549,0.980
37.579,0.984
37.609,0.990
37.639,0.983
37.669,0.992
37.699,1.002
37.729,1.010
37.759,1.012
37.789,0.999
37.819,0.988
37.849,0.986
37.879,0.989
37.909,0.984
37.939,0.984
37.969,0.996
37.999,0.998
38.029,0.999
38.059,0.991
38.089,0.989
38.119,0.998
38.149,0.999
38.179,0.992
38.209,0.992
38.239,0.991
38.269,0.995
38.299,0.995
38.329,0.990
38.359,0.995
38.389,0.995
38.419,0.998
38.449,1.002
38.479,0.994
38.509,1.007
38.539,0.987
38.569,0.990
38.599,0.998
38.629,1.000
38.659,0.998
38.689,1.001
38.719,0.994
38.749,1.002
38.779,0.997
38.809,0.991
38.839,0.997
38.869,0.998
38.899,0.993
38.929,0.994
38.959,0.998
38.989,0.992
39.019,0.999
39.049,0.992
39.079,0.995
39.109,0.996
39.139,1.002
39.169,0.996
39.199,0.994
39.229,0.991
39.259,0.994
39.289,0.993
39.319,0.979
39.349,0.997
39.379,0.986
39.409,0.994
39.439,1.000
39.469,0.995
39.499,0.992
39.529,0.999
39.559,0.998
39.589,0.994
39.619,0.995
39.649,0.997
39.679,0.997
39.709,0.995
39.739,0.992
39.769,0.995
39.799,0.997
39.829,1.026
39.859,1.083
39.889,1.100
39.919,0.992
39.949,0.963
39.979,0.977
40.009,0.948
40.039,0.939
40.069,0.970
40.099,0.993
40.129,0.992
40.159,1.009
40.189,1.013
40.219,1.000
40.249,1.002
40.279,0.998
40.309,0.999
40.339,0.998
40.369,1.007
40.399,1.007
40.429,1.006
40.459,1.011
40.489,1.005
40.519,0.996
40.549,0.987
40.579,0.983
40.609,0.988
40.639,1.002
40.669,0.992
40.699,0.997
40.729,0.996
40.759,1.007
40.789,1.004
40.819,1.009
40.849,1.011
40.879,1.007
40.909,1.014
40.939,1.010
40.969,1.002
40.999,0.997
41.029,0.996
41.059,1.001
41.089,0.999
41.119,1.003
41.149,1.007
41.179,1.006
41.209,1.001
41.239,1.004
41.269,0.994
41.299,1.004
41.329,1.017
41.359,1.011
41.389,1.011
41.419,1.012
41.449,1.003
41.479,1.008
41.509,1.013
41.539,1.005
41.569,1.012
41.599,1.003
41.629,1.003
41.659,1.007
41.689,1.007
41.719,1.011
41.749,1.005
41.779,1.011
41.809,1.006
41.839,1.011
41.869,1.005
41.899,1.007
41.929,1.008
41.959,1.009
41.989,1.009
42.019,1.011
42.049,1.012
42.079,1.008
42.109,1.009
42.139,1.005
42.169,1.011
42.199,1.008
42.229,1.008
42.259,1.011
42.289,1.010
42.319,1.011
42.349,1.011
42.379,1.012
42.409,1.007
42.439,1.012
42.469,1.008
42.499,1.010
42.529,1.001
42.559,1.000
42.589,1.001
42.619,1.003
42.649,1.003
42.679,1.003
42.709,1.009
42.739,1.008
42.769,1.011
42.799,1.009
42.829,1.011
42.859,1.006
42.889,1.007
42.919,1.008
42.949,1.002
42.979,1.005
43.009,1.004
43.039,1.006
43.069,1.008
43.099,1.010
43.129,1.008
43.159,1.011
43.189,1.006
43.219,1.009
43.249,1.009
43.279,1.008
43.309,1.008
43.339,1.010
43.369,1.009
43.399,1.003
43.429,1.010
43.459,1.013
43.489,1.003
43.519,1.000
43.549,1.004
43.579,1.008
43.609,1.004
43.639,1.011
43.669,1.003
43.699,1.007
43.729,1.008
43.759,1.005
43.789,1.010
43.819,1.005
43.849,1.004
43.879,1.007
43.909,1.004
43.939,1.009
