df_hash,22ZHK4.1W3XND
440.357,53
441.528,50
442.448,49
443.325,56
444.496,46
445.433,29
446.299,27
447.907,30
448.395,33
449.276,37
450.491,27
451.369,0
452.343,0
453.560,37
454.439,0
455.269,29
456.783,31
457.316,42
458.435,60
459.463,64
460.384,71
461.408,72
462.481,67
463.266,62
464.285,61
465.362,66
466.435,76
467.166,70
468.336,53
469.257,36
470.140,33
471.450,28
472.235,0
473.111,0
474.334,28
475.211,33
476.093,17
477.353,11
478.181,12
479.060,14
480.278,14
481.204,19
482.078,39
483.251,41
484.129,42
485.009,36
486.227,28
487.346,30
487.983,20
