df_hash,22ZHK4.1W3XND
440.349,72
441.518,73
442.444,74
443.322,75
444.492,74
445.418,74
446.295,74
447.489,74
448.392,74
449.269,64
450.488,67
451.365,68
452.295,68
453.521,67
454.345,67
455.265,59
456.780,63
457.313,65
458.215,64
459.458,64
460.312,64
461.263,65
462.384,65
463.260,64
464.187,63
465.357,62
466.430,62
467.160,63
468.330,64
469.208,63
470.134,63
471.304,63
472.230,63
473.108,63
474.328,63
475.204,63
476.083,63
477.350,63
478.178,63
479.056,63
480.274,63
481.200,63
482.041,63
483.248,73
484.126,77
485.004,77
486.222,74
487.101,72
487.977,73
