df_hash,22ZHK4.1W3XND
265.872,10
266.847,855
267.724,920
268.555,970
269.382,765
270.210,865
270.213,860
271.040,10
272.014,860
272.017,900
272.842,10
272.846,870
273.817,10
274.646,925
275.475,915
276.160,825
277.035,670
277.038,785
277.766,10
277.770,740
278.547,10
278.937,860
278.985,365
278.989,20
279.089,10
279.093,10
279.670,15
279.673,465
280.350,10
281.182,845
282.010,885
283.006,825
283.869,950
284.641,845
285.535,840
285.667,835
285.670,10
286.200,10
287.029,765
287.467,840
287.712,365
289.125,320
289.128,1350
289.809,10
290.782,710
291.612,930
292.586,960
293.415,895
294.446,880
295.219,905
296.048,880
296.925,845
297.754,850
298.595,890
299.411,845
300.391,850
301.751,925
302.337,1355
303.165,595
303.168,875
304.140,10
305.115,1000
306.139,925
306.919,925
307.748,915
308.433,840
309.161,715
309.991,710
310.819,760
311.647,895
312.915,850
313.744,1275
314.280,735
315.109,665
315.987,720
316.772,890
317.595,820
318.332,815
319.160,820
320.131,835
321.105,905
321.788,990
322.471,730
322.763,620
323.080,285
323.352,295
323.449,370
324.566,10
325.346,1210
326.224,705
327.102,930
328.177,930
328.808,860
329.542,775
330.426,715
331.099,715
332.074,945
332.077,935
332.903,10
332.907,870
333.781,10
334.643,895
334.709,830
334.723,10
334.755,15
334.759,50
334.762,10
334.768,10
334.807,15
334.810,15
334.815,10
334.859,10
335.292,15
336.269,550
337.631,750
338.368,1595
339.094,675
339.338,700
339.875,260
340.069,575
340.315,80
340.849,300
341.532,645
342.117,670
342.799,595
343.339,600
343.676,555
344.605,390
345.724,730
346.272,1270
346.845,595
347.528,600
348.064,600
348.653,610
349.429,630
350.014,705
350.843,690
351.526,750
351.720,675
351.818,290
351.821,10
351.869,85
352.111,205
354.596,1180
355.052,1345
355.181,480
355.185,10
355.191,15
355.334,10
355.426,255
356.255,10
356.843,880
356.990,805
358.791,955
359.764,870
360.613,910
361.568,910
362.397,905
363.225,845
363.231,895
364.054,10
365.031,835
365.712,890
366.735,795
366.740,915
367.522,10
368.344,825
369.075,800
369.079,815
369.904,10
370.587,825
371.418,605
372.001,695
372.927,790
373.804,880
374.633,855
374.636,820
375.316,10
375.754,740
375.758,465
375.854,15
376.147,200
377.509,1525
378.264,10
378.923,700
379.606,750
379.614,705
380.438,10
380.726,820
380.730,325
381.019,10
381.166,300
381.995,870
382.192,10
382.392,10
382.530,545
383.947,695
384.774,700
385.455,815
385.458,795
386.197,10
386.884,635
387.552,730
388.380,745
389.649,790
389.658,1225
389.662,10
389.892,10
390.331,245
390.769,390
390.773,285
390.776,225
391.305,475
391.308,10
391.452,185
391.455,10
391.549,10
392.282,755
392.866,10
392.870,635
393.551,10
394.377,680
395.206,870
395.888,790
396.433,660
396.717,685
396.724,220
396.765,10
396.774,10
396.777,10
396.863,15
397.162,10
397.204,300
397.692,10
398.228,625
398.520,540
399.496,230
399.690,1240
399.934,245
399.937,10
400.617,380
401.036,285
401.300,455
401.738,255
401.982,420
402.420,265
402.424,350
402.469,10
402.569,105
402.573,25
402.959,10
403.103,270
403.944,350
404.373,845
404.519,320
404.983,265
405.394,375
406.613,495
408.319,1210
408.953,1705
409.635,700
409.781,630
409.792,170
409.980,10
409.985,40
410.172,10
410.175,325
410.805,10
411.585,630
411.590,740
411.885,10
412.707,380
413.438,735
413.441,690
413.445,55
413.682,15
413.828,305
413.975,290
415.488,825
416.168,670
416.997,675
417.825,870
417.972,860
418.123,185
418.170,20
418.173,15
418.176,10
418.800,15
418.804,650
418.900,20
418.981,185
419.242,10
419.949,835
420.266,10
420.363,420
421.189,10
421.192,925
421.726,10
423.042,645
423.049,1240
423.996,10
424.803,930
424.897,870
425.626,10
426.455,785
427.047,850
427.237,595
427.243,10
427.293,225
428.550,865
428.553,430
428.990,10
429.916,355
429.919,990
430.355,10
430.753,645
430.796,10
431.529,940
431.626,10
431.655,10
432.158,15
432.840,630
432.845,715
433.673,10
434.502,745
435.376,835
436.351,890
437.862,930
438.690,1535
439.519,840
440.207,850
440.258,790
441.128,10
441.133,775
441.177,10
441.762,15
442.640,665
442.981,895
443.273,380
444.248,290
444.931,930
445.662,780
445.666,690
445.906,10
446.346,220
446.491,410
446.494,180
446.542,25
446.545,15
447.466,10
448.148,955
448.160,645
448.830,10
448.834,780
449.565,10
449.570,680
450.245,10
450.780,700
451.609,510
451.658,835
452.292,10
453.413,615
453.565,970
454.242,315
455.315,690
456.046,1050
456.923,780
458.045,930
458.874,1060
459.705,815
460.390,890
460.677,715
461.652,285
462.628,1020
463.702,955
464.872,960
465.260,925
465.503,705
465.509,295
466.478,10
466.483,950
467.310,10
468.915,845
469.696,1545
470.378,815
470.383,700
471.061,10
471.844,755
471.890,655
471.893,10
472.328,10
472.331,545
472.913,10
473.304,635
473.599,405
474.278,205
474.961,705
475.399,740
475.790,450
476.521,355
477.252,750
477.936,600
478.470,705
478.714,665
478.719,190
478.763,10
478.766,60
478.769,15
478.863,10
478.872,10
479.153,15
479.836,315
480.007,720
480.010,170
480.128,15
480.131,45
480.668,10
481.542,590
481.546,830
482.084,15
482.224,510
482.907,170
483.590,760
483.882,705
484.028,250
484.031,155
484.034,10
484.782,325
485.247,325
485.689,575
485.978,450
486.515,315
486.933,560
487.002,355
487.005,10
487.009,15
487.012,10
487.785,40
488.172,785
