df_hash,22ZHK4.DZ2M1F
199.248,805
199.394,270
199.399,15
199.784,430
200.515,10
200.519,700
201.198,10
201.734,690
202.709,640
202.855,925
202.860,180
203.040,130
203.099,10
203.147,80
203.162,10
203.306,120
204.806,815
204.823,755
206.316,10
206.323,1460
206.463,10
206.469,110
206.476,10
206.514,10
206.519,15
206.535,15
206.540,15
206.560,10
206.609,15
206.904,155
206.912,255
207.587,10
208.267,645
208.705,810
208.852,555
210.216,695
210.363,645
210.948,170
210.951,540
210.954,15
211.484,15
211.487,580
211.782,10
211.835,155
211.853,15
211.857,10
211.860,15
212.023,10
212.026,10
212.038,10
212.166,15
212.170,370
212.800,10
212.872,640
212.995,10
212.999,185
213.143,15
213.146,35
213.159,20
213.196,15
213.707,60
213.710,505
214.409,10
215.091,770
215.097,700
215.384,10
215.848,240
215.872,490
216.073,10
216.603,215
216.608,550
216.749,10
216.897,210
217.432,10
218.389,565
218.417,740
218.455,230
218.849,40
219.723,485
219.967,795
220.503,240
221.332,575
221.337,825
222.063,10
222.745,755
222.892,750
223.040,10
223.574,180
223.870,575
224.257,235
225.086,515
225.234,730
225.280,175
225.284,15
225.287,10
225.291,15
225.331,10
225.334,10
225.390,30
225.817,50
226.646,395
226.649,760
227.328,195
228.011,640
228.839,755
228.898,745
229.621,10
230.399,780
230.936,730
231.082,685
231.765,10
232.596,740
232.740,770
233.714,305
234.007,890
234.251,255
235.230,300
236.347,945
237.615,1140
239.006,1340
240.979,1410
241.904,1935
241.909,990
242.637,10
242.879,645
243.464,245
244.684,625
245.126,1275
246.103,390
246.248,910
246.441,215
246.444,10
247.608,10
247.611,1425
247.901,245
249.171,1190
249.266,145
249.274,10
250.289,430
251.654,635
251.667,1290
251.703,10
251.710,10
251.825,100
251.947,20
251.950,260
252.242,10
252.340,165
253.069,55
253.166,850
253.169,145
253.751,15
254.726,525
254.730,1020
254.872,10
255.265,85
255.555,320
255.561,395
255.993,10
255.996,420
257.212,10
258.041,1275
259.553,745
259.562,1535
259.991,10
260.140,670
261.551,1365
262.088,15
262.091,555
262.282,10
262.431,280
262.434,10
262.529,10
263.604,405
264.330,760
265.159,715
265.403,780
265.548,395
265.841,25
265.987,415
267.645,10
267.791,1740
268.084,160
268.230,330
268.912,10
269.741,810
270.570,730
270.573,840
271.253,10
272.669,780
272.910,1085
273.641,550
273.644,755
274.330,10
275.006,660
275.155,700
275.299,205
275.835,560
275.841,15
275.886,10
275.891,35
275.981,100
275.987,10
277.402,640
278.519,770
278.760,950
278.763,505
278.906,125
278.910,10
279.735,710
279.746,130
281.149,35
281.838,1285
282.524,730
283.206,690
283.928,695
285.439,805
285.731,1545
285.975,205
285.979,265
286.707,10
287.389,735
287.394,705
288.218,10
288.659,780
289.729,475
290.167,1115
290.704,420
292.424,510
293.776,1710
294.068,1375
295.286,275
296.700,1240
297.432,1465
297.529,740
297.555,120
298.212,25
299.625,645
299.628,1400
301.673,10
301.824,2040
301.873,215
301.898,10
302.550,600
302.554,10
302.599,75
302.602,10
302.606,15
302.660,10
302.699,15
302.941,10
303.772,280
305.189,795
306.161,1455
306.258,1080
306.353,65
306.401,85
306.405,10
307.376,1035
307.426,10
307.669,10
308.499,255
309.766,900
311.299,1235
312.155,1460
312.795,720
313.665,840
314.104,890
314.640,385
315.473,610
316.688,840
317.809,1220
317.813,1170
317.909,10
317.955,10
317.959,15
318.251,15
318.397,355
318.784,10
318.930,595
318.934,15
321.027,1385
321.271,825
321.709,235
321.713,355
322.541,10
322.977,715
322.980,640
323.671,15
324.342,615
324.345,660
325.463,10
325.712,1400
325.854,165
326.029,105
327.414,1430
327.906,10
328.388,380
329.365,600
329.753,965
331.317,415
332.142,1585
333.804,795
335.798,1755
336.139,1955
337.117,380
338.382,930
339.211,1310
339.216,815
339.357,10
339.540,250
339.653,10
341.064,550
341.697,995
341.702,765
341.843,10
341.849,135
342.672,25
342.689,715
343.549,10
343.653,960
344.134,10
344.140,535
344.915,10
345.061,815
345.216,315
346.036,765
347.862,10
349.107,1860
349.789,1275
349.793,660
349.797,10
349.801,15
349.838,15
349.938,10
350.085,145
350.179,15
350.183,15
350.186,10
350.190,15
350.228,10
350.232,20
350.239,65
350.277,20
350.281,10
350.292,10
351.317,1050
351.840,340
352.569,780
353.397,285
353.690,805
355.493,285
355.498,1740
355.741,10
355.786,100
356.322,290
357.687,530
357.691,1340
359.491,10
359.832,1865
359.835,265
360.482,15
360.515,670
360.905,10
362.026,435
362.030,1040
363.692,10
364.028,1695
364.122,10
364.837,475
365.341,625
365.344,650
365.780,10
365.783,300
365.787,10
366.608,10
368.125,890
368.315,1510
368.320,10
368.368,20
368.371,100
368.374,10
368.558,240
368.574,10
369.254,780
369.436,10
369.923,10
369.928,695
370.364,10
371.484,355
372.703,1145
373.288,1260
374.408,600
374.412,1105
374.945,10
374.948,480
375.481,10
376.066,590
376.071,495
377.285,15
377.723,1285
378.553,365
379.820,945
380.064,1230
380.069,245
380.113,10
380.356,10
381.039,275
381.185,775
382.014,15
382.603,835
382.842,595
382.990,270
383.574,190
383.818,525
384.256,275
385.524,480
385.767,1295
386.603,265
388.547,760
388.554,1985
388.560,25
388.595,15
388.601,10
388.697,10
388.738,15
388.839,10
388.886,135
391.349,1435
391.474,1195
391.618,10
392.446,295
392.450,775
392.739,240
395.763,1490
395.811,1580
395.908,10
396.054,120
397.029,255
397.614,855
398.833,600
398.846,1310
398.933,10
400.398,10
400.929,1520
401.758,570
402.452,815
404.147,715
404.151,1690
404.683,10
406.252,500
406.392,1530
406.395,10
406.399,10
406.403,15
406.487,230
407.758,1350
408.159,10
408.301,425
409.411,10
409.415,1205
409.802,15
410.387,360
411.069,655
411.366,615
411.606,305
412.434,310
412.922,790
413.165,400
414.289,295
414.384,985
414.531,320
415.506,140
415.798,925
416.213,280
417.028,380
417.488,840
417.604,530
419.414,10
419.422,1725
419.552,10
419.556,280
419.844,10
420.381,305
421.068,575
421.795,730
422.623,720
422.626,735
423.452,10
424.281,810
425.255,945
425.259,955
425.304,15
425.308,10
425.312,10
425.529,155
426.523,1090
426.772,10
427.205,135
428.221,495
428.299,1065
428.573,20
429.253,10
430.251,1015
430.374,920
430.378,185
430.423,10
430.426,20
430.431,40
430.816,10
431.499,10
431.837,1050
431.886,285
432.763,10
433.153,1015
435.249,425
435.255,2055
436.036,15
436.371,745
437.346,405
437.352,960
437.609,220
437.644,10
439.296,290
439.539,1370
439.543,265
439.832,10
440.661,380
440.807,730
440.811,150
440.855,10
440.859,15
440.904,15
440.908,15
440.911,10
440.915,10
440.953,15
440.964,10
441.538,25
441.543,655
441.811,10
441.830,170
441.834,20
441.837,10
441.842,10
442.319,10
442.903,600
443.732,570
443.744,760
443.878,10
443.881,30
444.030,10
444.073,300
445.243,10
445.246,1245
445.292,10
445.828,15
445.831,570
446.755,10
447.637,880
449.438,845
450.296,1800
450.411,825
450.417,260
451.640,550
452.069,605
452.074,445
452.079,10
452.120,15
452.361,235
454.018,990
455.554,700
455.582,1525
455.593,20
455.601,15
455.822,260
455.826,25
455.874,20
455.877,25
456.943,260
457.626,755
457.821,745
457.824,145
457.998,110
458.016,15
458.020,10
458.024,10
458.068,30
458.075,55
458.084,10
458.991,260
458.996,780
459.137,10
459.143,130
459.384,15
459.729,15
459.820,535
460.405,105
461.382,575
461.388,710
462.065,10
462.501,680
462.647,680
462.656,190
462.696,10
462.702,15
462.707,10
462.757,10
462.992,15
463.330,15
463.873,550
464.548,600
464.552,730
466.452,15
466.938,1500
467.473,815
467.766,620
468.598,305
469.131,515
469.277,800
469.281,190
469.326,10
469.330,15
469.333,10
469.336,10
469.863,10
470.545,500
471.520,685
473.031,945
473.036,1515
474.591,10
474.594,1650
474.984,10
475.810,320
475.967,830
476.006,130
476.040,10
476.248,15
476.252,340
476.256,10
476.259,10
476.395,40
476.398,10
476.541,165
478.056,790
478.345,700
478.349,310
478.394,20
478.408,10
478.415,15
478.589,15
479.488,290
480.197,825
481.075,745
481.668,695
481.711,805
481.855,10
481.858,140
481.952,25
481.956,15
482.370,15
483.220,520
483.902,725
483.916,700
484.585,10
485.414,710
485.560,820
485.729,270
485.856,115
485.860,10
485.863,10
485.866,75
485.975,140
486.681,740
487.515,10
488.339,775
489.337,820
490.581,1035
490.585,1295
491.264,10
492.629,575
492.632,1445
493.067,10
493.072,470
493.612,10
493.899,500
493.902,10
494.189,10
495.018,535
495.568,915
496.141,465
496.967,565
497.666,840
497.820,665
499.020,270
499.307,1165
499.454,480
499.600,160
503.354,1640
503.358,2035
505.500,85
505.718,2035
505.843,250
507.113,15
507.498,1470
507.501,340
508.619,10
508.622,1170
508.765,25
508.768,15
508.771,10
509.204,25
509.207,510
509.252,10
509.255,10
509.259,15
509.341,10
509.399,20
509.402,15
509.405,10
509.455,155
509.496,20
509.499,10
509.503,10
509.506,10
509.594,15
509.597,10
509.628,15
509.643,15
509.646,15
509.649,10
509.653,15
509.696,20
509.703,15
509.709,10
509.712,10
509.740,10
509.767,60
510.276,530
510.325,20
510.569,260
510.574,30
510.785,220
510.861,10
510.864,10
511.010,15
511.019,90
511.029,10
511.592,600
511.598,15
511.641,10
511.646,35
511.652,15
511.690,20
511.695,10
511.744,55
511.790,15
511.795,15
511.800,10
511.858,15
511.885,65
511.888,10
511.893,25
511.896,30
511.983,15
511.986,15
512.084,195
512.133,10
512.145,15
512.373,265
512.423,30
512.433,15
512.436,10
512.665,20
512.957,190
512.963,365
513.055,10
513.060,70
513.104,10
513.117,15
513.122,10
513.206,15
513.211,45
513.217,10
513.464,20
513.497,170
513.503,10
513.509,10
513.514,10
513.519,10
513.786,25
513.791,385
515.009,10
515.054,1160
515.058,15
515.060,10
515.102,10
515.107,10
515.110,20
515.113,10
515.227,30
515.298,110
515.302,30
515.315,15
515.318,10
515.346,10
515.350,15
515.354,45
515.450,50
515.493,50
515.496,20
515.500,10
515.503,10
515.594,10
515.601,10
515.626,10
515.636,15
516.593,20
516.810,820
516.813,510
516.816,15
516.858,10
516.861,10
517.105,15
517.150,295
517.541,10
518.516,375
518.613,1020
518.906,10
519.198,305
519.588,270
520.856,495
520.859,1225
520.904,25
520.908,15
520.912,15
521.004,15
521.059,10
521.099,15
521.103,10
521.106,15
521.110,15
521.151,20
521.297,120
