df_hash,22ZHK4.QEBF70
194.307,15
194.840,370
195.523,610
196.108,585
196.644,605
196.936,595
197.327,250
198.155,365
198.301,865
198.594,425
199.573,665
199.813,630
200.788,640
200.791,290
201.080,10
201.621,315
201.909,610
201.916,250
202.055,10
202.061,30
202.884,295
203.469,615
203.713,625
203.718,265
204.152,15
204.395,385
204.835,225
205.127,425
205.370,255
206.101,375
206.345,635
206.638,255
206.784,380
206.789,140
206.833,10
207.321,10
207.905,455
208.442,570
208.734,615
208.737,280
209.125,10
209.276,320
209.517,195
209.522,15
209.709,20
210.282,365
210.543,645
210.586,160
210.592,15
210.597,15
210.602,10
210.928,10
211.512,365
211.757,635
212.196,240
212.345,390
212.732,240
213.325,340
214.004,630
214.145,605
214.148,260
214.587,10
214.986,420
215.266,290
215.803,320
216.486,655
217.216,650
217.753,655
218.436,635
219.167,625
219.849,690
220.385,670
221.069,630
221.653,630
221.799,635
221.945,235
221.951,10
221.997,15
222.924,345
223.457,590
223.749,630
223.995,235
224.627,325
225.406,605
225.410,605
225.414,160
225.417,15
225.421,15
225.797,10
226.534,370
226.920,685
227.210,255
227.356,430
227.503,250
227.746,20
228.359,355
229.700,615
229.989,1290
229.994,370
230.287,230
231.500,610
232.085,600
232.232,600
232.341,245
232.478,10
232.487,10
233.304,325
233.889,640
234.572,630
234.875,615
235.134,300
235.400,305
235.693,325
236.375,275
236.917,615
237.204,570
237.207,325
237.497,10
238.032,265
238.716,635
239.154,625
240.129,445
240.666,975
241.256,485
241.689,570
241.933,540
242.371,265
243.590,335
243.882,1255
243.886,300
244.175,235
246.128,1165
246.954,590
247.198,1170
247.492,260
248.611,265
249.294,1145
250.952,595
251.244,1805
251.247,260
251.251,10
251.390,40
251.393,15
251.585,220
253.486,1265
254.027,625
254.461,630
254.857,385
255.291,405
255.828,420
256.515,615
256.948,680
257.094,315
258.462,210
258.654,1280
258.898,220
259.141,335
259.874,270
259.971,725
260.020,160
261.384,700
262.659,715
263.335,1250
263.627,590
263.773,355
264.456,185
264.992,630
264.995,365
265.821,230
266.259,820
266.503,660
267.771,380
267.917,1020
268.600,415
269.872,360
270.261,1170
271.238,465
271.671,910
271.817,660
273.475,390
274.011,1200
274.843,685
274.986,630
275.306,285
275.523,270
276.253,290
276.498,980
277.911,625
278.203,725
279.280,260
280.398,1145
280.983,1145
281.665,635
282.201,630
282.884,595
283.473,615
284.060,615
284.298,595
284.590,200
284.834,340
285.276,340
285.956,360
286.101,890
286.784,405
287.223,225
287.905,390
288.647,675
289.173,655
289.856,655
290.548,670
291.123,680
291.366,665
291.370,195
291.613,10
291.616,20
291.806,10
292.489,410
292.634,690
292.640,210
293.317,15
293.756,650
294.441,455
295.121,625
295.707,670
295.949,630
296.388,215
296.535,630
297.902,370
298.200,725
298.582,580
298.875,685
299.704,255
300.142,550
300.535,525
300.974,10
301.117,720
301.120,240
301.515,10
302.190,400
302.921,670
303.459,680
304.189,595
304.286,650
304.289,170
304.435,10
305.408,15
306.090,1145
306.675,665
307.358,570
308.040,715
308.576,600
309.161,635
310.039,490
310.526,825
311.257,625
311.940,705
312.504,630
313.209,630
314.183,745
314.573,970
315.307,320
315.938,740
316.230,720
316.669,230
316.958,415
317.498,295
318.327,655
318.619,770
319.838,345
320.131,1195
320.569,360
320.666,370
320.716,90
321.937,40
322.471,1230
323.738,540
324.323,1295
325.005,635
325.323,875
326.224,380
326.956,660
327.638,670
327.785,695
328.325,200
328.906,470
329.588,655
329.978,685
330.274,385
331.102,255
331.393,710
331.636,385
332.220,300
333.196,580
333.588,985
333.732,390
334.902,215
335.146,1100
335.390,280
335.394,325
336.511,865
336.657,370
337.486,770
338.461,970
339.144,280
339.436,390
339.583,545
340.119,365
340.752,150
341.386,540
341.391,715
341.632,45
341.680,10
342.068,280
342.217,535
343.337,365
344.026,695
344.560,655
345.286,635
345.433,675
346.118,195
346.554,445
346.799,700
346.944,245
347.236,380
348.601,725
349.284,690
349.577,640
349.873,320
350.551,340
350.844,705
351.235,260
351.824,360
352.212,875
354.549,1140
355.963,1365
356.650,1365
356.938,690
357.230,330
357.918,350
358.206,610
358.303,280
359.188,195
359.570,815
359.872,375
361.081,270
361.667,1310
362.350,585
362.647,615
362.888,330
363.179,350
363.617,260
364.164,340
364.592,655
364.984,310
365.860,340
366.785,935
367.371,995
369.031,615
369.199,1375
369.418,350
369.906,290
370.252,415
371.222,520
371.514,970
371.810,310
372.489,285
373.027,600
373.611,555
374.001,620
374.740,340
375.415,770
376.097,760
376.243,690
376.390,145
376.395,10
376.441,20
376.780,10
377.611,405
378.047,625
378.340,725
378.730,220
379.022,405
379.998,340
380.259,910
380.533,275
381.119,320
381.801,630
382.337,625
383.020,635
383.351,600
384.434,380
384.726,1020
385.363,275
385.709,675
386.384,300
386.920,795
387.505,525
388.191,610
388.334,610
388.870,205
390.138,515
390.240,1215
390.284,205
390.287,10
391.259,355
391.795,615
392.483,620
392.666,780
393.746,500
394.428,670
394.964,700
395.415,550
396.378,385
396.914,900
398.036,575
398.572,1145
398.864,590
398.874,210
399.175,10
399.255,10
399.693,365
400.303,560
400.815,565
401.789,505
401.792,935
402.082,10
402.493,370
402.620,340
402.787,10
403.447,280
403.985,700
404.569,605
406.079,545
406.082,1545
406.088,10
406.543,10
407.201,325
407.737,790
408.469,560
409.007,660
409.541,640
409.687,465
410.142,160
410.425,405
411.101,330
411.637,705
412.294,485
413.446,645
414.518,1175
415.105,860
415.683,860
416.220,545
417.049,610
417.491,755
417.877,410
418.467,515
419.146,600
419.681,575
420.802,610
421.241,1095
421.245,420
421.778,610
422.323,270
422.899,280
423.435,525
423.727,565
424.020,525
424.849,590
425.093,555
426.363,590
427.392,680
427.726,1000
427.872,365
428.606,210
429.431,725
429.675,865
429.968,255
430.412,260
430.943,355
431.507,570
432.078,575
433.432,575
433.576,1200
433.868,355
434.550,310
434.843,675
435.239,330
435.964,335
435.967,755
436.210,10
437.036,170
437.817,930
438.987,695
439.572,1235
439.962,560
440.403,360
440.572,290
440.801,340
441.522,10
441.765,1020
441.771,245
442.204,10
442.452,425
443.184,210
443.228,765
443.423,15
443.864,270
444.018,365
444.155,345
445.519,680
445.665,645
445.669,200
446.348,10
447.616,640
449.424,1220
449.833,1940
451.373,400
452.052,1510
452.442,725
452.447,435
453.710,10
454.150,1245
454.831,315
455.514,770
456.115,700
456.489,610
456.781,410
457.025,490
458.146,445
458.829,700
458.835,645
458.877,10
459.414,10
460.096,575
460.388,725
460.778,510
460.782,200
461.608,735
462.339,120
462.437,615
462.875,185
463.314,485
463.413,360
464.293,185
465.508,830
466.044,1180
466.630,600
467.897,565
469.118,1240
469.700,1200
470.406,675
470.919,610
471.507,610
472.187,590
472.723,665
473.015,620
473.018,145
473.164,25
473.405,10
473.991,445
474.527,600
475.209,600
475.805,605
476.331,615
477.501,550
478.719,1150
478.865,1200
478.869,160
478.966,60
479.854,390
480.523,595
481.059,640
481.645,585
482.335,590
482.515,590
482.865,250
483.448,335
484.130,655
484.960,590
485.203,820
485.791,280
486.081,585
486.085,360
486.178,10
486.325,255
487.592,675
488.275,620
488.973,590
489.542,710
489.932,540
490.814,500
491.346,890
492.467,435
492.711,1125
493.589,295
494.271,940
494.419,595
494.517,225
495.396,10
495.490,990
495.641,120
495.783,30
495.787,20
495.933,10
496.319,380
496.611,330
496.757,510
498.025,365
498.269,885
499.000,260
499.247,625
499.390,455
501.193,730
502.168,1110
502.607,930
503.582,480
505.484,930
507.583,1935
507.872,2185
507.877,205
509.019,15
509.143,1125
509.244,10
509.286,255
509.292,10
509.297,15
509.383,10
509.389,170
509.435,15
509.440,10
509.445,10
509.542,20
509.676,15
509.681,125
509.730,15
509.738,10
510.148,410
510.837,10
510.916,665
510.944,140
511.334,25
511.337,510
511.480,10
511.633,240
512.016,420
512.020,10
512.212,10
512.406,25
513.286,255
513.338,895
513.350,10
513.722,10
515.384,505
515.430,1645
515.448,15
516.453,15
517.607,1065
518.695,1115
519.134,1085
519.378,455
520.651,265
