df_hash,22ZHK4.A59L8C
433.289,56
434.511,56
435.362,56
436.433,56
437.579,56
438.374,56
439.285,55
440.511,55
441.332,55
442.259,55
443.575,55
444.306,55
445.267,55
446.451,55
447.350,55
448.182,55
449.522,55
450.303,55
451.277,55
452.301,69
453.276,63
454.154,70
455.327,72
456.397,73
457.100,73
458.297,74
459.279,74
460.104,75
461.272,75
462.223,74
463.224,74
464.418,74
465.182,74
466.202,74
467.269,75
468.194,76
469.022,78
470.265,80
471.221,80
472.057,80
473.215,80
474.044,78
475.035,78
476.210,77
477.076,77
478.090,77
479.337,78
480.092,77
481.015,77
482.209,76
483.160,76
484.037,76
485.159,76
486.061,79
487.053,81
488.099,80
489.107,81
489.985,81
491.129,81
492.032,82
492.910,83
494.073,83
495.066,83
495.981,82
497.448,82
498.029,82
498.833,82
500.076,82
501.002,82
501.880,82
503.001,82
504.025,82
504.903,82
506.024,82
506.999,82
507.971,82
509.049,81
510.022,81
510.850,83
512.020,84
512.946,85
513.775,84
515.043,84
