Time_sec,Conductance_microS,Stage,HeartRate_BPM,RR_Interval_ms,Conductance_microS_Normalized,RR_Interval_ms_Normalized
116,71.69810509078054,Normal,,,0.9042423880682425,
117,71.48238745455507,Normal,,,0.901521761757292,
118,72.05882882785507,Normal,,,0.9087918282866748,
119,72.56636012217272,Normal,,,0.9151928023429088,
120,72.85772780061463,Normal,,,0.9188675254021818,
121,73.15010694545634,Normal,,,0.922555005054509,
122,73.22338110426716,Normal,,,0.9234791372110709,
123,73.88536537790887,Normal,,,0.9318280690082958,
124,74.18122473202033,Normal,,,0.9355594409870576,
125,75.29967387711244,Normal,,,0.9496652981846451,
126,75.60036136972735,Normal,,,0.9534575625451113,
127,76.2048172113152,Normal,,,0.9610809469619177,
128,76.12905092196087,Normal,,,0.9601253841071262,
129,76.58474906624045,Normal,,,0.9658726395604657,
130,77.73438471679809,Normal,,,0.9803718203119393,
131,77.73438471679809,Normal,,,0.9803718203119393,
132,77.96608319448873,Normal,,,0.9832939966608097,
133,78.12091085857224,Normal,,,0.9852466799181413,
134,77.81156528857198,Normal,,,0.9813452200669912,
135,78.43137254901961,Normal,,,0.9891622162569987,
136,78.89907388267076,Normal,,,0.9950608556833457,
137,78.97727586841438,Normal,,,0.9960471374899953,
138,79.2906971396674,Normal,,,1.0,
139,78.2759870406276,Normal,,,0.9872024974789296,
140,76.58474906624045,Normal,,,0.9658726395604657,
141,75.22467730494053,Normal,,,0.9487194429868404,
142,74.40376542576067,Normal,,,0.9383661195565108,
143,74.25531203938503,Normal,,,0.9364938285561537,
144,74.5524245193978,Normal,,,0.9402410049325424,
145,75.22467730494053,Normal,,,0.9487194429868404,
146,75.37476332324316,Normal,,,0.9506123247068735,
147,75.90207721214705,Normal,,,0.9572627964317816,
148,75.22467730494053,Normal,,,0.9487194429868404,
149,74.18122473202033,Normal,,,0.9355594409870576,
150,73.44343973818883,Normal,,,0.9262545120940653,
151,73.51697874624145,Normal,,,0.9271819845237188,
152,73.00378451618933,Normal,,,0.9207095896405837,
153,72.78481242989912,Normal,,,0.9179479182735649,
154,72.63910206447592,Normal,,,0.9161102221960211,
155,72.85772780061463,Normal,,,0.9188675254021818,
156,73.15010694545634,Normal,,,0.922555005054509,
157,72.56636012217272,Normal,,,0.9151928023429088,
158,71.9143528822913,Normal,,,0.9069697006865495,
159,72.27600761789121,Normal,,,0.9115308826388889,
160,72.05882882785507,Normal,,,0.9087918282866748,
161,73.15010694545634,Normal,,,0.922555005054509,
162,73.22338110426716,Normal,,,0.9234791372110709,
163,74.10712036033847,Normal,,,0.9346248382031508,
164,74.10712036033847,Normal,,,0.9346248382031508,
165,74.5524245193978,Normal,,,0.9402410049325424,
166,75.7510910050882,Normal,,,0.9553585615500051,
167,76.2048172113152,Normal,,,0.9610809469619177,
168,76.43255629448852,Normal,,,0.9639531875100454,
169,77.0427895653246,Normal,,,0.9716494367435513,
170,76.50863552969223,Normal,,,0.9649126972313362,
171,77.50327838867584,Normal,,,0.9774571121410257,
172,77.3495107256699,Normal,,,0.9755177975950882,
173,78.35363345386733,Normal,,,0.9881817724167941,
174,78.97727586841438,Normal,,,0.9960471374899953,
175,79.1338327205737,Normal,,,0.9980216292311296,
176,79.21225001604049,Normal,,,0.9990106265194995,
177,77.11937539475481,Normal,,,0.9726153356206186,
178,75.60036136972735,Normal,,,0.9534575625451113,
179,74.40376542576067,Normal,,,0.9383661195565108,
180,75.07479326278805,Normal,,,0.9468291085857837,
181,74.92522462582343,Normal,,,0.9449427520683518,
182,75.14971702374055,Normal,,,0.9477740454900139,
183,75.44988882458881,Normal,,,0.9515598059567175,
184,75.7510910050882,Normal,,,0.9553585615500051,
185,76.43255629448852,Normal,,,0.9639531875100454,
186,76.58474906624045,Normal,,,0.9658726395604657,
187,76.81347001010097,Normal,,,0.9687572633150202,
188,76.88983685514415,Normal,,,0.9697204003655838,
189,76.81347001010097,Normal,,,0.9687572633150202,
190,77.27270619835285,Normal,,,0.9745491405048516,
191,76.2048172113152,Normal,,,0.9610809469619177,
192,76.50863552969223,Normal,,,0.9649126972313362,
193,78.74288558028782,Normal,,,0.9930910120842735,
194,77.11937539475481,Normal,,,0.9726153356206186,
195,76.73713693742087,Normal,,,0.9677945522007926,
196,77.0427895653246,Normal,,,0.9716494367435513,
197,77.81156528857198,Normal,,,0.9813452200669912,
198,77.65729679609291,Normal,,,0.9793995890702258,
199,76.96629645878069,Normal,,,0.9706847072855844,
200,77.3495107256699,Normal,,,0.9755177975950882,
201,76.28067627396358,Normal,,,0.9620376798715511,
202,75.07479326278805,Normal,,,0.9468291085857837,
203,74.47807626108141,Normal,,,0.9393033262555078,
204,74.47807626108141,Normal,,,0.9393033262555078,
205,75.44988882458881,Normal,,,0.9515598059567175,
206,75.22467730494053,Normal,,,0.9487194429868404,
207,74.40376542576067,Normal,,,0.9383661195565108,
208,75.60036136972735,Normal,,,0.9534575625451113,
209,75.60036136972735,Normal,,,0.9534575625451113,
210,76.50863552969223,Normal,,,0.9649126972313362,
211,76.50863552969223,Normal,,,0.9649126972313362,
212,76.58474906624045,Normal,,,0.9658726395604657,
213,76.43255629448852,Normal,,,0.9639531875100454,
214,76.43255629448852,Normal,,,0.9639531875100454,
215,75.07479326278805,Normal,,,0.9468291085857837,
216,74.70134402658174,Normal,,,0.9421191746387731,
217,75.14971702374055,Normal,,,0.9477740454900139,
218,75.5250501486333,Normal,,,0.9525077390016893,
219,76.28067627396358,Normal,,,0.9620376798715511,
220,76.58474906624045,Normal,,,0.9658726395604657,
221,76.88983685514415,Normal,,,0.9697204003655838,
222,76.81347001010097,Normal,,,0.9687572633150202,
223,77.11937539475481,Normal,,,0.9726153356206186,
224,77.27270619835285,Normal,,,0.9745491405048516,
225,77.58024124351817,Normal,,,0.9784277660546958,
226,77.11937539475481,Normal,,,0.9726153356206186,
227,77.65729679609291,Normal,,,0.9793995890702258,
228,77.65729679609291,Normal,,,0.9793995890702258,
229,78.12091085857224,Normal,,,0.9852466799181413,
230,78.04348114508517,Normal,,,0.9842701379930197,
231,78.35363345386733,Normal,,,0.9881817724167941,
232,77.96608319448873,Normal,,,0.9832939966608097,
233,78.19843321619209,Normal,,,0.9862243902691253,
234,79.05550803441129,Normal,,,0.9970337999293676,
235,79.05550803441129,Normal,,,0.9970337999293676,
236,79.1338327205737,Normal,,,0.9980216292311296,
237,78.58700563861765,Normal,,,0.9911250575240539,
238,78.5091427822227,Normal,,,0.9901430528096481,
239,77.81156528857198,Normal,,,0.9813452200669912,
240,77.81156528857198,Normal,,,0.9813452200669912,
241,78.58700563861765,Normal,,,0.9911250575240539,
242,77.4263481862878,Normal,,,0.9764868700394254,
243,75.60036136972735,Normal,,,0.9534575625451113,
244,74.18122473202033,Normal,,,0.9355594409870576,
245,74.10712036033847,Normal,,,0.9346248382031508,
246,73.95919079770165,Normal,,,0.9327591536568188,
247,74.18122473202033,Normal,,,0.9355594409870576,
248,74.32949223293971,Normal,,,0.9374293876039329,
249,73.95919079770165,Normal,,,0.9327591536568188,
250,73.51697874624145,Normal,,,0.9271819845237188,
251,74.18122473202033,Normal,,,0.9355594409870576,
252,72.93073622119601,Normal,,,0.9197883060737586,
253,72.27600761789121,Normal,,,0.9115308826388889,
254,71.98657018546619,Normal,,,0.9078805038019616,
255,72.20352151015109,Normal,,,0.910616689365929,
256,72.85772780061463,Normal,,,0.9188675254021818,
257,72.78481242989912,Normal,,,0.9179479182735649,
258,71.33888825476544,Normal,,,0.8997119528544171,
259,71.48238745455507,Normal,,,0.901521761757292,
260,70.05813423979217,Stress,,,0.8835591100365507,
261,69.91701549430981,Stress,,,0.8817793233735524,
262,69.98752822247076,Stress,,,0.8826686284245825,
263,69.1449603349935,Stress,,,0.8720421798710826,
264,68.3107236223264,Stress,,,0.8615208039198339,
265,66.53112059697044,Stress,,,0.8390764878289144,
266,64.98789925315906,Stress,,,0.8196134125558051,
267,63.34265526076587,Stress,,,0.7988636297751355,
268,62.24247177303904,Stress,,,0.7849881386657562,
269,59.960917473990456,Stress,,,0.7562132236218803,
270,58.78248540577844,Stress,,,0.7413508630539463,
271,56.47688175322314,Stress,,,0.7122726380672368,
272,55.172413793103445,Stress,,,0.6958207154697537,
273,53.94738403740064,Stress,,,0.680370665842941,
274,53.313372806554554,Stress,,,0.6723745294756992,
275,53.42825040111259,Stress,,,0.6738233632927294,
276,53.1413725247413,Stress,,,0.6702052655231546,
277,51.61050583456768,Stress,,,0.6508980068830186,
278,50.551465941960856,Stress,,,0.6375414179337463,
279,49.61636625610778,Stress,,,0.6257479602767456,
280,49.56172565998872,Stress,,,0.6250588342226655,
281,49.50710724031542,Stress,,,0.624369987857455,
282,47.4612953136717,Stress,,,0.5985682506779062,
283,46.406856334582294,Stress,,,0.5852696883535726,
284,46.77419430280958,Stress,,,0.5899025471168017,
285,47.4612953136717,Stress,,,0.5985682506779062,
286,47.037706366177254,Stress,,,0.5932259557420547,
287,48.692816981717314,Stress,,,0.6141001761672458,
288,48.208476592856265,Stress,,,0.6079916853250132,
289,51.666663222222454,Stress,,,0.6516062626801854,
290,44.0379836416506,Stress,,,0.5553935155544891,
291,43.83561643835617,Stress,,,0.5528412646241071,
292,42.88206959159545,Stress,,,0.5408151517600226,
293,42.385255695412766,Stress,,,0.5345493453046447,
294,41.20690067241421,Stress,,,0.5196879564293296,
295,40.432106003278236,Stress,,,0.5099162622863795,
296,40.239732228725856,Stress,,,0.5074900482700299,
297,39.71341213268569,Stress,,,0.5008521102399089,
298,39.570548748541825,Stress,,,0.49905032023064444,
299,38.95487194949267,Stress,,,0.49128541733330267,
300,39.238352193247316,Stress,,,0.4948606642314627,
301,39.618144476279824,Stress,,,0.499650596552222,
302,39.6657604362599,Stress,,,0.500251128042413,
303,38.297873970122296,Stress,,,0.4829993725750148,
304,37.92523192227452,Stress,,,0.4782996188706795,
305,38.62559324083019,Stress,,,0.48713256115474446,
306,38.81356254553316,Stress,,,0.48950322608958285,
307,38.39134137043268,Stress,,,0.4841781814705229,
308,39.14372322569331,Stress,,,0.4936672056742012,
309,38.95487194949267,Stress,,,0.49128541733330267,
310,39.14372322569331,Stress,,,0.4936672056742012,
311,39.6657604362599,Stress,,,0.500251128042413,
312,39.14372322569331,Stress,,,0.4936672056742012,
313,39.380528533949565,Stress,,,0.4966537892632283,
314,39.238352193247316,Stress,,,0.4948606642314627,
315,39.47548138375774,Stress,,,0.49785133261669723,
316,39.85656419676867,Stress,,,0.5026575410745208,
322,38.39134137043268,Stress,,,0.4841781814705229,
323,38.48495507651194,Stress,,,0.4853588355713244,
324,38.15788971606714,Stress,,,0.4812338940941401,
325,36.91073397363614,Stress,,,0.4655047919860294,
326,36.91073397363614,Stress,,,0.4655047919860294,
327,37.50839250282251,Stress,,,0.4730424488411641,
328,38.90773536359084,Stress,,,0.4906909316989484,
329,39.80880626526916,Stress,,,0.5020552190424995,
330,40.432106003278236,Stress,,,0.5099162622863795,
331,40.67330590596738,Stress,,,0.5129582704083714,
332,40.721652843022916,Stress,,,0.5135680209661314,
333,39.95215330120648,Stress,,,0.5038631088580554,
334,40.0,Stress,,,0.5044665504213299,
335,40.239732228725856,Stress,,,0.5074900482700299,
336,40.9638633183351,Stress,,,0.5166227744088837,
337,44.291765806402466,Stress,,,0.5585942109021437,
338,65.32096763868621,Stress,,,0.8238140640596249,
339,51.44231387527811,Stress,,,0.6487767734143964,
340,46.093463716377705,Stress,,,0.5813171872152147,
341,50.93991789504033,Stress,,,0.6424405658318045,
342,62.24247177303904,Stress,,,0.7849881386657562,
343,46.87949017616844,Stress,,,0.5912305364667091,
344,47.51440280334976,Stress,,,0.5992380412256556,
345,47.037706366177254,Stress,,,0.5932259557420547,
346,46.932183932860696,Stress,,,0.591895109022705,
347,47.037706366177254,Stress,,,0.5932259557420547,
348,48.10127434706128,Stress,,,0.6066396528458609,
349,49.180335931202606,Stress,,,0.6202487549495123,
350,49.398035538922684,Stress,,,0.6229943778434502,
351,44.342614094654635,Stress,,,0.5592355084488174,
352,44.39352014422566,Stress,,,0.559877534480035,
353,44.95576128310936,Stress,,,0.5669685079503122,
354,46.250003468750265,Stress,,,0.5832914632941966,
355,47.090512674411485,Stress,,,0.5938919477957413,
356,46.406856334582294,Stress,,,0.5852696883535726,
357,46.66906545663113,Stress,,,0.5885766643101961,
358,47.24919888983282,Stress,,,0.5958932950217474,
359,47.40821650763581,Stress,,,0.5978988218876512,
360,46.932183932860696,Stress,,,0.591895109022705,
361,46.35453991728496,Stress,,,0.5846098747941239,
362,46.616547662389905,Stress,,,0.5879143109889479,
363,46.98493005353463,Stress,,,0.5925603419921415,
364,47.62077103742802,Stress,,,0.6005795551665009,
365,48.26212899694887,Stress,,,0.6086683483219484,
366,48.746816832860816,Stress,,,0.6147812211591113,
367,47.51440280334976,Stress,,,0.5992380412256556,
368,46.30225556807774,Stress,,,0.5839504656767562,
369,46.19778379991555,Stress,,,0.5826328699243325,
370,46.45922622158728,Stress,,,0.5859301762718546,
371,47.72727489669431,Stress,,,0.6019227796093776,
372,47.72727489669431,Stress,,,0.6019227796093776,
373,48.047724844133185,Stress,,,0.6059642876362579,
374,47.143371005601104,Stress,,,0.5945585959618518,
375,46.250003468750265,Stress,,,0.5832914632941966,
376,44.95576128310936,Stress,,,0.5669685079503122,
377,44.39352014422566,Stress,,,0.559877534480035,
378,42.0888175062544,Stress,,,0.5308106730703922,
