df_hash,22ZHK4.YBNJA6
438.992,35
440.208,44
441.091,42
441.967,45
443.210,46
444.063,42
444.940,33
446.159,23
447.082,20
447.914,30
449.424,27
450.012,25
450.989,30
452.107,30
452.983,32
453.935,0
455.081,2
456.054,6
456.941,33
458.297,46
458.931,0
459.858,0
461.027,19
462.199,29
462.831,28
464.001,37
464.928,37
465.850,36
466.975,42
467.900,40
468.778,43
469.994,36
470.969,36
471.752,35
473.016,46
473.848,57
474.798,76
476.088,77
476.822,75
477.699,77
478.918,61
479.844,64
480.743,64
481.892,65
482.811,72
483.992,67
485.060,64
485.840,72
486.669,89
487.839,46
488.766,40
489.643,57
490.814,37
491.739,27
492.629,44
493.883,58
495.005,73
495.590,80
496.810,82
497.981,44
498.564,31
499.831,1
500.660,0
501.587,0
502.756,0
503.642,0
504.562,33
505.878,43
506.608,40
507.533,27
508.947,35
509.676,26
510.602,39
511.877,36
512.606,48
513.481,29
514.798,27
515.578,28
516.601,31
517.674,15
518.551,23
519.428,75
520.647,0
521.528,0
