df_hash,22ZHK4.QRYGM8
426.147,29
427.949,25
428.826,23
430.044,27
430.923,31
431.800,33
433.897,8
435.245,0
435.848,30
436.870,0
437.751,0
438.675,1
439.844,1
440.773,0
441.699,0
442.872,27
443.939,30
444.770,45
445.792,42
446.670,0
447.696,0
448.773,0
449.886,23
450.570,41
451.743,52
452.814,74
453.641,73
454.719,26
455.600,25
456.866,22
457.693,24
458.570,25
459.495,31
460.666,25
461.721,44
462.469,31
463.648,21
464.566,18
465.442,0
466.613,28
467.547,43
468.416,37
469.586,47
470.566,44
471.389,39
472.583,30
473.486,28
474.511,36
475.533,40
476.461,46
477.343,42
478.555,49
479.546,48
480.336,38
481.530,26
482.459,31
483.285,49
484.504,37
485.382,29
486.404,50
487.529,65
488.355,55
489.233,70
490.457,80
491.329,84
492.207,82
493.431,81
494.304,73
495.181,58
496.399,59
497.277,59
498.203,55
499.375,53
500.251,65
501.274,67
502.347,66
503.284,72
504.202,69
505.323,31
506.203,35
507.365,33
508.294,24
509.172,31
510.125,36
511.324,32
512.148,33
513.024,34
514.248,39
515.120,30
516.140,0
517.216,0
518.122,23
519.022,20
520.243,0
521.119,16
521.994,21
