df_hash,22ZHK4.LDJS1X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.K7SC
person_label,V9
date_time_start,2025-05-22_11-15-08.285000_+03
date_time_start_unix,1747901708.285
date_time_end,2025-05-22_11-23-57.022000_+03
length_difference_noticed,no

time,acc_mag
25.890,1.003
25.920,1.000
25.950,0.999
25.980,1.001
26.010,0.993
26.040,0.995
26.070,1.002
26.100,0.997
26.130,1.001
26.160,1.000
26.190,1.002
26.220,0.997
26.250,1.002
26.280,0.998
26.310,0.992
26.340,1.000
26.370,0.999
26.400,0.996
26.430,1.000
26.460,1.006
26.490,1.011
26.520,1.018
26.550,1.020
26.580,1.016
26.610,1.003
26.640,0.998
26.670,0.991
26.700,0.987
26.730,0.989
26.760,0.996
26.790,0.990
26.820,0.988
26.850,0.990
26.880,0.990
26.910,0.991
26.940,0.994
26.970,0.998
27.000,1.000
27.030,0.998
27.060,0.997
27.090,1.002
27.120,1.001
27.150,1.003
27.180,0.997
27.210,0.997
27.240,0.998
27.270,1.004
27.300,0.998
27.330,1.001
27.360,1.002
27.390,1.001
27.420,1.004
27.450,0.998
27.480,1.000
27.510,1.001
27.540,1.004
27.570,1.001
27.600,0.994
27.630,1.002
27.660,1.002
27.690,1.002
27.720,0.997
27.750,0.995
27.780,0.999
27.810,0.999
27.840,1.000
27.870,1.003
27.900,1.007
27.930,1.000
27.960,1.002
27.990,0.999
28.020,0.998
28.050,0.992
28.080,0.992
28.110,1.002
28.140,1.000
28.170,0.997
28.200,0.993
28.230,1.003
28.260,1.011
28.290,1.012
28.320,1.009
28.350,1.000
28.380,0.991
28.410,0.989
28.440,0.988
28.470,1.001
28.500,1.002
28.530,0.999
28.560,1.003
28.590,1.001
28.620,0.999
28.650,0.991
28.680,0.995
28.710,0.987
28.740,0.993
28.770,0.996
28.800,1.000
28.830,1.012
28.860,0.992
28.890,0.990
28.920,0.989
28.950,0.991
28.980,1.001
29.010,1.000
29.040,1.000
29.070,1.037
29.100,1.017
29.130,0.980
29.160,0.974
29.190,1.011
29.220,1.001
29.250,0.995
29.280,0.998
29.310,1.015
29.340,0.993
29.370,0.987
29.400,0.978
29.430,0.989
29.460,0.988
29.490,0.994
29.520,1.003
29.550,0.993
29.580,1.000
29.610,0.996
29.640,1.001
29.670,0.975
29.700,0.984
29.730,0.997
29.760,0.997
29.790,0.998
29.820,0.996
29.850,0.997
29.880,0.993
29.910,0.996
29.940,0.988
29.970,0.980
30.000,0.985
30.030,0.986
30.060,0.985
30.090,0.991
30.120,0.990
30.150,0.988
30.180,0.995
30.210,0.990
30.240,0.990
30.270,0.996
30.300,0.996
30.330,0.989
30.360,0.996
30.390,0.986
30.420,1.000
30.450,0.999
30.480,0.988
30.510,0.987
30.540,0.993
30.570,0.982
30.600,0.979
30.630,0.988
30.660,0.984
30.690,0.997
30.720,0.981
30.750,0.996
30.780,0.991
30.810,1.021
30.840,1.027
30.870,0.994
30.900,0.994
30.930,1.003
30.960,0.987
30.990,0.977
31.020,0.982
31.050,1.001
31.080,0.995
31.110,0.994
31.140,0.997
31.170,0.992
31.200,1.002
31.230,1.006
31.260,0.995
31.290,0.993
31.320,0.995
31.350,1.002
31.380,0.997
31.410,0.995
31.440,0.998
31.470,0.993
31.500,0.990
31.530,0.989
31.560,0.991
31.590,1.004
31.620,1.007
31.650,1.010
31.680,1.016
31.710,1.021
31.740,1.021
31.770,1.018
31.800,1.017
31.830,1.011
31.860,1.010
31.890,1.003
31.920,1.000
31.950,1.014
31.980,1.017
32.010,1.015
32.040,1.015
32.070,1.016
32.100,1.010
32.130,1.010
32.160,1.007
32.190,1.007
32.220,1.007
32.250,1.012
32.280,1.012
32.310,1.016
32.340,1.011
32.370,1.011
32.400,1.008
32.430,1.008
32.460,1.011
32.490,1.008
32.520,1.008
32.550,1.012
32.580,1.013
32.610,1.006
32.640,1.002
32.670,1.011
32.700,1.009
32.730,1.006
32.760,1.007
32.790,1.008
32.820,1.011
32.850,1.012
32.880,1.010
32.910,1.013
32.940,1.013
32.970,1.006
33.000,1.011
33.030,1.008
33.060,1.007
33.090,1.013
33.120,1.010
33.150,0.999
33.180,1.007
33.210,1.005
33.240,1.003
33.270,1.007
33.300,1.008
33.330,1.011
33.360,1.008
33.390,1.010
33.420,1.008
33.450,0.998
33.480,1.005
33.510,1.004
33.540,1.010
33.570,1.008
33.600,1.010
33.630,1.007
33.660,1.002
33.690,1.009
33.720,1.008
33.750,1.004
33.780,1.008
33.810,1.013
33.840,1.008
33.870,1.006
33.900,1.005
33.930,1.005
33.960,1.005
33.990,1.010
34.020,1.015
34.050,1.010
34.080,1.009
34.110,1.005
34.140,1.003
34.170,1.003
34.200,1.009
34.230,1.012
34.260,1.009
34.290,1.012
34.320,1.006
34.350,1.006
34.380,1.008
34.410,1.013
34.440,1.009
34.470,1.008
34.500,1.007
34.530,1.010
34.560,1.003
34.590,1.010
34.620,1.010
34.650,1.006
34.680,1.009
34.710,1.006
34.740,1.006
34.770,1.010
34.800,1.012
34.830,1.010
34.860,1.009
34.890,1.010
34.920,1.007
34.950,1.009
34.980,1.008
35.010,1.008
35.040,1.009
35.070,1.004
35.100,1.010
35.130,1.009
35.160,1.005
35.190,1.006
35.220,1.013
35.250,1.010
35.280,1.007
35.310,1.010
35.340,1.012
35.370,1.011
35.400,1.012
35.430,1.001
35.460,1.004
35.490,1.003
35.520,1.006
35.550,1.009
35.580,1.011
35.610,1.013
35.640,1.013
35.670,1.011
35.700,1.007
35.730,1.006
35.760,1.004
35.790,1.006
35.820,1.008
35.850,1.014
35.880,1.009
35.910,1.012
35.940,1.010
35.970,1.010
36.000,1.008
36.030,1.013
36.060,1.006
36.090,1.009
36.120,1.011
36.150,1.001
36.180,1.010
36.210,1.018
36.240,1.011
36.270,1.010
36.300,1.008
36.330,1.011
36.360,1.008
36.390,1.009
36.420,1.012
36.450,1.011
36.480,1.007
36.510,1.010
36.540,1.008
36.570,1.008
36.600,1.010
36.630,1.010
36.660,1.017
36.690,1.007
36.720,1.016
36.750,1.007
36.780,1.004
36.810,1.007
36.840,1.010
36.870,1.009
36.900,1.009
36.930,1.012
36.960,1.009
36.990,1.011
37.020,1.006
37.050,1.004
37.080,1.008
37.110,1.009
37.140,1.009
37.170,1.009
37.200,1.012
37.230,1.011
37.260,1.013
37.290,1.011
37.320,1.011
37.350,1.011
37.380,1.011
37.410,1.006
37.440,1.005
37.470,1.009
37.500,1.010
37.530,1.009
37.560,1.008
37.590,1.009
37.620,1.005
37.650,1.005
37.680,1.008
37.710,1.011
37.740,1.005
37.770,1.008
37.800,1.008
37.830,1.005
37.860,1.005
37.890,1.004
37.920,1.007
37.950,1.006
37.980,1.011
38.010,1.008
38.040,1.005
38.070,1.007
38.100,1.009
38.130,1.005
38.160,1.007
38.190,1.005
38.220,1.007
38.250,1.004
38.280,1.001
38.310,1.007
38.340,1.003
38.370,1.007
38.400,1.005
38.430,1.007
38.460,1.010
38.490,1.004
38.520,1.006
38.550,1.005
38.580,1.010
38.610,1.003
38.640,1.006
38.670,1.004
38.700,1.004
38.730,1.004
38.760,1.006
38.790,1.006
38.820,1.004
38.850,1.006
38.880,1.005
38.910,1.005
38.940,1.003
38.970,1.005
39.000,1.005
39.030,1.000
39.060,1.005
39.090,1.010
39.120,1.008
39.150,1.006
39.180,1.002
39.210,1.001
39.240,1.006
39.270,1.002
39.300,1.005
39.330,1.005
39.360,1.006
39.390,1.001
39.420,1.006
39.450,1.004
39.480,0.998
39.510,1.008
39.540,1.004
39.570,1.004
39.600,1.004
39.630,1.005
39.660,1.003
39.690,1.005
39.720,1.003
39.750,1.006
39.780,1.002
39.810,1.005
39.840,1.004
39.870,1.007
39.900,1.005
39.930,1.004
39.960,1.005
39.990,1.001
40.020,1.003
40.050,1.000
40.080,1.009
40.110,1.004
40.140,1.007
40.170,1.000
40.200,1.002
40.230,1.004
40.260,1.001
40.290,1.005
40.320,1.007
40.350,1.000
40.380,1.006
40.410,1.006
40.440,1.005
40.470,1.003
40.500,1.005
40.530,1.001
40.560,1.002
40.590,1.002
40.620,1.003
40.650,1.006
40.680,1.007
40.710,1.005
40.740,1.007
40.770,1.003
40.800,1.007
40.830,1.007
40.860,1.005
40.890,1.004
40.920,1.004
40.950,1.007
40.980,1.006
41.010,1.006
41.040,1.006
41.070,1.002
41.100,1.005
41.130,1.005
41.160,1.008
41.190,1.009
41.220,1.008
41.250,1.003
41.280,1.005
41.310,1.005
41.340,1.001
41.370,1.001
41.400,1.005
41.430,1.004
41.460,1.002
41.490,1.004
41.520,1.005
41.550,1.004
41.580,1.005
41.610,1.008
41.640,1.003
41.670,1.006
41.700,1.003
41.730,1.004
41.760,1.005
41.790,1.006
41.820,1.001
41.850,1.005
41.880,1.007
41.910,1.006
41.940,1.002
41.970,1.002
42.000,1.001
42.030,1.004
42.060,1.004
42.090,1.005
42.120,1.007
42.150,1.002
42.180,1.006
42.210,1.007
42.240,1.004
42.270,1.007
42.300,1.004
42.330,1.002
42.360,1.004
42.390,1.008
42.420,1.004
42.450,1.003
42.480,1.006
42.510,1.007
42.540,1.008
42.570,1.002
42.600,1.003
42.630,1.002
42.660,1.003
42.690,1.004
42.720,0.999
42.750,1.005
42.780,1.010
42.810,1.003
42.840,1.004
42.870,1.005
42.900,1.002
42.930,1.007
42.960,1.008
42.990,1.005
43.020,1.008
43.050,1.004
43.080,1.007
43.110,1.005
43.140,1.004
43.170,1.001
43.200,1.004
43.230,1.003
43.260,1.008
43.290,1.005
43.320,1.009
43.350,1.008
43.380,1.005
43.410,1.006
43.440,1.005
43.470,1.008
43.500,1.009
43.530,1.007
43.560,1.005
43.590,1.004
43.620,1.008
43.650,1.006
43.680,1.004
43.710,1.003
43.740,1.001
43.770,1.007
43.800,1.005
43.830,1.008
43.860,1.007
43.890,1.001
43.920,1.002
43.950,1.008
43.980,1.006
44.010,1.005
44.040,1.006
44.070,1.000
44.100,1.008
44.130,1.006
44.160,1.008
44.190,1.008
44.220,1.005
44.250,1.005
44.280,1.006
44.310,1.002
44.340,1.009
44.370,1.006
44.400,1.006
44.430,1.008
44.460,1.007
44.490,1.006
44.520,1.005
44.550,1.007
44.580,1.005
44.610,1.007
44.640,1.005
44.670,1.001
44.700,1.008
44.730,1.008
44.760,1.005
44.790,1.000
44.820,1.007
44.850,1.001
44.880,1.007
44.910,1.005
44.940,1.005
44.970,1.005
45.000,1.004
45.030,1.006
45.060,1.008
45.090,1.004
45.120,1.003
45.150,1.006
45.180,1.005
45.210,1.006
45.240,1.002
45.270,1.005
45.300,1.006
45.330,1.003
45.360,1.005
45.390,1.006
45.420,1.008
45.450,1.007
45.480,1.004
45.510,1.008
45.540,1.007
45.570,1.001
45.600,1.006
45.630,1.005
45.660,1.001
45.690,1.004
45.720,1.006
45.750,1.008
45.780,1.005
45.810,1.004
45.840,1.006
45.870,1.005
45.900,1.004
45.930,1.009
45.960,1.004
45.990,1.002
46.020,1.006
46.050,1.004
46.080,1.005
46.110,1.005
46.140,1.006
46.170,1.005
46.200,1.008
46.230,1.006
46.260,1.003
46.290,1.004
46.320,1.008
46.350,1.008
46.380,1.006
46.410,1.004
46.440,1.007
46.470,1.006
46.500,1.004
46.530,1.006
46.560,1.007
46.590,1.001
46.620,1.006
46.650,1.007
46.680,1.004
46.710,1.004
46.740,1.004
46.770,1.007
46.800,1.007
46.830,1.004
46.860,1.005
46.890,1.011
46.920,1.005
46.950,1.007
46.980,1.005
47.010,1.004
47.040,1.003
47.070,1.007
47.100,1.006
47.130,1.004
47.160,1.000
47.190,1.008
47.220,1.007
47.250,1.008
47.280,1.003
47.310,1.005
47.340,1.004
47.370,1.008
47.400,1.003
47.430,1.007
47.460,1.008
47.490,0.998
47.520,1.005
47.550,1.007
47.580,1.009
47.610,1.004
47.640,1.006
47.670,1.003
47.700,1.004
47.730,1.007
47.760,1.008
47.790,1.003
47.820,1.006
47.850,1.008
47.880,1.006
47.910,1.005
47.940,1.005
47.970,1.005
48.000,1.005
48.030,1.009
48.060,1.004
48.090,1.005
48.120,1.006
48.150,1.006
48.180,1.000
48.210,1.004
48.240,1.007
