df_hash,22ZHK4.25F3JF
728.850,116
730.870,106
732.890,106
733.900,104
734.910,102
735.920,99
737.940,92
739.960,91
741.980,93
744.000,90
746.020,89
747.030,91
749.050,102
751.070,95
753.090,85
755.110,73
756.120,64
757.130,62
758.140,57
760.160,52
761.170,57
762.180,82
764.200,135
