df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,acc_mag
23.869,1.074
23.899,1.078
23.929,1.078
23.959,1.077
23.989,1.080
24.019,1.076
24.049,1.071
24.079,1.074
24.109,1.074
24.139,1.082
24.169,1.077
24.199,1.073
24.229,1.075
24.259,1.078
24.289,1.082
24.319,1.079
24.349,1.070
24.379,1.076
24.409,1.077
24.439,1.077
24.469,1.074
24.499,1.077
24.529,1.074
24.559,1.076
24.589,1.074
24.619,1.078
24.649,1.077
24.679,1.077
24.709,1.074
24.739,1.079
24.769,1.071
24.799,1.077
24.829,1.078
24.859,1.076
24.889,1.073
24.919,1.070
24.949,1.078
24.979,1.077
25.009,1.070
25.039,1.070
25.069,1.079
25.099,1.079
25.129,1.074
25.159,1.073
25.189,1.079
25.219,1.079
25.249,1.071
25.279,1.075
25.309,1.077
25.339,1.077
25.369,1.076
25.399,1.076
25.429,1.076
25.459,1.075
25.489,1.075
25.519,1.080
25.549,1.083
25.579,1.074
25.609,1.075
25.639,1.079
25.669,1.075
25.699,1.065
25.729,1.072
25.759,1.080
25.789,1.079
25.819,1.078
25.849,1.071
25.879,1.070
25.909,1.083
25.939,1.078
25.969,1.073
25.999,1.077
26.029,1.075
26.059,1.079
26.089,1.076
26.119,1.075
26.149,1.074
26.179,1.072
26.209,1.078
26.239,1.077
26.269,1.074
26.299,1.078
26.329,1.082
26.359,1.072
26.389,1.068
26.419,1.070
26.449,1.081
26.479,1.083
26.509,1.074
26.539,1.071
26.569,1.073
26.599,1.075
26.629,1.077
26.659,1.070
26.689,1.078
26.719,1.076
26.749,1.074
26.779,1.073
26.809,1.076
26.839,1.078
26.869,1.079
26.899,1.073
26.929,1.073
26.959,1.078
26.989,1.075
27.019,1.079
27.049,1.076
27.079,1.072
27.109,1.075
27.139,1.076
27.169,1.081
27.199,1.077
27.229,1.073
27.259,1.072
27.289,1.079
27.319,1.078
27.349,1.078
27.379,1.076
27.409,1.079
27.439,1.072
27.469,1.074
27.499,1.076
27.529,1.078
27.559,1.084
27.589,1.080
27.619,1.072
27.649,1.081
27.679,1.083
27.709,1.069
27.739,1.073
27.769,1.080
27.799,1.077
27.829,1.073
27.859,1.075
27.889,1.070
27.919,1.078
27.949,1.078
27.979,1.077
28.009,1.078
