df_hash,22ZHK4.E4K1RV
183.599,290
183.730,15
183.733,25
183.736,155
183.780,15
183.783,10
183.875,15
183.879,90
183.974,20
183.984,20
184.021,35
184.148,205
185.532,655
186.238,665
186.898,690
187.629,735
188.165,760
188.168,485
188.217,10
188.220,20
188.312,215
189.140,755
189.836,10
190.505,705
190.508,720
191.237,10
191.920,670
192.065,770
192.068,90
192.163,10
192.211,45
192.215,10
192.650,10
192.653,450
193.869,10
194.405,1235
194.990,585
195.673,620
196.503,675
196.655,760
196.696,190
196.703,15
196.708,10
196.713,10
197.184,15
198.013,535
198.744,770
199.573,775
200.256,865
200.791,590
201.474,665
202.060,600
202.596,630
202.600,600
203.278,10
203.863,610
204.545,595
204.549,665
205.228,10
205.231,665
205.374,10
205.960,185
206.641,535
207.324,745
207.616,730
208.155,190
208.884,570
209.570,760
209.713,730
210.395,10
210.973,705
211.080,650
211.224,290
212.346,435
212.882,610
213.567,545
214.296,710
214.686,775
215.955,335
216.781,1305
217.464,805
217.470,750
218.147,10
218.878,695
219.563,730
220.243,685
220.246,680
220.926,10
221.510,610
222.193,660
222.489,670
222.534,335
222.539,10
223.460,300
224.289,630
224.292,785
224.295,10
224.438,85
224.484,25
224.489,25
224.494,40
224.499,30
224.533,15
224.582,10
224.587,10
224.633,15
224.638,15
224.918,305
225.556,690
226.239,10
226.922,710
227.068,685
227.605,170
228.335,520
229.018,695
229.164,725
229.167,215
229.993,470
229.998,315
230.139,10
230.237,80
230.240,110
230.386,40
230.389,10
230.968,10
231.066,775
231.796,10
231.799,700
232.333,10
232.336,645
233.193,10
233.308,735
233.311,10
233.356,125
233.362,15
233.365,45
233.368,15
233.458,10
233.488,15
233.553,115
233.559,15
233.566,10
233.752,240
234.579,700
235.122,150
235.453,505
235.710,245
236.379,405
236.943,670
237.501,580
238.184,565
238.719,685
240.279,555
240.523,1480
241.790,270
241.795,1305
242.181,10
242.473,360
242.479,300
243.060,10
243.887,650
243.985,740
244.033,155
244.062,20
244.098,15
244.129,15
244.134,20
244.179,10
244.184,15
244.189,10
244.194,15
244.199,15
244.204,30
244.423,285
244.428,10
245.730,615
245.957,645
246.083,205
246.373,20
246.910,425
247.640,640
247.644,700
248.785,15
248.880,1085
249.005,155
249.009,20
249.012,10
249.054,15
249.058,10
249.061,10
249.064,10
249.168,10
249.298,325
250.666,695
251.540,740
252.369,825
252.373,825
253.204,10
253.363,765
253.880,205
253.885,555
254.709,10
255.392,745
256.223,725
256.660,670
257.342,665
258.025,660
258.610,650
259.292,620
259.438,670
259.441,150
259.536,15
260.271,15
260.734,495
261.388,750
261.680,695
261.687,240
262.071,10
262.656,400
262.659,640
263.338,10
263.343,660
263.875,10
264.461,595
264.557,515
264.560,10
264.606,195
264.703,10
265.587,680
266.556,235
266.653,1120
268.213,1415
268.217,95
268.262,20
268.265,35
268.268,20
268.464,10
268.603,15
268.606,395
269.286,10
269.871,570
270.456,630
271.138,605
271.141,655
271.242,10
271.285,185
271.389,15
271.529,10
272.650,470
273.039,805
273.046,515
273.771,10
273.776,645
273.917,10
273.923,95
273.966,15
273.972,10
273.977,10
274.017,10
274.024,15
274.307,10
274.993,395
275.136,620
275.143,230
275.436,10
275.721,420
275.724,10
275.727,10
275.818,15
275.822,15
275.825,140
275.870,10
275.873,10
276.257,385
276.404,260
278.353,1195
279.182,735
279.185,765
279.867,10
279.916,715
279.920,10
279.923,10
280.031,180
280.160,10
281.278,445
281.547,725
281.571,280
281.574,15
281.668,15
281.672,85
281.815,265
282.936,645
282.939,350
282.985,10
282.988,15
282.991,10
283.476,265
283.479,10
285.129,1280
285.133,675
285.861,10
286.543,730
286.689,765
287.459,10
287.465,745
288.055,10
288.883,780
288.888,735
289.614,10
289.761,730
289.765,185
290.151,20
290.834,420
291.477,640
292.123,615
292.250,645
292.784,10
293.466,645
293.612,720
293.617,200
294.197,20
294.733,445
294.740,610
295.416,10
296.001,700
296.829,605
296.835,775
298.199,10
298.244,1370
298.247,15
298.250,10
298.254,15
298.877,15
298.926,615
299.462,10
299.755,605
300.437,325
300.827,610
302.095,445
302.100,1280
302.695,10
302.926,570
303.899,10
304.484,1245
304.874,615
304.882,375
304.887,10
304.927,15
304.930,15
305.166,170
305.170,10
