df_hash,22ZHK4.ZXX6DZ
424.968,29
425.901,43
426.970,59
427.991,59
428.823,65
429.749,61
430.919,43
431.845,31
432.721,31
433.893,36
434.770,43
435.693,61
436.869,77
437.804,66
438.673,54
439.934,64
440.721,69
441.689,67
442.845,51
443.838,42
444.913,43
446.032,28
446.860,30
447.998,50
448.905,78
449.696,81
450.566,84
451.835,81
452.672,84
453.539,85
454.758,81
455.684,84
456.514,84
457.732,80
458.659,76
459.536,71
460.706,69
461.632,64
462.509,68
463.679,83
464.607,82
465.484,84
466.654,84
467.872,83
468.457,80
469.770,68
470.748,53
471.431,32
472.652,43
473.530,56
474.405,44
475.630,23
476.547,24
477.378,28
478.692,38
479.474,30
480.401,32
481.572,9
482.595,18
483.374,22
484.606,0
485.422,40
486.349,6
487.567,6
488.493,0
489.517,0
490.541,0
