df_hash,22ZHK4.JVF6GR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2LVU
person_label,V157
date_time_start,2026-06-08_20-04-04.390000_+03
date_time_start_unix,1780931044.39
date_time_end,2026-06-08_20-13-20.835000_+03
length_difference_noticed,no

time,rr_int
474.418,1120
474.708,10
475.147,380
476.122,495
477.491,910
478.218,1410
479.144,685
479.347,1040
479.636,155
480.070,270
481.679,530
482.117,1585
483.240,325
483.921,1180
484.214,645
485.725,525
486.318,1315
486.328,400
487.675,110
488.309,1470
489.430,645
490.459,1130
491.039,1195
491.331,440
491.966,315
492.843,645
493.088,995
494.353,260
494.890,1280
496.307,320
496.476,1405
496.601,330
496.986,10
497.571,395
497.619,655
498.219,10
499.085,620
499.095,800
499.131,10
499.326,250
499.331,10
500.304,975
500.455,10
500.601,225
500.938,10
501.230,560
501.714,10
502.007,610
503.031,275
503.058,990
503.277,180
504.176,15
504.641,1025
505.078,545
505.858,560
506.446,590
507.320,560
507.710,1070
507.760,295
507.958,195
508.636,670
509.130,10
509.758,575
510.148,535
510.888,550
511.415,690
512.146,475
512.152,710
513.121,10
513.664,975
514.779,595
514.877,1065
515.186,220
516.003,215
516.290,1090
518.289,655
518.435,1625
520.824,890
521.019,1495
521.311,170
521.457,280
521.462,250
521.750,75
522.823,940
522.920,260
523.117,195
523.310,95
523.505,280
523.508,175
524.626,10
524.723,1120
525.016,10
525.750,410
526.186,605
526.820,610
527.310,580
528.818,565
529.798,1375
530.480,1115
531.841,695
532.328,1210
532.332,620
533.645,15
534.252,1280
534.258,615
534.474,10
534.480,185
534.766,10
536.325,235
536.911,1660
537.495,560
537.501,535
538.714,10
538.717,1110
538.961,230
539.250,10
539.789,320
540.203,575
540.441,595
540.473,240
540.618,10
540.622,10
541.103,295
541.106,240
541.298,10
541.591,330
541.980,175
542.516,375
543.150,600
543.154,660
543.357,10
543.394,65
543.397,10
543.400,20
543.403,25
543.497,15
543.638,10
543.662,260
543.789,35
544.616,10
544.670,930
544.684,10
544.905,245
545.543,285
546.026,510
546.270,350
546.760,260
547.443,380
548.838,855
548.957,1400
549.049,190
549.926,460
551.145,330
