df_hash,22ZHK4.C8ZX7D
432.359,73
433.622,70
434.477,67
435.379,67
436.550,65
437.629,67
438.357,54
439.524,46
440.402,31
441.329,24
442.550,29
443.377,34
444.333,46
445.813,49
446.590,51
447.573,50
448.638,49
449.372,52
450.252,51
451.468,55
452.395,58
453.223,64
454.395,63
455.512,48
456.197,53
457.367,54
458.585,56
459.268,56
460.341,67
461.393,71
462.340,54
463.875,49
464.270,45
465.174,39
466.337,42
467.216,54
468.138,63
469.604,70
470.234,70
471.067,63
472.286,59
473.355,39
474.337,29
475.550,31
476.233,38
477.305,47
478.232,48
479.109,62
480.284,78
481.206,78
482.183,71
483.009,69
484.180,71
485.403,55
486.078,49
487.202,55
488.081,48
488.957,47
490.202,49
491.004,66
491.931,67
493.101,69
494.073,74
494.905,64
496.075,71
497.001,75
497.921,72
499.094,63
500.117,53
500.951,60
502.363,53
502.998,43
503.826,40
504.998,40
505.922,29
506.800,31
508.213,41
509.191,43
509.773,54
511.038,69
511.964,62
512.747,55
514.063,49
514.892,52
515.721,43
516.957,39
517.817,40
518.704,41
519.959,40
520.982,29
521.814,55
522.887,47
523.768,50
524.701,53
525.959,54
526.784,50
527.711,53
528.844,58
529.858,67
530.684,65
531.809,63
532.832,64
533.657,70
534.828,59
535.662,46
536.826,61
537.902,68
538.776,68
539.561,69
540.730,76
541.656,78
542.536,66
543.769,60
544.630,58
545.799,61
546.918,69
547.798,66
548.541,53
549.940,60
550.578,69
551.455,53
552.917,41
553.552,51
554.428,44
555.655,47
556.631,51
557.500,59
558.623,42
559.601,34
560.619,48
561.598,50
562.518,50
563.642,29
564.768,30
565.493,0
566.372,0
567.637,0
568.419,27
569.347,0
570.614,3
571.636,38
572.417,38
574.014,50
574.469,61
575.391,76
576.513,91
577.440,71
578.313,62
579.439,58
580.461,59
581.242,52
582.651,53
583.776,60
584.507,48
585.484,48
586.384,51
587.189,54
588.555,59
589.286,60
590.211,79
591.527,82
592.379,82
593.182,73
594.509,65
595.235,60
596.112,62
597.332,62
598.256,57
599.192,51
600.746,45
601.183,64
602.057,57
603.520,55
604.348,65
605.116,63
606.399,67
607.127,74
608.099,71
609.224,69
610.101,65
611.187,64
612.243,50
613.150,50
614.047,53
615.208,53
616.146,55
617.122,44
618.145,57
619.083,53
620.192,55
621.119,47
622.242,53
622.970,48
624.093,54
625.315,44
625.945,56
627.073,58
628.237,50
628.870,51
630.065,60
631.015,65
632.109,47
633.355,53
634.154,42
635.073,43
636.036,45
636.960,37
