df_hash,22ZHK4.02YP5X
426.090,32
427.309,47
428.186,0
429.065,15
430.280,14
431.158,0
432.038,0
433.259,0
434.132,0
435.059,0
436.229,0
437.154,0
438.031,0
439.205,15
440.373,0
441.008,0
442.321,0
443.052,0
443.982,0
445.151,29
446.077,0
446.953,0
448.147,31
449.052,8
449.927,9
451.386,0
452.022,0
452.900,0
454.070,0
454.996,41
455.874,0
457.094,7
458.165,11
458.885,0
460.071,0
461.041,32
461.822,0
463.044,0
463.966,0
464.844,0
466.014,0
466.915,0
467.769,0
469.232,0
469.865,30
470.793,47
471.961,41
472.839,29
473.773,0
474.935,0
475.812,0
476.738,42
477.911,55
478.786,44
479.713,39
480.882,34
481.810,35
482.696,22
483.856,26
484.736,23
485.660,22
486.892,11
487.771,54
488.633,72
489.949,32
490.730,29
491.607,30
492.779,100
493.749,100
494.584,100
495.797,100
496.680,0
497.557,0
498.724,19
499.699,0
500.579,8
501.749,14
502.627,22
503.512,21
504.722,19
505.598,23
506.522,16
507.743,6
508.640,0
509.454,21
510.668,0
511.545,25
512.423,0
513.651,0
514.519,0
515.446,35
516.616,35
517.506,49
518.421,48
