df_hash,22ZHK4.02YP5X
121.309,10
121.313,10
121.404,10
121.406,15
121.698,10
121.794,440
122.376,10
122.383,705
123.058,10
123.061,700
123.890,10
124.038,770
124.202,210
124.715,10
125.549,585
126.227,820
126.230,700
126.812,10
128.469,600
128.472,1645
128.518,15
128.521,10
128.525,10
129.444,15
129.883,960
129.983,395
130.273,140
130.276,250
130.422,10
130.955,225
130.958,570
131.103,10
131.249,260
131.254,15
131.258,10
131.262,10
131.395,20
132.223,355
132.662,605
133.225,335
133.490,550
135.440,345
135.683,2185
136.129,425
136.132,10
137.392,815
137.402,450
137.488,10
137.496,160
137.658,10
137.685,95
137.688,15
137.690,15
137.780,15
138.073,380
140.416,780
142.516,1585
143.193,2100
143.775,665
144.609,655
144.848,840
145.148,305
145.969,190
146.116,925
146.798,10
147.634,800
148.211,875
148.216,430
148.260,25
148.265,10
148.270,15
148.312,15
148.316,15
148.321,25
148.455,200
149.576,760
151.136,335
151.530,1610
152.501,405
153.038,940
153.480,585
153.625,410
153.629,10
153.632,65
153.769,180
154.744,715
154.757,295
155.154,10
155.182,470
155.186,10
155.527,180
155.963,345
156.940,270
157.620,1035
158.594,655
158.599,1000
158.887,240
159.569,390
160.157,305
160.544,540
160.692,435
160.838,335
162.253,1250
162.641,145
163.762,330
165.029,1140
165.035,1340
165.079,15
165.144,10
165.273,220
166.833,815
166.930,790
166.937,15
167.125,10
167.522,15
168.491,550
169.711,1035
170.001,1315
170.006,260
170.148,10
170.294,240
171.951,445
172.634,1215
173.232,730
174.340,470
174.343,1230
174.730,15
174.933,365
175.023,150
175.060,10
175.177,95
175.192,10
175.199,10
175.323,10
175.416,335
175.462,55
175.472,20
175.475,10
175.561,10
177.070,15
178.630,1615
180.287,1520
180.726,1685
182.091,505
182.627,1325
182.630,555
184.041,10
184.870,1460
185.991,860
187.210,1065
188.916,1220
190.720,1665
190.866,1900
190.968,270
193.206,1595
193.644,590
194.208,490
194.279,465
194.281,25
195.448,15
195.451,1285
195.595,15
195.984,160
196.277,330
196.521,315
197.496,245
197.499,1015
197.935,10
198.228,400
198.911,290
199.202,725
199.592,245
199.595,480
200.428,10
200.714,800
201.006,305
201.009,245
201.250,10
202.127,280
202.131,855
202.225,10
202.230,135
202.370,10
202.376,110
202.420,15
202.986,10
203.053,525
203.058,10
203.199,260
203.204,15
203.395,10
204.467,445
205.149,820
205.734,695
205.978,575
206.953,315
207.392,890
208.221,485
208.513,880
209.050,280
210.198,500
212.120,1105
212.803,1950
213.631,775
213.924,775
213.927,265
214.317,10
214.607,380
215.060,325
215.198,360
215.387,265
215.390,10
216.849,310
217.248,1295
217.404,495
217.434,15
217.438,10
217.442,10
217.446,10
217.486,10
217.488,10
217.678,250
219.349,925
220.164,825
220.993,870
221.431,820
221.435,405
221.530,10
221.538,10
221.541,15
221.578,15
221.581,10
221.584,15
221.587,15
221.626,45
221.630,15
221.822,10
222.651,270
223.333,760
223.918,680
224.600,640
224.941,725
224.946,225
225.044,30
225.046,20
225.331,15
226.165,420
226.648,785
226.989,340
227.672,485
228.501,785
229.043,730
229.916,665
230.013,790
230.158,320
230.162,10
230.450,155
231.571,290
232.400,845
232.693,865
233.229,330
233.912,470
234.594,740
235.472,785
236.304,805
236.983,865
237.519,635
237.958,590
238.640,430
239.322,665
239.616,700
240.054,285
240.444,415
240.736,395
241.616,365
242.248,785
242.930,645
243.662,715
244.344,685
245.027,725
245.858,795
246.976,705
248.244,1200
248.780,1310
249.609,435
249.901,915
249.904,225
250.052,40
250.056,10
250.438,10
251.267,555
252.144,870
253.071,850
253.363,880
253.803,280
254.045,460
254.484,275
255.166,415
255.605,665
255.995,435
256.580,520
257.558,480
257.799,950
258.238,300
259.067,390
259.363,865
259.371,315
259.377,10
259.749,10
260.577,445
261.409,755
261.992,905
262.236,550
263.649,285
264.209,1390
265.745,490
266.428,1550
267.110,685
267.406,760
267.793,285
268.670,420
269.353,825
269.357,775
269.679,10
269.742,240
269.748,20
269.753,25
269.758,10
270.181,10
270.864,490
271.546,715
271.985,715
271.991,400
272.375,10
272.963,15
273.350,860
274.228,415
274.621,970
274.784,350
274.910,255
276.275,685
276.568,765
276.571,275
276.717,15
277.933,495
278.079,850
278.762,205
279.639,655
280.468,870
281.150,780
281.833,720
282.727,760
283.019,790
283.544,245
284.075,605
284.319,785
286.562,820
287.978,1470
288.073,1585
290.465,1590
291.297,810
292.657,755
293.094,1425
293.097,360
293.143,15
293.146,10
293.148,10
293.192,15
293.195,10
293.197,15
293.200,15
293.240,175
294.367,440
296.019,595
297.387,1640
297.677,1435
298.506,320
299.188,805
299.190,670
299.481,10
299.782,330
300.163,320
300.455,350
300.604,360
301.821,10
302.113,1260
303.088,415
303.380,910
303.937,280
304.355,605
304.746,350
305.478,470
305.867,740
306.312,370
307.671,345
308.402,1435
308.499,530
309.328,340
310.059,810
310.326,725
310.741,340
311.571,375
311.863,825
311.866,260
312.253,10
312.691,500
312.985,375
314.349,320
314.655,1310
315.471,260
315.860,905
316.592,360
316.595,740
316.641,10
316.643,15
316.646,15
316.982,10
317.810,340
318.545,805
319.241,805
320.299,685
321.041,1030
321.857,825
322.686,840
323.807,805
325.854,1145
325.858,2055
326.040,10
326.391,215
327.269,435
327.951,740
328.633,690
329.247,765
329.366,345
330.291,365
330.583,845
330.730,300
331.022,160
331.714,255
332.390,710
333.118,710
333.952,750
334.776,795
334.922,920
334.925,95
335.019,40
336.287,15
336.580,1350
336.677,330
336.725,15
336.730,15
336.774,15
336.779,15
336.784,15
336.823,15
336.828,10
336.834,10
336.838,10
336.891,10
336.970,210
338.533,750
340.056,775
341.036,1635
341.260,865
341.308,265
341.311,10
341.844,20
342.673,535
343.941,840
344.331,1350
345.013,335
345.744,730
345.991,725
346.573,325
346.724,460
347.127,255
347.502,370
348.377,335
348.767,875
349.206,520
349.742,300
350.473,680
351.302,660
352.426,770
353.118,1230
353.349,670
353.354,185
353.401,50
353.788,10
354.472,410
354.619,680
355.056,210
355.592,355
356.274,650
356.569,615
356.865,265
357.693,385
357.983,710
358.078,410
358.081,15
358.085,20
358.371,20
359.207,290
359.595,800
360.759,375
361.150,1170
361.444,420
362.807,365
363.539,1380
364.221,750
364.904,625
365.439,675
366.269,600
366.853,810
367.395,560
367.683,800
369.632,1685
369.876,340
370.022,425
371.143,775
371.582,320
372.268,370
373.630,790
373.922,1395
374.361,310
374.910,355
375.192,365
376.018,280
377.238,1040
377.824,1310
378.066,475
378.798,285
379.480,810
379.877,695
380.163,300
380.894,335
381.585,750
381.968,680
382.258,355
382.551,365
382.941,280
383.381,385
383.678,375
384.062,360
384.507,375
385.038,350
386.013,680
386.403,960
387.137,345
387.482,705
387.670,345
387.984,185
388.938,335
389.237,925
389.490,355
389.766,255
390.888,330
391.131,1145
391.134,235
391.231,45
391.423,240
392.545,265
393.373,780
394.057,905
395.324,675
396.689,1300
396.981,1435
396.984,230
397.422,10
398.102,390
399.077,700
399.467,940
400.442,450
400.445,1060
400.735,210
401.027,235
401.030,10
402.540,330
402.832,1230
403.124,295
404.196,335
404.642,1095
404.879,640
405.025,225
406.168,310
406.439,1040
408.535,1595
408.682,495
409.510,215
409.754,770
409.900,350
410.192,310
410.878,335
411.314,395
411.558,505
411.850,230
412.292,225
412.972,460
413.654,665
414.337,680
415.897,695
416.432,1635
417.569,470
417.722,1365
418.967,705
419.992,460
420.333,1030
421.747,430
422.283,1355
422.965,620
423.697,730
423.941,665
425.208,300
426.475,1235
426.481,1280
426.573,15
426.578,105
428.961,1630
429.644,670
430.082,825
430.085,350
430.326,10
431.350,340
432.569,735
434.227,1505
434.519,1580
434.523,265
434.815,10
435.494,335
436.615,710
436.859,1380
438.662,1520
438.955,280
440.076,335
440.615,1055
441.333,585
442.172,670
442.563,885
443.148,370
444.659,665
445.098,1515
446.024,345
446.316,985
446.755,335
447.437,350
447.904,695
449.241,410
449.680,1525
449.684,300
449.730,30
450.102,10
450.753,375
451.045,730
451.873,255
452.849,875
453.287,965
453.290,420
453.434,200
455.774,1005
457.041,1350
457.433,1265
457.723,355
457.728,10
457.733,15
458.406,280
459.132,725
459.820,745
460.652,715
462.160,775
462.599,1615
462.842,340
463.573,335
464.256,660
464.551,640
464.792,310
465.524,345
465.914,675
466.888,405
467.425,975
469.236,595
470.858,1770
470.962,1540
471.081,170
471.812,200
472.450,700
473.128,685
473.818,640
474.396,650
475.078,635
475.663,680
476.495,625
477.028,715
477.031,305
477.711,360
478.442,635
478.832,795
479.125,345
479.807,325
479.953,685
480.100,185
481.074,15
481.464,1090
481.758,355
482.450,290
483.122,665
483.951,735
484.690,775
485.803,805
486.339,1100
486.491,750
489.654,1110
491.653,1990
493.777,2040
493.877,2125
493.895,45
493.899,20
493.902,10
493.905,10
493.944,10
493.949,10
493.955,10
493.960,15
494.388,20
495.511,430
495.677,1225
495.808,50
496.189,260
496.196,355
496.201,25
496.207,20
496.333,20
496.338,30
496.479,40
496.482,170
496.625,20
496.628,20
496.632,15
496.798,20
496.882,155
497.893,95
497.991,1055
498.283,180
498.575,495
498.579,25
498.627,15
498.630,35
499.258,560
499.261,20
499.306,10
499.315,15
499.333,10
499.355,10
499.360,15
499.363,10
499.367,10
499.404,10
499.408,10
499.413,10
499.416,10
499.478,10
499.481,10
499.648,10
500.233,20
500.525,830
501.208,320
502.743,770
502.871,1490
504.286,10
505.498,1445
506.473,1360
507.458,1010
507.620,900
507.887,190
508.131,275
508.715,220
509.105,525
509.983,545
510.227,1045
512.615,1200
513.015,1235
513.298,315
513.590,330
513.688,505
515.638,860
515.788,1170
518.855,1005
