df_hash,22ZHK4.P47WVA
319.147,36.031
320.173,36.031
321.149,36.031
322.170,36.062
323.145,36.062
324.169,36.094
325.144,36.062
326.170,36.031
327.165,36.062
328.166,36.094
329.141,36.094
330.166,36.125
331.189,36.062
332.221,36.062
333.141,36.094
334.162,36.062
335.193,36.094
336.161,36.094
337.184,36.062
338.160,36.062
339.184,36.062
340.158,36.062
341.182,36.125
342.259,36.125
343.181,36.188
344.156,36.188
345.180,36.188
346.228,36.188
347.227,36.219
348.154,36.219
349.228,36.312
350.152,36.344
351.176,36.344
352.151,36.312
353.198,36.281
354.150,36.281
355.174,36.312
356.148,36.281
357.194,36.219
358.171,36.219
359.171,36.156
360.200,36.125
361.173,36.125
362.243,36.094
363.169,36.094
364.164,36.094
365.168,36.094
366.162,36.156
367.166,36.156
368.190,36.219
369.165,36.188
370.140,36.219
371.165,36.250
372.339,36.250
373.163,36.250
374.384,36.250
375.161,36.250
376.136,36.219
377.160,36.250
378.135,36.250
379.161,36.250
380.134,36.250
381.168,36.219
382.200,36.250
383.162,36.219
384.131,36.250
385.155,36.250
386.178,36.281
387.166,36.281
388.178,36.281
389.153,36.250
390.177,36.250
391.151,36.281
392.178,36.344
393.201,36.312
394.174,36.344
395.149,36.344
396.173,36.344
397.148,36.344
398.275,36.344
399.148,36.375
411.134,36.344
412.157,36.312
413.132,36.312
414.156,36.344
415.134,36.344
416.155,36.312
417.130,36.312
418.154,36.281
419.129,36.312
420.157,36.281
421.371,36.312
422.151,36.281
423.126,36.250
424.150,36.250
425.174,36.188
426.149,36.219
427.172,36.250
428.160,36.250
429.171,36.188
430.174,36.188
431.170,36.188
432.156,36.250
433.169,36.281
434.144,36.281
435.272,36.375
436.142,36.344
437.166,36.344
438.151,36.344
439.165,36.344
440.140,36.344
441.164,36.312
442.139,36.312
443.162,36.312
444.137,36.281
445.165,36.281
446.285,36.281
447.160,36.312
448.135,36.375
449.159,36.375
450.134,36.375
451.157,36.375
452.132,36.375
453.354,36.375
454.131,36.375
455.158,36.375
456.422,36.375
457.180,36.375
458.129,36.312
459.153,36.312
460.128,36.312
461.176,36.312
462.127,36.375
463.150,36.344
464.125,36.344
465.150,36.344
466.124,36.312
467.394,36.344
468.123,36.375
469.146,36.344
470.316,36.375
471.145,36.375
472.217,36.375
473.144,36.406
474.168,36.438
475.143,36.438
476.166,36.406
477.141,36.375
478.165,36.344
479.140,36.375
480.163,36.344
481.150,36.375
482.163,36.344
483.149,36.344
484.161,36.344
485.136,36.344
486.160,36.375
487.381,36.375
488.168,36.406
489.134,36.406
490.158,36.375
491.133,36.375
492.157,36.375
