df_hash,22ZHK4.P47WVA
248.898,535
249.437,535
249.727,540
250.020,505
251.384,1180
251.921,210
252.213,615
253.043,240
253.876,890
254.739,845
255.138,815
255.674,335
256.260,665
256.503,590
256.942,225
257.478,380
258.211,605
258.746,630
259.282,590
260.019,620
260.549,615
261.231,605
261.671,660
262.266,515
262.647,575
262.792,510
263.913,565
264.452,600
264.985,490
266.107,535
266.253,1110
266.643,245
267.085,330
267.228,580
268.501,640
269.178,655
269.715,605
270.299,590
270.836,585
271.372,555
272.103,605
272.640,655
273.322,565
274.590,680
275.125,1330
276.247,470
276.686,1195
276.933,355
277.665,280
278.050,695
278.490,405
279.178,545
279.611,575
280.293,540
280.683,630
281.366,475
282.100,625
282.488,520
282.926,625
284.047,495
284.730,1070
285.022,625
285.265,320
285.997,275
286.391,770
286.972,350
287.362,620
287.947,420
288.194,560
288.483,255
289.020,250
289.627,560
290.140,545
290.293,545
290.436,215
290.442,10
291.262,340
291.799,590
292.383,580
293.602,595
294.041,1150
294.577,520
295.162,525
295.698,605
296.137,580
296.527,405
297.404,360
298.087,920
298.331,600
298.624,290
299.208,255
299.745,615
300.427,615
301.012,600
301.259,560
301.405,340
301.571,255
302.964,780
303.205,350
303.791,535
304.331,550
304.804,525
305.353,435
305.838,535
306.277,590
307.255,405
307.789,1105
308.373,530
309.153,515
309.495,550
310.031,545
310.591,570
311.688,580
312.127,1095
312.663,505
313.248,565
313.785,555
314.321,470
314.906,575
315.442,555
316.027,550
316.710,645
317.337,620
317.842,595
318.367,605
318.956,560
319.489,545
320.025,560
320.609,525
321.146,555
321.682,570
321.849,530
321.977,195
322.269,10
322.442,375
323.242,210
323.778,840
324.364,530
324.754,490
325.438,425
325.582,725
325.585,190
325.875,10
326.167,275
326.703,250
326.997,545
327.971,255
328.507,1050
329.092,560
330.359,560
330.465,1080
330.749,245
330.896,500
331.142,240
332.846,1160
333.382,540
333.919,570
334.532,565
334.793,570
335.043,200
335.073,15
335.478,295
335.577,430
335.625,120
336.719,620
337.285,545
338.501,575
338.940,1155
339.481,495
340.061,575
340.744,560
341.186,640
341.718,440
342.406,605
342.986,645
343.522,570
343.961,580
344.205,350
344.699,255
345.183,545
345.473,500
345.765,270
346.301,255
346.740,575
347.276,505
348.397,525
349.518,1025
350.078,1145
350.493,540
350.884,550
351.420,405
351.566,665
352.736,585
354.103,530
355.612,1370
355.904,1590
355.908,210
355.960,95
356.151,200
357.416,615
358.122,600
359.658,760
360.203,1540
360.780,535
361.853,590
362.443,1085
362.973,565
363.559,555
363.805,545
364.130,290
364.631,275
365.226,580
365.753,585
366.338,560
367.410,565
368.145,1110
369.117,535
369.262,1125
369.265,225
369.506,10
370.094,265
370.920,550
371.182,1060
372.870,625
373.406,1120
373.943,565
374.528,505
375.115,540
376.038,525
377.164,1045
377.696,1135
378.575,590
378.963,850
379.500,335
380.621,570
381.206,1095
382.425,535
382.452,1045
382.718,230
383.401,330
383.693,655
384.815,310
385.106,1080
385.206,295
386.325,190
386.910,1155
387.447,510
387.739,595
388.011,260
388.129,170
388.275,310
389.543,285
390.079,1060
390.615,500
391.202,545
391.737,555
392.364,560
392.733,555
393.298,540
393.870,480
394.271,610
394.515,465
394.808,275
395.490,250
395.636,835
395.928,200
396.904,730
397.879,245
398.415,1095
398.708,515
399.020,480
416.106,4265
416.545,1080
417.081,465
417.520,525
418.056,470
419.177,525
419.567,1065
420.152,525
420.692,535
421.127,495
421.373,510
421.664,265
422.346,275
422.785,600
423.321,510
424.979,550
425.417,1615
426.539,495
428.050,1035
429.025,1620
430.055,975
430.974,1020
431.267,880
432.096,330
432.779,780
433.071,995
434.631,905
434.874,695
435.704,225
436.971,880
437.655,1195
438.191,745
438.774,545
439.752,655
439.994,585
440.725,605
441.407,640
442.090,735
442.723,675
443.211,645
443.747,590
444.479,570
445.015,590
445.551,575
446.672,525
447.355,1210
447.939,630
448.476,590
448.769,595
449.062,265
449.744,310
450.864,640
451.401,1075
451.840,560
452.668,495
452.913,785
454.034,285
454.618,1140
455.221,520
455.840,620
456.426,680
457.109,630
457.641,590
458.372,635
458.908,625
459.453,640
460.176,570
460.371,635
460.378,175
460.419,40
460.712,10
461.249,320
461.833,565
462.516,600
463.199,690
463.637,655
463.784,675
465.155,690
465.441,615
465.446,260
465.734,10
466.270,290
466.855,625
467.538,605
468.073,610
468.659,640
469.195,545
469.731,565
470.323,565
470.998,565
471.535,585
471.828,595
472.691,325
473.241,790
473.778,585
474.606,510
474.752,1015
476.264,610
476.417,1125
477.826,575
479.335,755
479.491,1585
479.871,135
480.993,360
481.154,1265
481.188,10
482.411,290
483.088,1070
483.530,585
484.210,250
485.478,885
486.308,1235
486.843,960
487.427,520
487.671,560
487.963,305
488.500,265
489.621,545
490.742,1080
491.718,1215
491.962,915
