df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,acc_mag
41.173,1.049
41.203,1.049
41.233,1.045
41.263,1.044
41.293,1.049
41.323,1.046
41.353,1.052
41.383,1.047
41.413,1.046
41.443,1.046
41.473,1.042
41.503,1.046
41.533,1.049
41.563,1.050
41.593,1.044
41.623,1.028
41.653,1.048
41.683,1.054
41.713,1.042
41.743,1.052
41.773,1.048
41.803,1.047
41.833,1.044
41.863,1.042
41.893,1.048
41.923,1.044
41.953,1.040
41.983,1.045
42.013,1.045
42.043,1.051
42.073,1.048
42.103,1.048
42.133,1.045
42.163,1.045
42.193,1.045
42.223,1.051
42.253,1.050
42.283,1.047
42.313,1.042
42.343,1.049
42.373,1.048
42.403,1.045
42.433,1.049
42.463,1.048
42.493,1.045
42.523,1.043
42.553,1.043
42.583,1.047
42.613,1.045
42.643,1.046
42.673,1.043
42.703,1.046
42.733,1.050
42.763,1.046
42.793,1.049
42.823,1.042
42.853,1.046
42.883,1.046
42.913,1.043
42.943,1.051
42.973,1.046
43.003,1.039
43.033,1.039
43.063,1.041
43.093,1.047
43.123,1.047
43.153,1.046
43.183,1.047
43.213,1.047
43.243,1.044
43.273,1.050
43.303,1.050
43.333,1.044
43.363,1.036
43.393,1.052
43.423,1.050
43.453,1.047
43.483,1.047
43.513,1.044
43.543,1.045
43.573,1.042
43.603,1.051
43.633,1.051
43.663,1.048
43.693,1.047
43.723,1.043
43.753,1.046
43.783,1.048
43.813,1.051
43.843,1.044
43.873,1.042
43.903,1.045
43.933,1.057
43.963,1.047
43.993,1.044
44.023,1.048
44.053,1.041
44.083,1.046
44.113,1.045
44.143,1.047
44.173,1.048
44.203,1.049
44.233,1.046
44.263,1.047
44.293,1.043
44.323,1.044
44.353,1.045
44.383,1.054
44.413,1.044
44.443,1.041
44.473,1.054
44.503,1.048
44.533,1.052
44.563,1.047
44.593,1.041
44.623,1.044
44.653,1.044
44.683,1.048
44.713,1.048
44.743,1.051
44.773,1.045
44.803,1.040
44.833,1.046
44.863,1.051
44.893,1.046
44.923,1.044
44.953,1.041
44.983,1.040
45.013,1.046
45.043,1.049
45.073,1.051
45.103,1.051
45.133,1.041
45.163,1.043
45.193,1.048
45.223,1.046
45.253,1.054
45.283,1.058
45.313,1.055
45.343,1.051
45.373,1.050
45.403,1.038
45.433,1.029
45.463,1.039
45.493,1.050
45.523,1.047
45.553,1.042
45.583,1.039
45.613,1.034
45.643,1.039
45.673,1.054
45.703,1.055
45.733,1.054
45.763,1.044
45.793,1.046
45.823,1.063
45.853,1.040
45.883,1.029
45.913,1.043
45.943,1.052
45.973,1.058
46.003,1.044
46.033,1.052
46.063,1.061
46.093,1.037
46.123,1.042
46.153,1.048
46.183,1.044
46.213,1.043
46.243,1.038
46.273,1.043
46.303,1.048
46.333,1.054
46.363,1.051
46.393,1.049
46.423,1.043
46.453,1.052
46.483,1.055
46.513,1.055
46.543,1.062
46.573,1.064
46.603,1.053
46.633,1.037
46.663,1.030
46.693,1.045
46.723,1.053
46.753,1.051
46.783,1.065
46.813,1.061
46.843,1.032
46.873,1.049
46.903,1.032
46.933,1.000
46.963,1.044
46.993,1.060
47.023,1.061
47.053,1.052
47.083,1.038
47.113,1.044
47.143,1.041
47.173,1.034
47.203,1.035
47.233,1.044
47.263,1.048
47.293,1.041
47.323,1.045
47.353,1.056
47.383,1.049
47.413,1.052
47.443,1.052
47.473,1.054
47.503,1.042
47.533,1.038
47.563,1.039
47.593,1.047
47.623,1.051
47.653,1.051
47.683,1.052
47.713,1.045
47.743,1.038
47.773,1.045
47.803,1.047
47.833,1.046
47.863,1.045
47.893,1.044
47.923,1.049
47.953,1.057
47.983,1.043
48.013,1.049
48.043,1.052
48.073,1.048
48.103,1.045
48.133,1.042
48.163,1.044
48.193,1.055
48.223,1.052
48.253,1.040
48.283,1.041
48.313,1.050
48.343,1.050
48.373,1.044
48.403,1.059
48.433,1.056
48.463,1.045
48.493,1.044
48.523,1.043
48.553,1.049
48.583,1.054
48.613,1.050
48.643,1.043
48.673,1.046
48.703,1.046
48.733,1.053
48.763,1.049
48.793,1.044
48.823,1.038
48.853,1.057
48.883,1.050
48.913,1.047
48.943,1.042
48.973,1.042
49.003,1.044
49.033,1.042
49.063,1.038
49.093,1.046
49.123,1.045
49.153,1.042
49.183,1.051
49.213,1.049
49.243,1.046
49.273,1.051
49.303,1.059
49.333,1.043
49.363,1.038
49.393,1.053
49.423,1.044
49.453,1.038
49.483,1.050
49.513,1.050
49.543,1.048
49.573,1.050
49.603,1.051
49.633,1.047
49.663,1.045
49.693,1.047
49.723,1.048
49.753,1.048
49.783,1.050
49.813,1.053
49.843,1.048
49.873,1.048
49.903,1.059
49.933,1.053
49.963,1.046
49.993,1.052
50.023,1.051
50.053,1.047
50.083,1.046
50.113,1.046
50.143,1.054
50.173,1.050
50.203,1.046
50.233,1.049
50.263,1.045
50.293,1.049
50.323,1.053
50.353,1.050
50.383,1.050
50.413,1.040
50.443,1.045
50.473,1.046
50.503,1.055
50.533,1.063
50.563,1.055
50.593,1.042
50.623,1.033
50.653,1.038
50.683,1.040
50.713,1.052
50.743,1.049
50.773,1.044
50.803,1.049
50.833,1.048
50.863,1.047
50.893,1.044
50.923,1.047
50.953,1.046
50.983,1.053
51.013,1.043
51.043,1.044
51.073,1.052
51.103,1.046
51.133,1.045
51.163,1.043
51.193,1.043
51.223,1.049
51.253,1.049
51.283,1.052
51.313,1.047
51.343,1.045
51.373,1.046
51.403,1.043
51.433,1.047
51.463,1.053
51.493,1.043
51.523,1.050
51.553,1.049
51.583,1.044
51.613,1.050
51.643,1.050
51.673,1.043
51.703,1.045
51.733,1.043
51.763,1.053
51.793,1.053
51.823,1.047
51.853,1.044
51.883,1.048
51.913,1.045
51.943,1.051
51.973,1.048
52.003,1.052
52.033,1.049
52.063,1.050
52.093,1.050
52.123,1.049
52.153,1.048
52.183,1.047
52.213,1.044
52.243,1.046
52.273,1.051
52.303,1.045
52.333,1.050
52.363,1.049
52.393,1.044
52.423,1.044
52.453,1.047
52.483,1.048
52.513,1.045
52.543,1.053
52.573,1.049
52.603,1.045
52.633,1.054
52.663,1.048
52.693,1.042
52.723,1.049
52.753,1.051
52.783,1.047
52.813,1.045
52.843,1.048
52.873,1.050
52.903,1.049
52.933,1.047
52.963,1.045
52.993,1.049
53.023,1.046
53.053,1.046
53.083,1.049
53.113,1.052
53.143,1.045
53.173,1.050
53.203,1.049
53.233,1.045
53.263,1.050
53.293,1.049
53.323,1.042
53.353,1.049
53.383,1.046
53.413,1.052
53.443,1.047
53.473,1.049
53.503,1.042
53.533,1.044
53.563,1.047
53.593,1.051
53.623,1.050
53.653,1.049
53.683,1.053
53.713,1.043
53.743,1.053
53.773,1.052
53.803,1.048
53.833,1.051
53.863,1.047
53.893,1.046
53.923,1.046
53.953,1.046
53.983,1.050
54.013,1.049
54.043,1.048
54.073,1.047
54.103,1.047
54.133,1.046
54.163,1.044
54.193,1.052
54.223,1.051
54.253,1.044
54.283,1.044
54.313,1.055
54.343,1.049
54.373,1.048
54.403,1.048
54.433,1.045
