df_hash,22ZHK4.FR6L0Q
13.894,1.027
13.924,1.019
13.954,1.028
13.984,1.029
14.014,1.008
14.044,1.019
14.074,1.022
14.104,1.021
14.134,1.027
14.164,1.034
14.194,1.038
14.224,1.057
14.254,1.062
14.284,1.048
14.314,1.047
14.344,1.004
14.374,1.004
14.404,1.012
14.434,1.047
14.464,1.079
14.494,1.097
14.524,1.079
14.554,1.034
14.584,1.001
14.614,1.021
14.644,1.022
14.674,1.030
14.704,1.048
14.734,1.034
14.764,1.055
14.794,1.019
14.824,0.998
14.854,0.997
14.884,1.019
14.914,0.992
14.944,0.983
14.974,0.968
15.004,0.970
15.034,1.000
15.064,1.020
15.094,1.018
15.124,1.027
15.154,1.066
15.184,1.031
15.214,1.013
15.244,0.970
15.274,0.964
15.304,1.013
15.334,1.051
15.364,1.025
15.394,1.007
15.424,1.020
15.454,0.982
15.484,1.010
15.514,1.005
15.544,1.001
15.574,1.040
15.604,0.972
15.634,1.050
15.664,1.090
15.694,1.024
15.724,1.018
15.754,0.994
15.784,0.982
15.814,0.985
15.844,1.021
15.874,0.970
15.904,1.049
15.934,1.104
15.964,1.082
15.994,1.033
16.024,1.049
16.054,1.022
16.084,1.030
16.114,0.941
16.144,0.981
16.174,1.059
16.204,1.006
16.234,1.027
16.264,1.096
16.294,1.044
16.324,1.045
16.354,1.117
16.384,1.055
16.414,1.005
16.444,0.986
16.474,1.011
16.504,1.063
16.534,1.038
16.564,1.046
16.594,1.060
16.624,1.061
16.654,1.042
16.684,1.013
16.714,1.007
16.744,1.010
16.774,1.009
16.804,1.023
16.834,1.023
16.864,1.055
16.894,1.049
16.924,1.045
16.954,1.034
16.984,1.033
17.014,1.023
17.044,1.030
17.074,1.022
17.104,1.027
17.134,1.030
17.164,1.032
17.194,1.035
17.224,1.024
17.254,1.013
17.284,1.015
17.314,1.019
17.344,1.026
17.374,1.041
17.404,1.031
17.434,1.032
17.464,1.033
17.494,1.036
17.524,1.032
17.554,1.034
17.584,1.033
17.614,1.032
17.644,1.032
17.674,1.022
17.704,1.021
17.734,1.022
17.764,1.028
17.794,1.029
17.824,1.022
17.854,1.030
17.884,1.026
17.914,1.024
17.944,1.034
17.974,1.027
18.004,1.024
18.034,1.021
18.064,1.026
18.094,1.024
18.124,1.033
18.154,1.041
18.184,1.032
18.214,1.028
18.244,1.019
18.274,1.024
18.304,1.019
18.334,1.036
18.364,1.033
18.394,1.031
18.424,1.026
18.454,1.022
18.484,1.023
18.514,1.037
18.544,1.032
18.574,1.030
18.604,1.028
18.634,1.029
18.664,1.026
18.694,1.030
18.724,1.026
18.754,1.025
18.784,1.025
18.814,1.022
18.844,1.027
18.874,1.031
18.904,1.037
18.934,1.025
18.964,1.025
18.994,1.024
19.024,1.032
19.054,1.036
19.084,1.032
19.114,1.032
19.144,1.028
19.174,1.022
19.204,1.023
19.234,1.026
19.264,1.033
19.294,1.026
19.324,1.040
19.354,1.040
19.384,1.028
19.414,1.002
19.444,1.010
19.474,1.025
19.504,1.026
19.534,1.029
19.564,1.036
19.594,1.035
19.624,1.038
19.654,1.027
19.684,1.033
19.714,1.031
19.744,1.028
19.774,1.030
19.804,1.030
19.834,1.033
19.864,1.018
19.894,1.017
19.924,1.021
19.954,1.048
19.984,1.040
20.014,1.040
20.044,1.063
20.074,1.046
20.104,1.036
20.134,1.030
20.164,1.005
20.194,1.012
20.224,1.010
20.254,1.015
20.284,1.022
20.314,1.019
20.344,1.045
20.374,1.060
20.404,1.048
20.434,1.062
20.464,1.072
20.494,1.047
20.524,1.049
20.554,1.035
20.584,1.025
20.614,1.053
20.644,1.040
20.674,0.992
20.704,1.006
20.734,1.031
20.764,1.009
20.794,1.028
20.824,1.033
20.854,1.042
20.884,1.038
20.914,1.030
20.944,1.049
20.974,1.052
21.004,1.046
21.034,1.045
21.064,1.048
21.094,1.040
21.124,1.037
21.154,1.030
21.184,1.047
21.214,1.043
21.244,1.044
21.274,1.029
21.304,1.024
21.334,1.034
21.364,1.035
21.394,1.046
21.424,1.037
21.454,1.039
21.484,1.039
21.514,1.032
21.544,1.041
21.574,1.034
21.604,1.054
21.634,1.052
21.664,1.041
21.694,1.035
21.724,1.023
21.754,1.032
21.784,1.045
21.814,1.038
21.844,1.043
21.874,1.048
21.904,1.039
21.934,1.024
21.964,1.019
21.994,1.025
22.024,1.030
22.054,1.047
22.084,1.056
22.114,1.054
22.144,1.039
22.174,1.032
22.204,1.023
22.234,1.024
22.264,1.037
22.294,1.045
22.324,1.041
22.354,1.032
22.384,1.035
22.414,1.037
22.444,1.034
22.474,1.037
22.504,1.040
22.534,1.036
22.564,1.035
22.594,1.041
22.624,1.044
22.654,1.041
22.684,1.036
22.714,1.044
22.744,1.039
22.774,1.037
22.804,1.037
22.834,1.029
22.864,1.032
22.894,1.044
22.924,1.037
22.954,1.037
22.984,1.043
23.014,1.044
23.044,1.041
23.074,1.048
23.104,1.031
23.134,1.046
23.164,1.040
23.194,1.034
23.224,1.040
23.254,1.046
23.284,1.028
23.314,1.037
23.344,1.035
23.374,1.042
23.404,1.035
23.434,1.035
23.464,1.043
23.494,1.038
23.524,1.035
23.554,1.038
23.584,1.036
23.614,1.037
23.644,1.032
23.674,1.044
23.704,1.029
23.734,1.043
23.764,1.032
23.794,1.033
23.824,1.038
23.854,1.041
23.884,1.028
23.914,1.049
23.944,1.048
23.974,1.058
24.004,1.028
24.034,1.039
24.064,1.044
24.094,1.046
24.124,1.035
24.154,1.031
24.184,1.042
24.214,1.030
24.244,1.035
24.274,1.049
24.304,1.055
24.334,1.050
24.364,1.036
24.394,1.028
24.424,1.030
24.454,1.039
24.484,1.040
24.514,1.029
24.544,1.047
24.574,1.030
24.604,1.023
24.634,1.034
24.664,1.040
24.694,1.032
24.724,1.027
24.754,1.029
24.784,1.043
24.814,1.038
24.844,1.041
24.874,1.053
24.904,1.061
24.934,1.061
24.964,1.056
24.994,1.055
25.024,1.037
25.054,1.039
25.084,1.021
25.114,1.037
25.144,1.042
25.174,1.033
25.204,1.042
25.234,1.046
25.264,1.040
25.294,1.048
25.324,1.039
25.354,1.048
25.384,1.043
25.414,1.044
25.444,1.044
25.474,1.039
25.504,1.037
25.534,1.039
25.564,1.041
25.594,1.046
25.624,1.044
25.654,1.042
25.684,1.043
25.714,1.032
25.744,1.042
25.774,1.045
25.804,1.036
25.834,1.043
25.864,1.038
25.894,1.042
25.924,1.050
25.954,1.033
25.984,1.043
26.014,1.038
26.044,1.039
26.074,1.040
26.104,1.043
26.134,1.042
26.164,1.037
26.194,1.038
26.224,1.036
26.254,1.039
26.284,1.042
26.314,1.036
26.344,1.033
26.374,1.047
26.404,1.042
26.434,1.027
26.464,1.033
26.494,1.039
26.524,1.038
26.554,1.050
26.584,1.039
26.614,1.040
26.644,1.039
26.674,1.037
26.704,1.036
26.734,1.038
26.764,1.038
26.794,1.038
26.824,1.037
26.854,1.041
26.884,1.038
26.914,1.037
26.944,1.041
26.974,1.029
27.004,1.041
27.034,1.040
27.064,1.030
27.094,1.039
27.124,1.039
27.154,1.041
27.184,1.047
27.214,1.038
27.244,1.039
27.274,1.037
27.304,1.033
27.334,1.036
27.364,1.030
27.394,1.031
27.424,1.040
27.454,1.042
27.484,1.031
27.514,1.028
27.544,1.028
27.574,1.038
27.604,1.051
27.634,1.043
27.664,1.032
27.694,1.028
27.724,1.055
