df_hash,22ZHK4.UV7K0H
431.982,0.569
432.563,0.569
433.102,0.570
433.780,0.572
436.320,0.574
437.157,0.576
440.023,0.574
441.145,0.574
441.827,0.574
442.601,0.572
444.069,0.574
444.508,0.576
446.360,0.576
447.039,0.583
447.725,0.595
448.505,0.595
449.248,0.595
449.970,0.595
450.599,0.604
451.250,0.604
456.117,0.604
