df_hash,22ZHK4.UV7K0H
117.241,20
117.244,420
117.729,15
118.119,675
119.242,500
119.679,905
120.216,590
120.361,650
120.365,15
120.410,15
120.507,110
120.510,30
120.925,15
121.290,510
121.628,260
121.632,395
121.726,10
121.778,145
122.311,20
122.993,530
122.998,685
123.286,10
123.676,240
123.682,460
123.857,10
124.407,190
124.417,475
124.523,10
125.089,175
125.093,520
125.236,10
125.240,120
125.284,10
125.288,10
125.292,15
125.336,10
125.341,10
125.345,10
125.772,25
125.777,495
125.780,10
125.918,10
126.601,135
126.604,640
126.894,10
127.429,255
127.436,555
127.478,10
127.484,10
127.489,45
127.530,30
127.535,15
127.540,10
127.578,10
127.624,10
127.629,10
127.634,10
127.640,10
127.725,10
127.730,10
128.174,15
128.990,545
128.994,785
129.672,10
129.675,725
130.354,10
131.037,755
131.330,705
131.768,210
132.014,500
132.158,310
132.162,10
133.279,430
133.283,690
133.572,265
133.586,20
135.084,485
135.620,1100
136.497,580
136.746,850
136.750,195
136.754,10
136.757,10
136.790,15
137.423,25
137.426,645
138.155,10
138.837,775
138.841,715
139.666,10
140.105,775
140.498,445
141.226,400
141.665,765
142.054,385
143.420,445
145.370,1335
145.662,1975
146.198,265
147.856,565
149.563,1725
151.610,1650
152.341,2160
153.319,685
153.706,865
154.389,430
155.144,785
155.803,685
156.485,730
157.168,600
157.752,710
158.045,640
158.435,235
159.135,385
159.849,725
159.995,685
160.531,215
161.101,495
161.799,650
162.481,670
163.164,690
163.847,635
164.431,680
165.157,680
165.796,695
166.482,670
167.210,690
167.893,715
168.575,715
169.553,685
170.086,710
170.818,730
171.500,725
172.183,735
172.865,670
173.450,685
174.182,670
174.854,655
175.110,900
176.911,1150
178.033,775
178.325,1075
179.983,325
180.665,1690
181.835,645
182.473,1170
183.054,610
183.590,585
184.280,570
184.955,670
186.369,700
186.663,1400
186.759,395
187.734,315
188.465,705
189.298,660
190.000,840
190.689,790
191.488,735
192.219,740
192.901,745
193.730,745
194.413,745
194.998,690
195.702,640
196.363,630
197.094,685
198.045,795
198.605,960
199.824,480
200.268,1340
201.804,400
201.920,1560
201.946,125
203.724,440
204.455,1435
205.137,655
205.820,650
206.513,700
207.332,770
208.062,780
208.892,795
209.721,800
210.403,765
211.085,745
211.817,735
212.646,725
213.328,730
214.011,740
214.839,765
215.668,820
216.536,805
217.228,790
217.910,750
218.739,750
219.421,750
220.105,745
220.961,740
221.696,765
222.346,750
223.033,725
223.763,705
224.446,700
225.271,710
225.954,760
226.783,755
227.466,790
228.196,735
228.733,655
229.415,650
230.146,640
230.683,650
231.415,660
232.097,695
232.779,665
233.462,740
234.149,715
234.827,650
235.412,640
236.094,645
236.683,635
237.361,620
237.508,645
237.898,215
238.504,375
239.165,600
239.701,600
240.287,590
240.969,580
241.651,640
242.348,735
243.065,685
243.894,790
244.870,855
245.698,875
246.410,855
247.063,765
247.648,675
248.330,610
248.867,605
249.696,640
250.573,780
251.402,845
252.260,870
253.059,835
253.891,825
254.603,790
255.155,720
255.838,655
256.374,605
256.964,590
257.642,600
258.178,605
258.910,610
259.738,735
260.420,785
261.106,695
261.786,710
262.520,710
263.202,700
263.735,670
264.418,630
265.170,670
265.685,670
266.379,635
266.953,610
267.489,600
268.101,590
268.611,560
269.147,535
269.732,530
270.144,530
270.707,535
271.247,525
271.779,535
272.364,535
272.843,530
273.339,545
273.875,540
274.460,530
274.997,525
275.536,535
275.972,535
276.508,535
277.093,530
277.629,520
278.125,530
278.605,535
279.219,530
279.726,525
280.164,520
280.700,525
281.240,530
281.822,525
282.212,520
282.797,525
283.333,510
283.772,505
284.309,520
284.844,505
285.286,505
286.114,490
286.262,515
286.794,495
287.233,500
287.770,490
288.208,490
288.793,500
289.284,500
289.720,490
290.259,490
290.694,495
291.236,480
291.678,505
292.206,515
292.790,515
293.181,515
293.778,510
294.302,525
294.873,530
295.277,530
295.813,525
296.447,525
296.976,545
297.519,555
298.056,550
298.592,550
299.178,575
299.713,560
300.298,550
300.834,545
301.371,560
301.957,550
302.346,540
302.966,540
303.470,550
304.052,545
304.637,545
305.124,570
305.898,595
306.392,575
306.928,570
307.514,585
308.050,610
308.819,605
309.317,600
310.000,620
310.584,615
311.121,625
311.803,615
312.390,615
313.071,630
313.607,615
314.192,595
314.777,575
315.264,580
316.018,590
316.532,585
317.125,580
317.654,615
318.336,605
319.018,630
319.604,660
320.286,670
320.968,665
321.553,645
322.236,640
322.772,620
323.357,600
324.040,590
324.602,605
325.161,605
325.843,620
326.526,655
327.208,705
327.940,690
328.622,670
329.305,685
329.987,700
330.673,700
331.258,675
331.940,645
332.522,630
333.060,620
333.742,605
334.326,605
335.008,610
335.618,635
336.281,660
336.812,655
337.495,605
338.082,585
338.620,595
339.152,610
339.883,605
340.422,600
340.956,605
341.687,610
342.225,600
342.906,620
343.491,630
344.173,660
344.856,685
345.441,665
346.123,615
346.660,610
347.345,615
348.076,640
348.756,685
349.292,690
350.121,695
350.853,705
351.424,700
352.071,670
352.754,635
353.518,675
354.167,705
354.850,695
355.581,695
356.263,725
356.946,710
357.629,660
358.311,700
358.896,700
359.628,685
360.287,660
360.992,660
361.529,655
362.114,620
362.797,620
363.479,645
364.165,675
364.746,655
365.429,655
366.209,670
366.820,715
367.526,705
368.209,700
368.890,675
369.475,660
370.173,635
370.718,610
371.280,605
371.961,615
372.497,620
373.082,615
373.765,610
374.306,590
374.887,585
375.569,610
376.254,660
376.934,715
377.665,720
378.347,685
379.035,685
379.716,645
380.300,690
380.980,665
381.565,640
382.297,650
382.785,635
383.466,620
384.203,635
384.880,660
385.416,685
386.147,680
386.830,645
387.366,660
388.049,640
388.634,605
389.333,615
389.853,625
390.437,620
391.120,610
391.705,620
392.387,635
392.924,610
393.608,620
394.191,630
394.874,630
395.556,670
396.291,685
396.825,675
397.506,670
398.091,625
398.774,620
399.359,615
400.041,660
400.724,685
401.406,655
402.090,675
402.674,675
403.356,655
403.893,630
404.478,600
405.160,610
405.696,610
406.292,600
406.818,595
407.500,580
408.088,595
408.870,645
409.450,670
410.181,655
410.935,690
411.400,700
412.083,640
412.668,635
413.357,655
414.033,670
414.764,690
415.446,685
416.021,670
416.667,650
417.396,650
417.933,650
418.615,655
419.447,690
420.175,735
420.862,740
421.540,715
422.271,710
422.955,695
423.636,675
424.173,665
424.904,670
425.733,700
426.415,725
427.100,735
427.829,725
428.609,745
429.341,730
429.877,715
430.559,670
431.294,660
431.827,640
432.411,605
432.948,570
433.484,570
434.215,570
434.899,670
435.580,685
436.263,705
436.994,690
437.531,645
438.067,610
438.652,565
439.188,575
439.773,565
440.312,565
440.992,590
441.674,645
442.406,670
443.088,710
443.770,685
444.356,680
445.038,650
445.575,650
446.305,630
446.989,670
447.670,675
448.353,695
449.182,770
449.913,735
450.498,715
451.132,665
451.717,670
452.399,590
453.082,625
453.086,710
453.423,190
454.792,315
455.324,1195
456.009,580
456.592,625
