df_hash,22ZHK4.VLRYU9
435.275,29
436.007,25
437.272,16
438.102,23
438.979,26
440.248,21
441.076,45
442.001,48
443.266,42
444.243,38
445.063,37
446.148,38
447.071,48
447.951,44
449.167,41
450.109,50
450.971,57
452.333,56
453.117,61
454.142,55
455.066,60
455.993,67
456.870,60
458.183,37
458.967,37
459.945,35
461.112,35
461.969,34
462.825,31
464.131,25
464.914,0
465.885,40
467.010,36
467.982,49
468.813,35
470.276,31
471.004,0
471.938,0
473.198,0
474.041,46
474.776,47
475.940,28
476.857,28
477.736,0
478.954,0
479.833,2
481.050,0
481.976,31
483.103,9
483.731,15
484.901,0
485.785,0
486.753,0
487.875,0
488.906,0
489.681,0
