df_hash,22ZHK4.A7NV4E
147.807,205
148.002,630
148.006,185
148.635,25
148.781,640
148.830,150
148.836,20
148.928,15
148.939,15
149.478,10
149.610,590
149.615,170
149.618,50
150.244,20
151.073,565
151.902,810
151.999,805
152.002,170
152.123,10
152.148,30
152.151,10
152.682,10
152.828,565
152.834,175
152.928,15
152.935,15
152.941,10
153.367,10
154.193,580
154.339,790
154.343,170
154.491,15
154.827,15
155.168,10
155.173,590
155.217,160
155.222,15
155.230,15
155.236,10
155.753,10
156.048,580
156.152,170
156.162,35
156.583,15
156.980,575
157.411,210
157.566,580
157.608,185
157.654,15
157.659,10
157.666,10
158.244,30
158.922,555
159.219,795
159.509,215
159.775,10
159.850,600
159.897,25
159.901,35
159.945,10
159.949,15
159.952,55
160.147,10
160.579,10
161.315,580
161.408,775
162.091,160
162.236,635
162.240,185
162.434,15
162.438,15
162.822,15
163.504,530
163.651,690
163.797,220
163.800,15
163.846,25
164.967,405
165.015,735
165.064,190
165.074,10
165.216,15
165.219,10
165.223,10
165.603,20
165.856,500
165.993,175
165.996,40
166.430,15
166.575,495
166.582,140
166.628,105
166.636,10
167.697,385
167.795,705
167.990,190
168.379,15
168.526,500
168.623,185
168.627,10
169.065,15
169.354,530
169.357,210
169.503,20
169.744,10
170.476,465
171.158,650
171.987,720
171.990,735
172.133,10
172.137,205
172.669,15
173.352,505
173.498,685
173.504,140
173.795,15
173.942,10
173.956,470
174.765,10
175.448,770
175.740,780
175.744,225
175.838,10
176.130,15
176.277,470
176.423,220
177.544,415
178.227,760
179.055,675
179.202,810
179.348,260
179.351,10
179.398,10
180.323,320
181.542,590
181.688,1290
181.692,150
181.740,20
181.752,40
182.273,10
182.419,510
182.517,235
182.522,15
182.568,20
183.638,450
184.223,630
184.467,635
184.471,250
184.515,15
184.520,10
184.525,15
184.613,15
184.651,15
184.711,10
184.714,10
184.717,10
184.721,10
184.857,215
185.442,720
185.734,10
185.738,270
185.884,10
186.419,20
187.102,485
187.245,800
187.249,180
187.440,50
187.444,15
187.830,15
188.223,515
188.227,245
188.806,495
188.813,180
188.817,15
189.196,10
190.124,460
190.318,785
190.325,235
190.902,10
191.585,535
191.731,790
191.833,245
191.925,10
191.929,10
192.559,450
193.047,245
193.244,440
193.392,250
193.535,10
194.363,330
195.098,730
195.728,685
196.265,730
196.853,615
196.859,395
197.068,235
198.507,1305
198.510,235
198.947,10
199.628,445
199.872,695
199.877,265
200.457,10
200.749,595
201.433,335
202.114,675
202.118,650
202.797,10
203.382,645
203.529,670
203.626,240
203.631,10
204.137,320
204.357,10
204.361,350
204.504,15
204.649,255
205.869,640
206.014,620
206.018,190
206.066,10
206.161,10
206.164,10
206.551,10
206.554,415
206.697,10
206.701,165
206.746,20
206.749,15
206.753,10
207.136,15
207.234,440
207.390,230
208.062,660
208.354,15
209.037,285
209.040,655
209.623,10
209.768,665
209.914,225
209.918,10
211.134,500
212.547,725
212.644,1370
212.648,145
212.696,10
212.703,10
213.132,10
213.136,490
213.142,10
213.229,10
213.233,35
213.381,235
213.473,15
213.476,10
213.522,15
213.528,20
213.571,10
213.574,10
213.577,20
213.619,30
213.623,20
213.626,10
213.670,10
213.673,65
213.767,135
215.180,745
215.472,635
215.477,230
215.737,10
216.398,325
217.130,700
217.229,705
217.276,170
217.373,40
217.376,10
217.812,10
217.966,425
218.109,225
218.349,10
218.934,400
219.617,595
219.621,645
219.762,10
219.862,225
219.957,10
220.737,410
221.817,395
221.858,985
221.910,240
221.913,10
221.958,10
222.639,305
223.906,430
224.198,1365
224.204,180
224.493,45
224.589,10
225.320,440
225.466,725
225.563,265
225.567,10
226.539,430
227.952,555
227.956,1295
228.098,10
228.102,220
228.342,15
228.346,175
228.488,245
228.829,240
229.951,480
229.955,645
230.149,10
230.292,40
230.296,315
230.443,15
230.449,10
230.585,215
231.950,680
232.145,720
232.242,280
232.248,10
233.223,420
234.046,665
234.049,745
234.728,10
235.557,770
235.563,790
235.901,10
235.904,240
236.288,10
236.291,450
236.971,10
238.483,640
239.165,1560
240.581,710
240.725,1320
241.115,285
241.961,335
242.528,770
243.357,730
243.650,780
243.698,280
243.845,10
244.048,380
244.189,10
245.990,695
246.827,1295
246.830,695
247.355,10
247.501,710
247.504,180
247.647,10
247.651,10
247.655,10
248.086,15
248.336,445
248.476,245
248.643,15
249.305,355
249.308,605
249.890,10
250.133,600
250.137,230
250.426,10
251.112,350
251.255,630
251.260,180
251.403,45
251.742,20
251.940,410
251.986,180
251.990,10
252.281,15
252.376,20
252.719,420
252.866,280
252.870,10
252.919,20
253.643,305
254.180,605
254.472,645
254.877,205
255.593,480
255.842,730
255.886,185
255.891,55
255.898,10
256.423,15
256.666,475
257.109,275
257.364,425
257.641,265
258.275,365
258.908,600
259.225,640
259.299,265
259.302,10
259.321,10
259.591,350
259.594,10
260.566,670
260.570,400
260.618,10
261.005,10
261.833,335
262.077,895
262.664,280
264.028,510
265.981,1425
266.514,1900
267.635,555
267.640,1225
267.781,10
267.941,160
268.756,420
269.195,530
269.472,310
270.584,295
272.691,1150
274.314,2060
274.607,1690
274.752,450
275.971,645
276.705,660
277.536,655
278.067,690
278.216,705
278.262,190
278.265,15
278.755,15
278.897,460
278.900,185
278.904,10
278.907,15
278.945,10
279.482,15
280.164,450
280.851,710
281.529,725
282.946,730
283.043,1420
283.078,105
283.187,110
283.191,10
283.286,10
283.338,130
283.579,10
283.771,285
283.774,200
284.362,20
284.749,545
285.136,320
285.824,450
285.965,700
285.970,165
286.016,15
286.021,30
286.136,10
286.552,10
286.669,450
287.233,165
287.769,520
288.354,665
288.358,450
288.362,45
288.597,235
288.744,210
290.011,515
290.014,765
290.179,10
290.206,80
290.209,20
290.212,15
290.215,15
290.257,15
290.265,10
290.269,10
290.694,10
291.084,440
291.230,405
291.961,240
292.713,700
292.805,600
292.839,140
292.842,85
292.887,10
293.766,345
293.911,625
294.447,160
295.130,485
295.819,680
295.977,725
296.544,220
296.549,495
296.642,10
296.690,155
296.696,10
296.741,15
296.746,15
296.788,10
297.226,20
298.007,450
298.592,720
299.420,735
299.566,740
299.580,180
299.617,25
300.152,10
300.297,500
300.984,180
301.516,555
302.199,690
302.203,705
302.345,10
302.349,150
302.394,10
302.397,25
302.401,15
302.640,10
302.931,10
303.076,455
303.125,175
303.129,10
303.225,10
303.229,10
303.613,15
304.442,530
305.270,800
305.275,805
305.416,10
306.245,185
306.834,640
307.376,805
307.701,190
307.778,565
307.805,190
307.809,15
308.344,25
308.634,540
309.320,200
309.349,565
309.391,10
309.853,235
309.999,525
310.002,170
310.048,10
310.151,10
310.392,15
310.584,10
310.831,515
310.876,165
310.882,15
310.888,15
310.930,15
311.413,15
311.416,525
312.097,10
312.924,785
313.070,780
313.073,170
313.119,10
313.607,15
313.899,560
313.948,180
313.951,20
314.435,10
315.166,555
315.436,770
315.995,180
316.824,605
317.506,785
317.521,775
317.653,10
318.194,185
318.384,565
318.481,10
318.484,155
318.530,10
318.533,15
318.537,10
319.018,35
319.164,485
319.168,185
319.702,30
319.798,535
320.529,10
321.260,770
321.264,770
322.094,10
322.271,775
322.284,165
322.287,15
322.291,10
322.294,15
322.390,15
322.772,25
323.600,560
323.603,785
323.791,10
324.471,155
325.166,610
325.408,790
325.892,195
326.086,535
326.090,165
326.672,15
327.354,560
328.231,805
328.477,795
329.013,270
329.768,595
331.108,615
331.119,1420
331.159,10
331.261,80
331.335,75
331.355,10
331.369,10
331.401,15
331.498,160
331.506,25
331.511,15
331.552,15
331.940,25
332.766,355
332.960,880
332.963,160
333.596,15
333.743,640
334.423,10
335.154,835
335.989,800
336.129,815
336.132,170
336.253,10
336.256,10
336.278,10
336.813,10
336.958,550
336.961,175
337.007,15
337.010,10
337.014,10
337.494,10
337.640,540
337.787,160
337.790,55
338.323,15
339.006,580
339.346,760
339.366,175
339.398,10
339.401,10
339.883,20
340.711,605
340.907,825
340.910,155
341.540,25
341.544,625
342.246,10
343.055,775
343.058,830
343.881,10
344.709,830
345.538,825
346.367,835
347.199,830
347.296,810
348.081,10
348.907,805
349.584,835
350.121,815
350.416,475
351.243,330
352.070,865
352.363,815
352.899,185
353.779,645
354.130,795
354.139,10
354.174,75
354.177,10
354.181,65
354.204,15
354.242,185
354.316,115
354.324,10
354.329,10
354.332,10
354.336,10
354.459,10
354.462,20
354.468,195
355.970,785
356.946,670
356.964,1080
357.097,15
357.100,10
357.189,10
357.192,10
357.196,10
357.201,110
358.749,1480
358.895,200
358.899,20
359.094,15
359.101,10
359.139,10
359.144,350
359.878,10
359.982,665
360.008,10
360.065,165
361.090,540
361.918,595
361.921,705
362.649,10
362.652,715
363.186,10
364.017,640
364.720,730
364.795,815
365.526,10
366.355,790
367.232,850
367.330,810
368.061,200
368.158,590
368.207,210
368.217,25
368.762,15
369.013,540
369.016,190
369.038,15
369.623,25
369.626,570
369.721,10
370.400,190
371.229,595
371.233,825
371.912,10
372.740,750
373.570,780
373.862,920
374.008,440
375.276,1215
375.738,15
376.675,420
377.079,1005
377.623,435
378.493,455
378.496,835
379.127,10
380.102,815
380.931,875
380.980,850
381.662,10
382.490,795
382.496,820
383.319,10
383.324,815
383.465,10
383.563,180
384.295,720
385.814,10
385.820,1595
385.857,10
386.100,10
386.353,170
387.198,300
387.317,850
387.320,225
387.756,10
388.580,360
389.121,715
389.413,685
389.417,285
389.706,10
390.557,325
391.217,800
392.046,740
392.339,785
392.777,215
392.973,535
393.023,260
394.435,515
395.127,800
395.946,805
396.092,750
396.673,185
396.679,585
396.921,10
397.479,165
397.606,610
397.896,10
398.188,725
399.017,695
399.115,245
399.553,380
399.572,10
399.613,20
399.626,25
399.705,20
399.749,110
399.754,10
400.092,15
400.187,345
400.970,10
402.044,915
402.629,1060
402.868,650
402.871,205
402.917,25
402.920,30
402.924,15
403.018,15
403.042,10
403.453,20
404.282,410
405.111,835
405.939,870
406.304,910
406.768,205
407.061,650
407.066,180
407.109,10
407.117,10
407.120,10
407.357,10
407.606,10
407.890,585
408.435,220
409.403,655
409.549,860
409.553,185
409.556,10
409.561,10
410.132,15
410.376,595
410.379,160
410.427,10
410.430,60
410.961,15
411.059,510
411.643,150
412.472,630
413.467,860
413.593,860
413.599,155
413.691,15
413.696,10
413.703,10
414.162,20
414.178,595
415.218,10
415.933,850
416.079,840
416.083,165
416.128,10
416.131,10
416.134,10
416.275,10
416.616,15
416.762,530
417.357,165
418.322,615
418.328,850
418.468,10
419.008,165
419.300,655
419.346,175
419.352,15
419.546,15
419.833,15
419.979,535
419.983,160
420.128,20
420.664,20
421.491,645
422.466,925
422.612,895
423.343,205
423.469,630
423.490,190
423.493,10
423.496,10
424.031,15
424.228,530
424.269,160
424.300,10
424.419,10
424.422,20
424.425,15
424.854,20
424.858,545
425.685,10
426.512,815
427.341,845
427.487,810
427.501,175
427.536,10
427.542,15
427.547,10
427.734,10
428.023,10
428.029,555
428.170,10
428.325,175
428.470,15
428.998,20
429.833,675
429.973,890
430.049,10
430.066,155
430.122,20
430.656,15
430.864,635
430.875,180
430.882,15
431.339,15
431.631,570
431.636,190
432.217,20
432.316,620
433.126,10
433.971,850
434.172,845
434.214,155
434.218,15
434.222,15
434.266,15
434.271,10
434.274,10
434.702,40
434.849,570
435.677,10
435.681,895
436.555,10
436.750,885
436.753,175
437.335,25
437.629,620
438.164,205
438.457,620
439.041,215
440.065,685
440.121,750
440.808,285
442.101,670
443.965,1295
443.970,1780
444.062,10
444.068,40
444.234,10
444.273,180
444.552,30
444.558,20
445.525,10
445.830,1395
445.966,310
446.353,155
447.477,450
449.425,1015
450.403,2085
452.057,880
452.061,1675
452.109,10
452.112,10
454.007,25
454.153,2020
454.157,35
454.161,20
454.164,15
454.202,15
454.205,15
454.252,15
454.259,10
454.262,15
454.300,15
454.303,20
454.307,40
454.311,30
454.352,15
454.356,15
454.418,15
454.449,10
454.459,20
454.462,20
454.475,15
454.495,15
454.498,10
454.502,15
454.507,20
454.544,15
454.547,20
454.592,15
454.596,10
454.599,15
454.646,15
454.661,15
454.666,25
454.693,25
454.697,15
454.700,15
455.665,25
455.671,1015
