df_hash,22ZHK4.6M747Q
428.179,74
429.032,74
429.909,74
431.128,74
432.006,74
432.885,70
434.110,71
435.054,64
435.857,59
437.075,57
437.953,56
438.879,57
440.100,57
441.008,56
441.853,56
443.026,56
444.096,56
444.827,56
445.999,56
446.923,56
447.800,56
449.019,56
449.900,56
450.777,56
451.945,56
452.870,56
453.748,56
454.967,56
455.844,64
456.722,67
457.940,72
458.818,76
459.990,79
460.914,80
461.792,80
462.680,79
463.888,79
464.765,78
465.692,78
466.862,77
468.035,77
468.666,78
469.885,78
470.742,79
471.639,79
472.809,78
473.979,78
474.613,78
475.783,78
476.660,78
477.587,77
478.757,78
479.634,79
480.566,79
481.731,80
482.658,80
483.534,81
484.997,81
485.631,81
486.532,81
487.681,82
488.703,83
489.533,82
490.741,82
491.580,82
492.456,82
493.674,82
494.552,82
495.429,82
496.649,82
497.526,82
498.403,82
499.639,82
500.499,82
501.389,82
502.609,82
503.505,82
504.351,82
505.569,82
506.447,82
507.471,82
508.543,82
509.421,82
510.347,82
511.517,82
512.395,82
513.334,82
514.491,82
515.374,82
516.339,82
517.465,55
