df_hash,22ZHK4.6M747Q
198.979,10
199.515,635
200.100,590
200.103,570
200.637,10
201.319,605
202.001,610
202.782,680
203.269,635
203.855,620
204.390,625
205.073,605
205.658,585
206.194,560
206.789,590
207.462,585
207.998,645
208.583,635
208.587,595
209.266,10
209.996,650
210.533,640
211.118,625
211.611,575
211.727,550
212.191,10
212.483,575
212.873,215
213.409,370
213.604,600
213.994,175
214.579,405
215.115,555
215.120,575
215.659,10
216.339,580
217.065,660
217.602,665
217.663,585
218.235,10
218.729,595
219.284,595
219.994,550
220.238,645
220.527,10
221.940,595
222.525,1290
223.309,675
223.500,705
224.426,275
224.719,865
225.109,345
226.377,470
227.206,1170
227.357,905
227.598,140
227.665,10
228.180,305
228.722,560
229.303,455
229.984,555
230.180,955
232.305,510
232.960,1530
233.933,545
234.177,1130
234.324,470
235.152,480
235.834,250
235.838,730
236.358,10
236.573,295
237.248,555
237.492,595
237.882,475
238.474,580
238.616,235
239.052,10
240.468,485
240.563,1065
242.513,425
243.342,2010
244.463,880
244.756,1025
245.730,355
246.949,985
247.681,1175
248.071,820
249.490,345
249.732,1665
251.440,555
251.686,1130
252.799,335
253.239,1150
253.920,320
254.067,780
254.070,120
254.896,15
255.432,855
256.699,565
256.992,1240
256.995,300
257.138,10
257.290,265
258.796,805
259.092,670
260.161,335
260.171,1085
260.319,10
260.357,90
260.372,10
260.375,15
260.378,35
261.011,10
262.257,645
262.310,1265
262.403,10
262.406,50
262.431,15
262.504,35
263.818,10
263.965,1385
264.207,460
264.792,595
265.621,10
266.596,825
266.599,915
266.693,20
266.750,95
267.575,10
268.546,845
269.912,1065
271.330,1315
272.300,1480
272.544,1030
273.302,250
274.250,640
274.794,1005
275.761,600
276.444,970
277.175,675
277.419,695
277.566,340
277.592,10
277.711,160
278.686,1040
280.197,10
280.202,1490
280.374,25
280.395,130
280.401,10
280.490,70
280.782,10
280.785,390
281.465,15
282.439,570
282.586,1075
282.592,145
283.610,30
284.780,860
285.218,1270
285.609,485
285.657,355
285.660,20
286.632,10
287.607,970
289.509,1040
290.391,1890
290.825,900
292.045,370
292.190,1255
292.731,230
293.411,540
294.530,725
295.114,1125
295.118,540
296.631,1195
296.724,260
297.602,10
298.308,945
298.312,780
299.795,10
299.843,1495
300.234,10
301.647,440
302.184,1430
303.698,480
304.280,1565
306.083,510
307.207,1850
307.450,920
308.326,575
309.545,845
309.842,1130
309.896,395
310.520,10
311.349,635
313.062,805
313.156,1655
313.302,10
313.308,250
313.315,10
313.737,265
314.566,270
315.006,770
315.833,480
315.839,825
317.079,10
317.082,1195
317.491,10
318.910,510
320.172,1380
320.176,1210
320.806,10
322.078,695
323.341,1235
324.170,1305
324.573,795
325.827,380
325.834,1245
326.413,15
327.149,675
328.239,690
328.460,1055
330.020,245
330.854,1645
331.823,845
332.214,1000
332.217,380
333.926,10
334.602,1615
335.780,760
336.260,1055
336.263,625
336.801,10
338.065,540
338.600,1170
339.185,625
339.867,540
340.014,790
340.172,240
340.847,565
341.135,10
342.110,415
342.793,980
343.768,655
343.804,930
344.063,310
344.895,875
345.427,10
345.444,595
345.578,10
345.863,10
347.083,300
347.821,1360
348.060,635
348.065,10
348.496,25
349.471,640
349.477,950
349.523,110
349.528,10
349.861,15
349.867,320
351.136,95
352.933,1180
353.469,1850
353.474,485
354.205,10
354.739,750
355.575,515
355.858,900
356.004,475
358.101,1575
358.494,450
359.611,490
359.800,1100
359.831,130
359.836,10
359.840,10
360.002,250
361.854,945
361.956,890
362.153,265
363.755,740
364.340,905
365.315,575
365.851,950
366.437,555
367.412,550
368.638,1080
369.633,1220
369.897,1000
370.044,440
371.288,345
372.872,885
372.889,1535
372.911,15
373.067,175
373.213,230
374.187,930
375.455,885
376.284,385
376.726,850
377.405,360
377.795,820
378.234,415
378.624,375
379.551,435
380.037,850
381.306,595
381.549,1145
381.845,290
382.963,295
384.328,1110
385.303,1505
386.570,890
387.057,1230
387.736,480
388.813,650
389.202,1160
389.206,455
390.178,30
390.483,1175
391.592,490
392.323,720
392.669,640
393.678,425
393.796,1145
395.199,1200
395.205,160
395.688,15
396.174,380
396.322,600
396.418,135
396.423,70
397.007,15
397.296,300
397.835,655
398.514,515
399.051,645
399.636,570
400.221,555
400.854,570
401.001,650
401.447,165
402.755,485
403.389,1295
404.513,690
405.049,1025
405.193,425
406.049,330
407.022,820
407.872,1005
408.118,890
408.272,235
408.416,150
408.426,15
408.801,10
410.214,560
410.221,1320
410.265,15
410.280,15
410.471,225
411.921,415
413.091,1050
413.725,1205
415.382,625
415.393,1710
416.162,10
417.576,720
419.233,1430
419.236,1645
419.916,10
421.057,685
421.329,1125
422.451,385
422.548,1100
422.551,125
422.986,15
423.133,415
423.179,160
423.816,410
424.694,270
425.083,760
425.668,435
426.106,565
426.302,410
426.601,360
427.865,185
427.868,1140
428.008,10
428.011,300
429.080,10
429.667,1175
430.397,535
431.177,640
431.860,860
432.151,785
432.736,145
432.740,565
433.143,10
433.178,405
433.275,240
434.638,320
434.641,995
434.692,15
436.345,10
436.686,1690
437.715,295
438.002,1170
439.269,255
439.273,1205
440.639,10
442.169,1360
443.127,1560
443.900,1050
443.903,610
444.106,70
444.242,250
444.388,250
444.391,10
447.170,1395
447.654,1495
448.000,365
448.727,455
449.702,670
451.213,1030
452.188,1515
452.191,910
452.627,10
453.020,515
453.856,370
454.674,830
455.406,840
456.235,765
456.917,785
457.607,625
458.290,725
459.260,740
460.005,835
460.670,890
461.353,710
461.499,710
462.182,10
463.010,745
463.699,800
464.571,800
465.400,805
466.105,780
466.765,755
467.593,715
468.276,760
469.154,755
469.836,810
469.839,740
470.518,10
471.103,625
471.107,680
471.785,10
472.322,600
473.150,555
473.989,915
474.809,875
475.540,720
476.368,770
477.051,790
477.054,750
477.734,10
478.464,685
479.296,720
479.976,755
480.664,745
481.341,725
481.344,715
482.072,10
482.901,710
483.584,780
484.266,690
485.006,740
485.879,745
485.926,715
486.365,10
487.045,635
487.630,615
488.604,685
488.848,925
488.851,240
488.900,10
489.434,50
490.652,590
491.481,1160
491.773,860
492.748,290
493.041,985
494.698,255
494.991,1510
495.827,490
496.356,840
496.941,570
498.306,590
498.752,1320
499.281,390
499.817,685
500.694,465
500.938,1110
501.377,520
502.889,1010
504.696,430
506.642,1895
507.227,1950
507.480,545
509.275,295
511.371,1780
511.374,2050
513.489,10
513.518,2075
513.613,75
513.622,10
513.627,15
513.633,15
513.639,20
513.760,25
513.765,210
513.909,10
514.003,15
514.007,195
514.052,20
514.056,10
514.059,15
515.274,15
515.368,1215
515.371,35
515.563,240
515.567,20
515.634,15
515.670,20
515.710,10
515.731,10
515.754,10
515.759,15
515.770,25
515.773,15
515.776,15
515.780,15
515.810,15
515.852,90
515.890,10
515.893,10
515.897,10
515.901,15
515.953,15
515.980,145
516.099,15
516.103,10
516.106,10
516.109,15
516.296,15
516.304,60
516.782,290
516.928,455
516.931,20
517.075,15
517.078,40
517.611,210
517.614,440
517.665,20
517.668,20
517.760,200
517.909,15
517.926,10
517.944,10
517.963,10
517.972,15
518.050,205
518.056,20
518.196,10
518.232,20
518.445,320
518.489,20
518.492,25
518.732,245
518.736,20
518.781,20
519.319,510
519.466,35
519.469,55
519.707,185
520.154,310
520.390,235
520.393,365
520.536,25
520.543,20
520.732,190
520.736,15
520.740,10
520.753,10
520.975,20
520.979,175
521.026,20
521.031,10
521.037,20
