df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,acc_mag
32.228,0.991
32.258,0.995
32.288,0.992
32.318,0.997
32.348,0.994
32.378,0.996
32.408,0.989
32.438,0.985
32.468,0.989
32.498,0.994
32.528,0.992
32.558,0.986
32.588,0.984
32.618,0.986
32.648,0.989
32.678,0.995
32.708,0.992
32.738,0.993
32.768,0.995
32.798,0.994
32.828,0.997
32.858,0.999
32.888,0.990
32.918,0.990
32.948,0.990
32.978,0.989
33.008,0.990
33.038,0.987
33.068,0.990
33.098,0.989
33.128,0.988
33.158,0.992
33.188,0.988
33.218,0.998
33.248,0.994
33.278,0.984
33.308,0.988
33.338,0.991
33.368,0.991
33.398,0.984
33.428,0.989
33.458,0.981
33.488,0.999
33.518,0.993
33.548,0.992
33.578,0.993
33.608,0.990
33.638,0.990
33.668,0.990
33.698,0.980
33.728,0.994
33.758,0.993
33.788,0.988
33.818,0.991
33.848,0.989
33.878,0.989
33.908,0.984
33.938,0.988
33.968,0.991
33.998,0.990
34.028,0.987
34.058,0.982
34.088,0.993
34.118,0.987
34.148,1.001
34.178,0.995
34.208,0.985
34.238,0.987
34.268,0.994
34.298,0.992
34.328,0.989
34.358,0.979
34.388,0.989
34.418,0.993
34.448,0.992
34.478,0.989
34.508,0.990
34.538,0.988
34.568,0.986
34.598,0.993
34.628,0.989
34.658,0.989
34.688,0.993
34.718,0.985
34.748,0.987
34.778,0.991
34.808,0.998
34.838,0.990
34.868,0.988
34.898,0.997
34.928,0.989
34.958,0.992
34.988,0.990
35.018,0.987
35.048,0.992
35.078,0.990
35.108,0.986
35.138,0.988
35.168,0.987
35.198,0.989
35.228,0.996
35.258,0.997
35.288,0.997
35.318,0.994
35.348,0.986
35.378,0.989
35.408,0.987
35.438,0.994
35.468,0.987
35.498,0.989
35.528,0.989
35.558,0.988
35.588,0.989
35.618,0.990
35.648,0.991
35.678,0.988
35.708,0.992
35.738,0.988
35.768,0.991
35.798,0.994
35.828,0.989
35.858,0.987
