df_hash,22ZHK4.7HTV1R
258.240,390
258.920,690
259.356,625
259.893,575
261.160,480
261.311,1285
261.697,230
262.817,425
262.867,1105
263.500,20
263.797,580
263.843,295
263.847,10
263.849,10
264.110,25
264.768,250
264.914,730
265.304,125
265.986,460
266.593,600
266.890,610
267.115,320
267.257,285
267.400,300
267.403,10
268.668,255
269.644,990
270.764,945
270.767,1125
270.861,90
272.958,1565
273.397,505
274.519,520
275.054,1115
275.590,475
276.175,605
276.179,525
276.224,90
276.272,15
276.276,20
276.321,20
276.324,15
276.760,10
277.548,415
277.565,585
278.128,10
278.225,860
278.369,10
278.809,295
278.815,295
279.344,10
280.173,550
280.176,900
280.611,10
280.616,475
281.978,10
282.123,1265
282.269,275
282.415,240
283.539,555
284.115,570
284.657,550
284.714,575
285.828,10
286.608,1110
288.119,845
288.122,1450
288.218,15
288.221,35
288.418,15
289.776,280
290.605,1420
291.344,785
291.434,860
294.651,1265
294.654,1945
294.950,10
295.149,470
295.920,595
295.924,180
295.927,25
295.932,10
295.968,15
296.065,15
296.211,235
297.869,1105
298.551,605
299.092,615
299.239,615
299.819,200
300.210,425
301.525,555
301.622,1205
301.628,145
301.671,15
301.874,15
302.013,370
303.280,595
303.573,600
305.087,405
305.379,1320
306.498,480
306.893,1060
307.473,500
308.009,475
308.692,590
308.694,580
308.886,175
308.889,15
308.893,25
309.228,15
309.231,15
309.276,35
309.813,330
310.495,640
311.083,640
311.616,615
312.592,575
312.884,890
313.420,325
314.008,590
315.227,600
315.823,1235
316.345,510
316.930,595
317.612,600
318.149,680
318.593,585
319.124,320
319.955,595
320.250,910
320.254,225
320.537,10
321.074,285
321.668,590
322.341,580
322.731,570
323.319,545
323.417,545
323.560,10
323.563,210
323.999,10
324.438,445
325.128,440
325.656,625
326.243,540
326.782,640
327.460,575
327.464,680
327.758,10
327.761,265
327.902,10
328.876,405
329.023,690
329.463,10
330.531,565
331.655,1050
332.627,1235
332.872,945
333.992,215
333.997,1090
334.285,10
335.952,395
337.064,1285
337.359,1440
337.893,275
339.014,635
339.019,1085
339.063,15
339.068,10
339.077,15
339.160,10
339.409,15
339.454,310
340.038,40
340.526,555
340.530,515
340.964,10
341.500,475
342.085,585
342.622,565
343.304,490
344.306,690
344.896,990
345.985,515
346.233,1205
346.818,290
347.204,325
347.351,555
348.325,255
348.472,910
348.862,205
349.154,330
349.739,255
349.985,855
351.800,920
352.079,945
353.054,230
353.493,1075
353.598,405
353.739,55
354.566,10
354.739,1025
354.745,150
354.760,20
354.857,25
355.150,305
355.296,180
355.300,10
355.347,65
355.351,15
355.398,10
355.607,245
355.645,10
356.666,485
356.807,585
356.811,75
356.857,15
356.860,15
356.864,20
357.105,10
357.248,15
357.344,280
358.172,255
358.179,850
358.319,10
358.323,135
358.612,15
359.733,285
360.269,1070
360.859,540
361.829,565
362.394,1025
362.805,505
363.535,505
363.539,465
363.730,215
364.705,265
364.709,955
364.852,10
365.973,200
366.511,1085
367.094,530
367.630,545
368.762,550
369.191,1110
369.727,495
370.409,495
370.850,700
371.394,460
372.216,555
373.700,835
374.163,1475
374.750,490
375.301,550
376.266,520
376.552,1055
376.698,470
377.819,575
378.360,530
378.892,545
379.476,480
380.165,560
380.174,550
380.550,10
380.988,555
381.550,545
381.554,530
382.207,10
382.645,515
383.230,570
384.059,495
385.424,830
385.427,1400
385.717,10
386.837,385
386.984,1115
387.082,165
387.520,355
387.667,200
387.814,275
387.911,10
389.032,600
389.470,590
390.202,435
391.713,630
391.810,1635
391.816,150
391.959,10
392.256,15
392.837,315
393.370,580
393.906,525
394.346,545
394.890,495
395.174,545
395.178,250
395.435,10
395.856,285
396.688,485
397.153,525
397.270,665
397.275,165
397.326,10
397.341,15
397.660,35
398.492,295
398.821,570
399.902,655
400.731,1050
401.424,925
401.852,570
401.958,435
402.246,135
403.071,320
403.075,900
403.219,10
403.510,10
405.314,390
405.704,1830
405.860,555
407.654,1145
408.127,605
408.775,505
409.897,665
410.043,1050
411.018,220
411.700,980
412.675,625
412.968,1055
413.165,435
414.675,470
414.922,1020
415.189,275
415.600,345
415.893,630
417.891,940
418.087,1090
418.672,260
419.120,530
419.695,445
419.890,525
420.085,470
420.621,505
421.451,535
421.599,295
422.280,225
422.425,695
422.431,10
422.475,20
422.480,15
422.816,50
423.257,435
424.083,410
424.485,860
425.064,330
425.792,590
426.289,590
427.800,695
427.822,1335
428.227,10
429.494,350
429.788,1460
430.765,280
431.298,1060
431.591,525
431.883,270
432.225,290
432.419,560
433.540,600
434.229,600
435.052,635
435.783,800
436.612,795
437.294,745
438.123,730
438.269,850
438.274,130
438.415,145
438.561,160
438.816,245
440.219,680
440.971,695
441.048,770
441.441,180
441.884,295
442.023,315
442.026,255
442.561,10
443.164,385
443.827,730
444.823,770
444.950,865
444.999,200
445.002,15
445.484,10
446.315,580
446.995,790
447.001,795
447.873,10
448.702,810
449.384,750
450.213,775
450.359,775
450.921,230
451.724,575
452.553,775
452.861,810
453.382,225
454.260,620
454.359,805
454.416,255
454.457,10
455.087,520
455.334,180
455.337,40
455.770,10
456.599,585
456.746,825
456.894,255
456.943,10
456.946,10
456.951,10
458.110,495
459.085,820
459.089,885
459.816,15
460.499,720
461.355,785
462.157,840
462.844,730
463.570,695
464.399,800
465.618,775
466.202,1220
467.032,625
467.860,830
468.689,870
468.862,765
468.865,180
468.984,15
469.399,15
470.103,555
471.029,745
471.032,855
471.906,10
471.911,910
472.741,530
473.030,220
473.033,15
473.711,10
473.958,1020
474.686,265
475.225,755
475.514,490
475.904,260
476.879,440
477.613,1005
477.854,725
478.001,330
478.147,10
479.121,270
479.125,955
479.173,10
479.560,10
479.658,370
480.243,190
480.779,435
481.608,675
481.754,725
482.226,255
482.875,370
483.168,725
484.386,255
484.390,1135
485.219,115
485.362,895
485.365,10
485.654,300
486.629,380
487.354,635
487.360,680
487.897,10
488.602,620
489.312,625
489.869,750
490.277,565
491.215,355
491.751,1060
