df_hash,22ZHK4.3RS3P8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CV3S
person_label,v119
date_time_start,2026-03-10_17-43-05.648000_+03
date_time_start_unix,1773150185.648
date_time_end,2026-03-10_17-53-26.485000_+03
length_difference_noticed,no

time,acc_mag
33.654,0.968
33.684,0.975
33.714,0.979
33.744,0.975
33.774,0.975
33.804,0.978
33.834,0.981
33.864,0.979
33.894,0.973
33.924,0.974
33.954,0.971
33.984,0.984
34.014,0.981
34.044,0.974
34.074,0.971
34.104,0.972
34.134,0.978
34.164,0.976
34.194,0.971
34.224,0.978
34.254,0.970
34.284,0.976
34.314,0.982
34.344,0.981
34.374,0.969
34.404,0.975
34.434,0.984
34.464,0.981
34.494,0.979
34.524,0.979
34.554,0.976
34.584,0.970
34.614,0.971
34.644,0.974
34.674,0.971
34.704,0.979
34.734,0.972
34.764,0.978
34.794,0.981
34.824,0.983
34.854,0.975
34.884,0.974
34.914,0.968
34.944,0.969
34.974,0.969
35.004,0.975
35.034,0.978
35.064,0.974
35.094,0.981
35.124,0.978
35.154,0.979
35.184,0.979
35.214,0.981
35.244,0.975
35.274,0.973
35.304,0.969
35.334,0.973
35.364,0.976
35.394,0.973
35.424,0.974
35.454,0.974
35.484,0.975
35.514,0.976
35.544,0.979
35.574,0.973
35.604,0.977
35.634,0.971
35.664,0.974
35.694,0.974
35.724,0.982
35.754,0.978
35.784,0.978
35.814,0.977
35.844,0.980
35.874,0.971
35.904,0.975
35.934,0.973
35.964,0.968
35.994,0.978
36.024,0.982
36.054,0.981
36.084,0.977
36.114,0.967
36.144,0.977
36.174,0.977
36.204,0.973
36.234,0.976
36.264,0.979
36.294,0.980
36.324,0.979
36.354,0.974
36.384,0.977
36.414,0.973
36.444,0.979
36.474,0.975
36.504,0.968
36.534,0.975
36.564,0.976
36.594,0.979
36.624,0.978
36.654,0.974
36.684,0.974
36.714,0.974
36.744,0.974
36.774,0.980
36.804,0.986
36.834,0.979
36.864,0.971
36.894,0.969
36.924,0.965
36.954,0.970
36.984,0.973
37.014,0.984
37.044,0.977
37.074,0.975
37.104,0.985
37.134,0.974
37.164,0.968
37.194,0.965
37.224,0.979
37.254,0.984
37.284,0.977
37.314,0.989
37.344,0.956
37.374,0.963
37.404,0.988
37.434,0.943
37.464,0.943
37.494,0.947
37.524,0.972
37.554,0.995
37.584,0.982
37.614,0.971
37.644,0.968
37.674,0.971
37.704,0.981
37.734,0.981
37.764,0.981
37.794,0.991
37.824,1.001
37.854,0.985
37.884,0.993
37.914,1.023
37.944,1.011
37.974,1.017
38.004,1.005
38.034,1.022
38.064,1.014
38.094,1.020
38.124,1.031
38.154,1.023
38.184,1.026
38.214,1.013
38.244,1.006
38.274,0.992
38.304,0.996
38.334,0.999
38.364,0.995
38.394,0.988
38.424,0.994
38.454,0.990
38.484,0.987
38.514,0.983
38.544,1.002
38.574,0.995
38.604,0.988
38.634,0.995
38.664,0.996
38.694,0.997
38.724,1.000
38.754,0.999
38.784,0.996
38.814,0.997
38.844,0.991
38.874,0.978
38.904,0.988
38.934,0.990
38.964,0.991
38.994,1.001
39.024,0.998
39.054,0.990
39.084,0.997
39.114,1.005
39.144,1.001
39.174,0.999
39.204,1.002
39.234,0.997
39.264,0.996
39.294,0.988
39.324,0.988
39.354,0.993
39.384,0.990
39.414,0.984
39.444,0.991
39.474,0.992
39.504,0.989
39.534,0.993
39.564,0.994
39.594,0.995
39.624,0.994
39.654,0.989
39.684,0.983
39.714,0.996
39.744,0.996
39.774,0.988
39.804,0.995
39.834,0.996
39.864,0.989
39.894,0.987
39.924,0.998
39.954,1.011
39.984,0.994
40.014,0.992
40.044,0.990
40.074,0.982
40.104,0.977
40.134,0.981
40.164,0.990
40.194,0.989
40.224,0.994
40.254,1.000
40.284,1.001
40.314,0.999
40.344,0.987
40.374,0.995
40.404,0.997
40.434,0.989
40.464,0.992
40.494,0.996
40.524,0.988
40.554,0.994
40.584,0.995
40.614,1.002
40.644,0.999
40.674,0.989
40.704,0.987
40.734,0.981
40.764,0.992
40.794,0.987
40.824,0.983
40.854,0.978
40.884,0.990
40.914,0.998
40.944,0.988
40.974,0.983
41.004,0.983
41.034,0.995
41.064,0.988
41.094,0.986
41.124,0.994
41.154,0.993
41.184,0.987
41.214,0.996
41.244,0.994
41.274,1.002
41.304,0.992
41.334,0.995
41.364,0.995
41.394,0.984
41.424,0.989
41.454,0.990
41.484,0.982
41.514,0.981
41.544,0.994
41.574,0.986
41.604,0.984
41.634,0.994
41.664,0.980
41.694,0.984
41.724,0.991
41.754,0.987
41.784,0.980
41.814,0.999
41.844,1.006
41.874,0.997
41.904,0.994
41.934,0.987
41.964,0.986
41.994,0.984
42.024,0.985
42.054,0.997
42.084,1.007
42.114,0.996
42.144,0.994
42.174,0.990
42.204,0.983
42.234,0.978
42.264,0.984
42.294,0.989
42.324,0.997
42.354,0.989
42.384,0.995
42.414,0.989
42.444,1.001
42.474,0.985
42.504,0.981
42.534,0.977
42.564,0.996
42.594,0.993
42.624,0.998
42.654,0.982
42.684,0.993
42.714,0.989
42.744,0.989
42.774,0.996
42.804,0.991
42.834,0.999
42.864,0.997
42.894,0.991
42.924,0.984
42.954,0.990
42.984,0.987
43.014,0.994
43.044,0.989
43.074,0.994
43.104,0.994
43.134,0.987
43.164,0.978
43.194,0.985
43.224,0.996
43.254,0.997
43.284,0.983
43.314,0.986
43.344,0.994
43.374,0.993
43.404,0.992
43.434,0.986
43.464,0.976
43.494,0.981
43.524,0.990
43.554,0.992
43.584,0.989
43.614,0.991
43.644,0.999
43.674,0.989
43.704,0.990
43.734,0.985
43.764,0.980
43.794,0.980
43.824,0.994
43.854,0.999
43.884,0.997
43.914,0.997
43.944,0.987
43.974,0.977
44.004,0.975
44.034,0.973
44.064,0.976
44.094,0.982
44.124,0.988
44.154,0.988
44.184,0.996
44.214,1.000
44.244,0.995
44.274,0.986
