df_hash,22ZHK4.8GUL1J
426.177,16
427.054,21
428.226,0
429.198,0
430.077,27
431.438,38
432.124,56
433.002,75
434.172,73
435.098,44
435.977,41
437.194,40
438.120,36
438.949,38
440.216,44
441.108,64
441.923,76
443.190,76
444.019,83
444.897,86
446.116,90
447.139,84
447.967,79
449.091,78
449.967,84
450.990,82
452.063,83
452.989,86
453.867,82
455.037,82
456.012,78
456.841,85
458.059,86
458.937,78
460.112,76
461.033,83
462.158,77
462.788,82
464.104,79
465.082,83
465.908,87
466.981,81
468.147,85
468.785,83
470.248,87
470.832,89
471.759,89
473.170,86
473.901,83
474.735,71
475.949,66
476.926,51
477.706,52
479.119,54
479.851,50
480.823,46
481.899,28
482.811,32
483.807,28
485.116,30
485.750,28
486.673,26
487.846,24
488.724,20
489.601,28
490.821,0
491.988,27
492.625,34
494.132,43
