df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,acc_mag
33.045,1.018
33.075,1.017
33.105,1.009
33.135,1.012
33.165,1.016
33.195,1.011
33.225,1.008
33.255,1.011
33.285,1.009
33.315,1.008
33.345,1.012
33.375,1.017
33.405,1.012
33.435,1.012
33.465,1.013
33.495,1.012
33.525,1.011
33.555,1.016
33.585,1.012
33.615,1.011
33.645,1.019
33.675,1.015
33.705,1.016
33.735,1.013
33.765,1.010
33.795,1.010
33.825,1.003
33.855,1.007
33.885,1.015
33.915,1.014
33.945,1.019
33.975,1.009
34.005,1.011
34.035,1.011
34.065,1.013
34.095,1.016
34.125,1.013
34.155,1.009
34.185,1.006
34.215,1.010
34.245,1.017
34.275,1.019
34.305,1.011
34.335,1.012
34.365,1.014
34.395,1.012
34.425,1.009
34.455,1.007
34.485,1.009
34.515,1.013
34.545,1.013
34.575,1.019
34.605,1.017
34.635,1.013
34.665,1.010
34.695,1.010
34.725,1.006
34.755,1.007
34.785,1.011
34.815,1.013
34.845,1.022
34.875,1.019
34.905,1.015
34.935,1.017
34.965,1.012
34.995,1.009
35.025,1.009
35.055,1.010
35.085,1.015
35.115,1.018
35.145,1.014
35.175,1.012
35.205,1.012
35.235,1.013
35.265,1.015
35.295,1.013
35.325,1.010
35.355,1.010
35.385,1.008
35.415,1.007
35.445,1.020
35.475,1.017
35.505,1.012
35.535,1.014
35.565,1.011
35.595,1.011
35.625,1.010
35.655,1.011
35.685,1.018
35.715,1.012
35.745,1.009
35.775,1.009
35.805,1.012
35.835,1.009
35.865,1.012
35.895,1.018
35.925,1.016
35.955,1.013
35.985,1.008
36.015,1.005
36.045,1.021
36.075,1.021
36.105,1.010
36.135,1.014
36.165,1.010
36.195,1.013
36.225,1.008
36.255,1.013
36.285,1.017
36.315,1.015
36.345,1.009
36.375,1.012
36.405,1.005
36.435,1.012
36.465,1.012
36.495,1.009
36.525,1.008
36.555,1.016
36.585,1.013
36.615,1.008
36.645,1.004
36.675,1.010
36.705,1.005
36.735,1.005
36.765,1.005
36.795,1.006
36.825,1.019
36.855,1.021
36.885,1.013
36.915,1.007
36.945,1.009
36.975,1.005
37.005,1.003
37.035,1.007
37.065,0.999
37.095,1.005
37.125,1.023
37.155,1.022
37.185,1.010
37.215,0.997
37.245,1.003
37.275,1.011
37.305,1.006
37.335,1.011
37.365,1.014
37.395,1.022
37.425,1.017
37.455,1.011
37.485,0.999
37.515,1.000
37.545,1.005
37.575,1.014
37.605,1.016
37.635,1.017
37.665,1.010
37.695,1.002
37.725,1.007
37.755,1.016
37.785,1.015
37.815,1.006
37.845,1.003
37.875,1.015
37.905,1.013
37.935,1.007
37.965,1.011
37.995,1.011
38.025,1.015
38.055,1.010
38.085,1.001
38.115,1.008
38.145,1.016
38.175,1.017
38.205,1.014
38.235,1.008
38.265,1.010
38.295,1.010
38.325,1.010
38.355,1.010
38.385,1.006
38.415,1.002
38.445,1.014
38.475,1.024
38.505,1.018
38.535,1.010
38.565,1.008
38.595,1.009
38.625,1.006
38.655,0.999
38.685,1.003
38.715,1.022
38.745,1.021
38.775,1.011
38.805,1.003
38.835,1.008
38.865,1.012
38.895,1.015
38.925,1.009
38.955,1.009
38.985,1.016
39.015,1.013
39.045,1.010
39.075,1.010
39.105,1.000
39.135,1.005
39.165,1.018
39.195,1.014
39.225,1.009
39.255,1.004
39.285,1.001
39.315,1.013
39.345,1.013
39.375,1.008
39.405,1.007
39.435,1.010
39.465,1.012
39.495,1.016
39.525,1.013
39.555,1.006
39.585,1.004
39.615,1.008
39.645,1.008
39.675,1.016
39.705,1.022
39.735,1.016
39.765,1.004
39.795,1.006
39.825,1.009
39.855,1.008
39.885,1.011
39.915,1.004
39.945,1.008
39.975,1.012
40.005,1.014
40.035,1.010
40.065,1.005
40.095,1.009
40.125,1.013
40.155,1.011
40.185,1.014
40.215,1.006
40.245,1.008
40.275,1.010
40.305,1.008
40.335,1.004
40.365,1.011
40.395,1.011
40.425,1.009
40.455,1.013
40.485,1.010
40.515,1.011
40.545,1.005
40.575,1.005
40.605,1.013
40.635,1.016
40.665,1.013
40.695,1.011
40.725,1.010
40.755,1.011
40.785,1.008
40.815,1.004
40.845,1.006
40.875,1.010
40.905,1.008
40.935,1.013
40.965,1.015
40.995,1.010
41.025,1.013
41.055,1.012
41.085,1.010
41.115,1.012
41.145,1.013
41.175,1.013
41.205,1.009
41.235,1.004
41.265,1.011
41.295,1.014
41.325,1.011
41.355,1.006
41.385,1.009
41.415,1.013
41.445,1.016
41.475,1.014
41.505,1.006
41.535,1.005
41.565,1.008
41.595,1.011
41.625,1.005
41.655,1.011
41.685,1.018
41.715,1.018
41.745,1.009
41.775,1.012
41.805,1.011
41.835,1.007
41.865,1.009
41.895,1.009
41.925,1.014
41.955,1.011
41.985,1.009
42.015,1.010
42.045,1.012
42.075,1.003
42.105,1.010
42.135,1.010
42.165,1.015
42.195,1.015
42.225,1.012
42.255,1.007
42.285,1.008
42.315,1.012
42.345,1.012
42.375,1.010
42.405,1.018
42.435,1.015
42.465,1.009
42.495,1.006
42.525,1.001
42.555,1.006
42.585,1.013
42.615,1.017
42.645,1.014
42.675,1.011
42.705,1.009
42.735,1.005
42.765,1.013
42.795,1.015
42.825,1.015
42.855,1.013
42.885,1.005
42.915,1.004
42.945,1.013
42.975,1.017
43.005,1.007
43.035,1.003
43.065,1.013
