df_hash,22ZHK4.4XY8EU
192.139,10
192.230,40
192.619,50
193.383,515
194.032,685
194.178,665
194.181,200
194.324,15
194.328,15
194.718,15
195.448,455
195.544,705
195.693,160
195.738,60
195.743,25
195.787,15
196.037,10
196.082,325
196.714,10
197.250,635
198.087,615
198.468,795
198.472,470
199.200,10
199.930,620
200.418,615
200.565,640
200.714,260
201.539,345
202.125,620
202.518,560
202.807,355
204.172,265
204.808,1350
204.812,605
205.439,10
206.040,665
206.561,580
207.120,605
207.829,590
208.364,630
209.047,525
209.050,680
209.633,10
210.168,575
210.851,650
211.144,695
211.582,310
212.119,315
212.801,650
213.435,590
213.440,670
213.483,10
213.489,20
213.532,15
213.543,105
214.608,430
214.751,650
214.953,285
215.726,330
217.140,550
217.143,1305
217.676,10
218.359,630
219.090,635
219.187,680
219.677,120
220.308,515
220.901,650
221.040,635
221.045,70
221.137,105
221.142,10
221.869,415
221.873,340
222.844,255
223.101,740
223.380,220
224.648,330
225.184,1190
225.769,580
226.013,600
226.305,225
226.310,345
226.598,10
226.843,255
227.426,295
228.158,590
228.693,590
228.698,615
228.959,10
228.986,290
228.991,10
229.237,220
230.498,610
230.595,625
230.598,180
231.034,20
231.570,370
232.155,595
232.837,590
232.843,610
232.886,10
232.893,10
232.899,110
232.984,10
233.812,370
234.105,565
234.154,255
234.350,245
235.080,715
235.226,10
235.238,145
235.324,15
235.470,300
236.883,630
237.858,665
238.151,1020
239.685,375
240.345,1470
241.174,740
241.615,855
241.905,300
242.737,355
242.880,835
242.883,10
242.886,30
242.889,20
242.931,15
242.936,15
242.939,10
243.291,10
243.437,580
245.073,520
245.805,1210
246.341,600
247.024,605
247.852,680
247.855,865
248.437,10
249.266,595
250.095,815
250.778,820
250.924,700
251.025,165
252.195,10
252.337,1205
252.340,180
252.344,15
252.585,15
252.679,230
252.874,15
253.556,260
254.141,680
254.287,605
254.824,185
255.408,460
256.238,640
257.066,765
257.606,840
258.187,590
258.878,610
259.579,655
260.235,635
260.967,710
261.649,760
262.629,765
262.673,860
263.306,10
263.892,735
264.330,600
264.333,350
264.431,10
264.440,10
264.446,25
264.479,15
264.574,220
265.792,660
265.795,655
266.085,210
266.088,10
266.136,80
266.140,25
266.377,215
266.380,10
267.890,790
268.620,800
269.741,695
270.431,810
270.961,955
271.790,535
272.081,810
273.300,330
273.934,1200
274.718,645
275.397,765
275.694,730
276.079,290
276.813,425
277.054,700
277.347,295
277.492,350
278.176,730
279.004,10
279.492,895
280.320,330
280.324,910
280.417,10
280.807,110
280.812,375
281.539,10
282.273,700
282.660,720
283.342,500
283.346,680
283.489,10
283.492,75
283.638,15
284.084,10
284.369,555
284.372,245
284.610,10
285.293,375
286.153,665
286.365,805
286.379,10
286.853,15
287.640,675
287.643,900
288.364,10
289.046,655
289.050,685
289.729,10
289.732,665
290.412,10
291.143,640
291.148,700
291.314,10
291.388,260
291.421,10
291.537,245
292.946,730
293.629,595
293.639,745
294.214,15
295.043,595
295.872,775
296.749,845
297.383,810
298.358,725
298.797,930
299.479,505
299.484,705
300.161,10
300.164,680
300.893,10
301.576,690
302.111,670
302.115,580
302.696,10
303.379,580
304.061,610
304.598,690
305.334,560
306.012,710
306.697,750
307.526,760
308.254,740
308.938,735
309.622,725
310.351,700
311.033,685
311.715,685
312.983,660
313.276,1285
313.714,265
314.250,405
314.933,680
315.615,675
316.298,700
317.175,690
318.004,785
318.109,835
318.150,130
318.156,50
318.691,10
319.223,500
319.661,665
319.665,285
319.713,10
319.718,10
319.956,290
321.173,670
321.880,655
321.886,630
322.591,10
323.269,705
324.050,700
324.066,715
324.683,10
325.366,715
326.197,725
326.487,720
326.492,355
326.732,15
327.462,275
327.998,685
328.685,595
329.416,655
330.241,785
330.925,830
332.581,710
333.478,1600
334.141,830
334.969,755
335.659,755
335.961,730
336.094,345
336.919,10
336.923,970
337.066,10
337.075,140
337.456,20
338.138,330
339.015,690
339.019,820
339.701,10
339.705,755
339.990,10
339.997,280
340.381,10
341.210,380
341.213,870
341.843,10
342.330,485
343.041,655
343.598,645
344.281,625
344.963,655
345.792,725
346.523,785
347.207,765
347.888,690
348.619,700
349.449,725
350.131,725
350.868,695
351.398,715
352.083,600
352.101,645
352.618,10
353.250,605
353.884,570
354.470,670
355.396,635
356.191,865
356.961,815
357.638,735
358.467,725
358.614,810
358.911,460
361.246,1780
361.928,565
361.934,685
362.659,15
363.342,745
364.171,770
364.903,715
365.587,710
365.882,710
365.976,370
365.980,15
366.072,55
366.075,15
366.267,245
367.730,860
367.737,595
368.401,10
368.761,625
369.533,525
369.537,685
370.334,10
370.996,735
371.289,690
372.264,295
372.952,1080
373.628,660
374.213,670
374.217,615
374.905,10
375.579,675
376.287,735
376.992,705
377.821,695
378.802,730
378.847,1080
378.852,10
378.946,10
379.089,240
380.307,625
380.894,640
381.429,505
382.111,590
382.842,645
383.524,710
383.533,710
384.256,10
384.889,750
385.621,715
385.773,685
385.864,165
385.870,15
386.012,15
386.332,15
386.990,440
387.671,680
387.819,895
389.089,975
389.229,345
389.236,10
389.280,25
389.283,10
391.184,250
391.714,1735
392.397,600
392.861,595
393.519,545
394.104,605
394.639,610
395.322,600
395.907,630
396.590,635
396.896,600
396.941,305
397.126,10
397.165,285
397.857,665
398.003,210
399.077,365
399.661,660
400.344,660
400.909,585
401.203,620
401.472,260
401.502,10
402.147,315
403.417,645
403.951,1220
403.955,620
404.541,10
405.073,570
405.657,590
406.340,560
406.632,610
406.876,290
407.464,280
408.143,540
408.829,810
409.168,495
409.265,460
410.240,70
410.776,1015
411.068,615
412.141,250
412.433,1090
413.409,265
413.848,1065
414.140,400
415.797,310
416.188,1575
417.309,425
417.991,1190
418.582,620
419.261,600
419.356,670
419.359,10
419.701,40
420.380,475
422.184,655
422.482,1790
423.452,255
423.695,1245
424.721,295
425.108,790
425.791,375
426.084,650
426.230,515
427.498,1150
427.595,115
428.082,25
429.155,410
429.696,1180
430.668,550
431.251,700
431.791,680
432.521,755
433.299,685
434.087,790
434.570,780
434.959,535
435.541,350
435.691,780
435.739,10
436.909,685
437.638,595
438.173,685
438.326,595
439.002,10
439.006,770
439.542,10
440.124,475
440.416,575
440.419,350
441.393,10
442.463,950
443.195,1125
444.414,750
444.853,1195
444.858,415
445.001,20
445.145,225
445.876,690
445.974,165
445.977,10
446.656,380
447.095,305
447.779,480
447.926,690
448.460,10
448.463,650
449.244,10
449.435,935
451.351,1215
451.682,620
452.652,435
453.088,1020
453.774,425
454.310,625
454.457,605
454.847,230
456.260,400
456.264,1300
456.309,10
456.412,195
456.457,10
456.460,10
457.235,405
457.382,200
458.064,335
458.502,685
459.478,410
459.672,960
459.725,255
460.014,10
460.019,380
461.477,10
462.110,1350
462.114,650
462.667,10
463.382,675
463.478,660
463.524,10
463.527,145
463.621,20
463.670,10
463.719,10
463.727,15
463.771,15
464.065,215
465.035,275
465.572,975
466.205,510
467.135,625
467.853,860
467.914,745
468.208,10
468.357,490
469.033,10
469.325,715
469.471,385
469.478,110
469.651,165
470.447,300
470.983,430
471.714,645
471.718,645
472.292,10
472.933,610
473.615,640
474.398,675
475.081,655
475.084,820
475.566,10
476.299,595
476.979,680
477.807,640
477.813,660
478.051,240
479.236,390
479.660,960
479.904,440
480.199,525
481.025,455
481.708,450
481.854,640
483.366,180
483.658,1515
483.902,270
483.906,310
483.909,10
484.056,105
484.194,90
484.198,10
485.880,1240
486.095,520
486.339,10
486.437,450
486.827,10
487.412,550
487.558,555
488.001,10
489.238,495
490.048,1250
490.581,855
491.014,575
491.995,320
493.121,1120
