df_hash,22ZHK4.4XY8EU
436.325,36
437.252,37
438.427,36
439.299,24
440.224,14
441.493,25
442.272,34
443.241,34
444.368,27
445.295,0
446.174,4
447.342,46
448.268,32
449.195,32
450.365,35
451.338,33
452.120,0
453.582,8
454.265,0
455.100,22
456.406,25
457.287,29
458.161,31
459.331,30
460.457,26
461.089,22
462.551,32
463.377,43
464.173,47
465.428,56
466.264,58
467.053,55
468.371,59
469.145,71
470.056,45
471.181,38
472.108,41
472.984,41
474.203,36
475.130,34
475.959,58
477.182,64
478.101,68
478.940,13
480.154,15
481.327,14
481.909,17
483.124,14
484.051,15
484.937,0
486.148,17
486.977,0
487.950,2
489.222,5
489.950,37
490.927,28
492.338,21
492.973,0
