df_hash,22ZHK4.SWSTG1
245.607,25
245.655,25
246.189,255
247.101,705
247.801,755
247.846,830
247.994,10
247.997,175
248.000,10
248.004,10
248.090,10
248.833,20
249.212,520
249.894,715
250.724,725
251.600,785
252.234,835
252.240,730
253.063,10
253.111,700
253.657,10
253.750,745
254.479,10
254.528,805
255.305,10
256.037,775
256.768,695
257.402,715
258.230,740
258.962,780
259.596,695
260.424,695
260.619,775
261.155,210
261.159,620
261.984,10
262.390,815
262.757,215
263.012,485
263.397,10
263.400,695
264.324,10
264.327,740
264.935,10
265.186,810
265.741,215
265.884,560
266.420,190
267.103,505
267.981,730
268.768,770
268.958,850
269.492,10
270.174,775
270.320,735
271.005,10
271.880,795
272.682,840
272.759,785
272.807,10
273.425,215
273.638,450
273.934,200
274.074,420
274.078,10
274.174,135
274.177,20
274.622,20
275.050,270
275.195,725
275.981,10
275.996,730
276.024,10
276.755,120
276.759,690
277.535,10
277.539,910
278.510,10
278.514,905
279.485,10
279.491,940
280.416,10
281.289,950
281.972,835
282.996,805
283.929,935
284.037,940
284.082,105
284.112,25
284.215,25
284.775,15
285.046,765
285.579,10
285.582,775
286.408,10
287.139,735
288.115,895
288.943,915
289.625,835
289.629,740
290.064,10
290.339,190
291.137,510
291.284,755
291.965,235
291.969,575
292.843,10
293.525,830
294.257,745
295.037,745
295.885,805
296.695,880
296.712,835
297.575,10
298.254,740
299.146,750
299.912,810
300.595,870
301.472,775
302.252,760
303.080,815
303.084,820
303.814,10
304.007,740
304.010,185
304.055,40
304.495,10
305.177,460
306.054,730
306.737,790
307.569,810
308.248,710
308.981,730
309.760,780
309.763,810
310.588,10
310.591,750
310.734,10
310.741,165
310.783,15
310.788,10
311.320,15
312.018,510
312.148,710
312.685,10
313.415,760
313.708,695
313.805,310
313.809,10
314.098,50
314.976,335
315.610,755
316.243,740
317.413,605
317.462,1015
317.467,15
317.574,240
317.705,220
317.852,210
317.998,115
319.268,1095
320.533,10
321.021,1445
321.605,515
322.483,500
323.263,910
323.653,845
324.241,325
324.628,430
325.213,585
325.506,570
326.627,355
328.553,1045
328.695,2035
330.332,10
330.478,1755
330.481,180
330.624,10
330.628,10
330.676,10
330.679,10
330.682,10
331.063,10
331.066,280
331.453,230
332.484,705
333.186,695
333.979,690
334.671,765
335.354,745
335.898,695
336.767,530
338.278,820
338.282,1540
339.110,10
339.644,755
339.792,740
339.841,10
340.082,90
340.473,75
340.485,580
340.618,10
341.349,180
342.179,610
343.128,840
343.154,875
343.167,15
343.172,10
343.175,15
343.251,10
343.254,15
343.258,15
343.261,10
343.299,10
343.302,10
343.307,10
343.310,10
343.584,15
343.694,400
344.274,10
345.104,750
345.786,760
346.547,770
347.589,735
348.070,735
348.919,815
348.922,790
349.691,10
349.841,780
349.881,160
349.884,15
349.930,10
349.936,10
349.939,10
349.979,10
350.002,15
350.466,80
351.248,375
351.782,705
352.611,780
353.391,830
353.396,730
354.122,10
354.951,760
354.954,860
355.853,10
355.926,855
356.121,250
356.124,10
357.340,525
357.584,745
358.467,215
358.858,925
359.533,385
359.539,680
360.607,10
361.045,995
361.191,565
361.386,140
361.392,20
361.537,15
361.781,210
362.459,285
363.292,750
363.482,770
363.992,10
364.908,790
365.386,720
365.628,690
365.676,190
365.681,10
365.725,15
365.728,20
365.731,20
366.236,20
366.895,435
367.772,695
367.775,840
367.824,10
368.311,55
368.411,520
368.425,10
368.991,760
369.846,10
369.969,740
371.185,10
371.188,1405
371.916,10
372.598,695
372.814,680
372.894,185
372.904,15
372.910,10
373.281,20
373.286,535
373.574,10
374.159,235
374.844,530
375.526,725
375.531,680
376.238,10
376.937,695
377.772,765
377.864,790
378.448,210
378.453,485
378.985,10
378.988,650
379.668,10
379.716,690
380.496,10
381.373,740
381.427,865
382.203,10
383.776,870
384.981,1490
385.673,1270
386.638,700
386.642,800
386.738,10
386.745,160
386.749,15
386.752,15
386.833,10
386.837,10
386.882,10
386.889,10
386.892,10
386.896,15
386.980,20
386.984,20
386.988,15
387.001,15
387.273,30
387.906,355
388.784,780
389.564,830
390.253,820
390.392,745
391.296,10
391.806,720
392.757,795
394.048,730
394.829,1525
394.836,775
395.675,10
396.535,785
396.633,860
396.681,195
397.218,30
397.902,550
398.606,675
398.878,725
399.491,10
400.290,810
401.128,855
401.264,790
401.800,185
402.924,550
403.402,760
403.607,805
404.140,240
404.873,530
405.018,705
405.559,10
406.383,760
407.211,795
407.894,815
408.722,745
408.726,725
409.506,10
409.551,825
410.429,15
411.112,855
412.152,815
412.169,715
412.622,15
412.626,795
413.597,10
414.621,875
414.625,880
414.678,195
414.719,10
414.722,10
414.768,15
414.781,15
414.788,10
414.792,10
415.255,10
415.258,525
415.401,10
415.986,195
415.989,485
416.718,10
417.352,685
418.233,760
418.238,790
418.887,10
419.057,725
419.668,195
419.843,545
419.850,10
419.856,10
420.422,15
420.428,790
421.544,10
421.551,1065
422.765,15
422.814,1295
423.060,10
423.445,310
424.323,380
425.261,875
426.522,885
426.955,1370
426.958,330
427.204,20
428.174,340
428.177,880
428.276,10
429.003,40
429.929,835
429.978,790
430.420,185
431.294,435
431.977,790
432.659,680
433.537,780
434.707,830
435.537,1260
435.682,670
435.686,10
435.689,100
435.730,20
435.733,10
435.779,35
435.782,30
435.829,15
435.925,15
435.928,10
436.022,15
436.026,35
436.311,15
437.096,490
437.832,840
438.607,790
438.753,780
439.342,210
440.121,565
440.270,780
440.849,220
441.678,565
441.824,765
441.828,180
441.957,20
441.970,20
441.974,20
442.409,25
443.043,435
443.095,710
443.774,10
444.456,645
444.460,680
444.654,15
445.142,95
445.578,455
445.582,565
446.260,10
446.943,715
447.382,755
448.356,380
448.458,970
448.746,230
448.750,255
448.893,15
448.896,15
449.185,15
449.304,10
449.337,405
450.599,10
450.602,1240
450.647,10
451.233,20
452.208,795
452.988,910
453.773,775
454.462,735
455.328,690
455.337,790
455.527,260
457.521,500
458.549,1575
458.643,960
458.647,10
458.661,225
460.837,1525
