df_hash,22ZHK4.CSFR2S
449.451,60
450.082,60
451.360,44
452.176,37
453.150,40
454.227,39
455.104,21
456.030,21
457.200,26
458.078,23
459.005,18
460.512,35
461.198,0
461.978,49
463.295,5
464.119,36
465.050,45
466.122,24
467.048,18
467.926,21
469.238,0
469.977,40
470.899,37
472.069,38
472.946,32
473.967,0
475.189,0
475.972,0
476.847,0
478.455,26
479.037,29
479.820,36
480.991,38
482.062,43
482.797,44
484.017,41
484.842,48
485.770,29
486.938,30
487.867,0
488.933,0
490.006,0
490.794,0
491.716,36
